date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023/09/30,6:07 PM.,OAK,LAA,home,Overcast.,66,671212,CF,3,0,0,0,0,0,0,0,0,2,0,.280,.307,.495,.802,671212,joeboyle,Boyle,Right,Joe Boyle,OAK,1.69,2.25,16.0,100.0,132.0,106.0,0.811,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,,,,141.0,92.0,103.0,120.0,98.0,103.0,,,,,,,,,,,0.583,,,0.096,,1.62,,,,3.62,,97.8,,,,,81.5,,,,,,,,,,0.0,0.0,0.16699999999999998,,,,0.156,0.313,0.21600000000000003,126.0,115.0,127.0,0.321,1.53,88.0,0.158,0.211,0.32299999999999995,,,,,,,,,,,,,,,
2023/09/29,6:39 PM.,OAK,LAA,home,Cloudy.,69,686610,CF,4,2,2,0,0,1,2,0,0,1,1,.282,.309,.500,.809,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,,,,,,,,,,,0.543,,,0.02,0.166,-0.52,,,,-3.62,-1.4,93.3,,,84.2,,74.5,,,,,,,,,,0.333,0.833,0.0,0.34,0.515,0.374,0.275,0.493,0.17800000000000002,96.0,99.0,100.0,0.271,-0.79,81.1,0.218,0.423,0.32799999999999996,,,,,,,,,,,,,,,
2023/09/05,6:39 PM.,BAL,LAA,home,Cloudy.,71,665152,CF,5,0,2,0,0,0,1,0,0,0,1,.280,.307,.490,.797,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,104.0,106.0,102.0,,,,0.145,0.371,0.239,,0.089,0.123,0.43,0.02,,1.81,-2.29,-1.4,94.6,88.8,,85.3,91.9,78.1,0.269,0.38,0.081,0.222,0.416,0.27699999999999997,,,,0.347,0.592,0.24,0.26,0.377,0.27,0.252,0.409,0.262,116.0,98.0,105.0,0.033,-1.43,82.8,0.25,0.417,0.244,,,,,,,,,,,,,,,
2023/09/04,6:38 PM.,BAL,LAA,home,Clear.,74,680570,CF,4,0,1,1,0,0,1,0,0,1,0,.278,.305,.492,.797,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,76.0,90.0,86.0,,,,,0.496,0.052,,0.081,0.224,-0.83,-1.59,,,-0.49,1.7,97.4,90.0,,83.9,,79.9,,,,0.333,0.889,0.14300000000000002,,,,0.176,0.353,0.281,0.201,0.318,0.28300000000000003,0.342,0.535,0.24100000000000002,126.0,103.0,114.0,0.148,1.92,82.4,0.153,0.169,0.34,,,,,,,,,,,,,,,
2023/09/03,1:07 PM.,OAK,LAA,away,Partly Cloudy.,71,666205,CF,4,1,2,1,0,0,0,0,0,1,1,.278,.306,.492,.798,666205,kylemuller,Muller,Left,Kyle Muller,OAK,7.6,7.4,77.0,97.0,88.0,94.0,0.811,6.55,4.56,13.09,1.87,1.2,0.197,0.46,0.113,0.391,0.453,74.0,72.0,74.0,97.0,103.0,104.0,87.0,99.0,92.0,,,,,,,,,,,0.517,,,0.149,0.081,-2.52,,,,-2.07,-3.21,93.5,,,87.9,,81.2,,,,,,,,,,0.268,0.415,0.284,0.333,0.5,0.387,0.395,0.663,0.161,90.0,98.0,99.0,0.253,-0.45,87.1,0.293,0.475,0.242,,,,,,,,,,,,,,,
2023/09/02,1:07 PM.,OAK,LAA,away,Cloudy.,72,621112,CF,2,0,0,0,0,0,0,0,0,1,3,.275,.304,.488,.792,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,89.0,104.0,104.0,77.0,95.0,87.0,82.0,96.0,87.0,106.0,100.0,100.0,,,,0.24,0.146,0.204,,0.117,0.112,-2.52,-2.38,,-0.75,1.69,2.14,91.9,88.9,,86.0,91.8,79.1,0.306,0.435,0.15,0.435,0.624,0.159,,,,0.14,0.326,0.245,0.143,0.286,0.389,0.383,0.553,0.17,91.0,103.0,108.0,0.181,0.46,80.8,0.198,0.308,0.344,,,,,,,,,,,,,,,
2023/09/01,6:40 PM.,OAK,LAA,away,Cloudy.,65,676664,CF,4,0,0,0,0,0,0,0,0,2,1,.277,.306,.491,.797,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,,,,,,,0.001,0.501,,,,0.151,-0.84,,,0.63,,0.36,93.1,,,84.1,92.1,,,,,,,,,,,,,,0.277,0.438,0.225,0.256,0.478,0.217,93.0,102.0,106.0,0.346,-0.06,81.4,0.21,0.395,0.28300000000000003,,,,,,,,,,,,,,,
2023/08/29,6:42 PM.,PHI,LAA,away,Cloudy.,78,547179,CF,3,0,0,0,0,0,0,0,0,1,2,.281,.310,.498,.808,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,82.0,108.0,100.0,89.0,75.0,71.0,,,,0.12,0.347,0.009,,0.011,0.216,1.17,-7.35,,0.73,-4.26,0.26,94.3,90.8,,84.5,93.7,82.3,0.333,0.4,0.038,0.6,1.2,0.16699999999999998,,,,0.667,1.667,0.182,0.186,0.403,0.314,0.211,0.333,0.171,116.0,102.0,106.0,0.297,0.34,84.7,0.293,0.61,0.214,,,,,,,,,,,,,,,
2023/08/28,6:43 PM.,PHI,LAA,away,Partly Cloudy.,77,592836,CF,4,0,3,0,1,0,1,0,0,1,2,.284,.313,.504,.817,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,99.0,103.0,100.0,104.0,97.0,100.0,0.233,0.176,0.176,0.332,0.057,,-0.82,-0.44,0.48,0.53,-1.07,,92.8,87.1,87.9,,92.4,74.8,0.273,0.429,0.1,0.284,0.441,0.158,0.205,0.295,0.244,0.212,0.485,0.36,,,,0.257,0.541,0.254,124.0,109.0,114.0,0.026,-1.43,82.5,0.158,0.632,0.342,,,,,,,,,,,,,,,
2023/08/27,12:06 PM.,NYM,LAA,away,Sunny.,79,656849,CF,4,0,1,0,0,0,0,0,0,1,0,.277,.307,.493,.800,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,,,,,,,0.253,0.273,,,0.088,0.189,-0.83,,,0.66,2.63,-1.35,92.7,,,85.3,91.5,78.6,0.314,0.486,0.165,,,,,,,0.2,0.2,0.365,0.325,0.55,0.309,0.287,0.425,0.281,105.0,99.0,102.0,0.197,-2.58,85.3,0.268,0.472,0.39399999999999996,,,,,,,,,,,,,,,
