date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2023/09/19,6:41 PM.,CIN,MIN,away,Clear.,75,518585,3B,3,0,1,0,0,0,0,0,1,1,2,.309,.372,.548,.920,518585,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.91,3.45,66.0,94.0,93.0,98.0,0.664,13.36,3.82,7.09,0.82,0.64,0.253,0.453,0.167,0.36,0.393,,,,,,,95.0,94.0,90.0,95.0,82.0,93.0,87.0,91.0,92.0,0.351,0.24,0.045,,0.001,-0.18,-1.76,2.96,,5.63,94.3,87.9,84.1,83.3,,0.3,0.512,0.16699999999999998,0.39,0.732,0.185,,,,0.125,0.125,0.455,,,,110.0,83.0,96.0,0.004,-3.09,93.8,,,,94.0,98.0,110.0,0.358,2.89,81.4,0.094,0.154,0.5670000000000001,,,,,,,,,
2023/09/18,6:41 PM.,CIN,MIN,away,Partly Cloudy.,72,683175,3B,4,1,1,0,0,1,1,0,0,0,0,.308,.370,.551,.921,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,59.0,70.0,70.0,119.0,95.0,94.0,125.0,93.0,95.0,142.0,95.0,108.0,,,,0.633,,0.255,0.1,0.013,-1.48,,3.39,-2.94,-2.97,96.4,,91.2,84.4,82.2,0.25,0.558,0.131,,,,,,,0.111,0.111,0.489,0.667,0.667,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:10 PM.,CWS,MIN,away,Cloudy.,64,656302,DH,4,0,1,0,0,0,0,0,0,2,1,.310,.372,.543,.915,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,,,,125.0,95.0,103.0,120.0,101.0,108.0,,,,0.432,,0.386,,0.03,-0.15,,0.4,,1.0,95.6,,74.6,86.3,,0.273,0.436,0.205,,,,0.111,0.111,0.5379999999999999,0.216,0.339,0.433,0.298,0.538,0.249,,,,,,,,,,,,,,,,,,,83.0,94.0,99.0,0.152,-1.83,80.2,,,
2023/09/16,6:10 PM.,CWS,MIN,away,Overcast.,67,657053,3B,4,1,3,0,0,0,1,0,1,1,0,.311,.374,.549,.923,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,,,,108.0,99.0,104.0,79.0,87.0,79.0,88.0,112.0,117.0,,,,0.235,,0.023,0.288,,-1.46,,-6.26,1.81,,93.6,,,86.6,76.1,0.294,0.426,0.217,,,,,,,0.333,1.333,0.35700000000000004,0.115,0.184,0.35600000000000004,94.0,94.0,89.0,0.265,0.33,92.9,0.3,0.412,0.095,96.0,96.0,99.0,0.189,-0.3,87.5,0.188,0.348,0.324,,,,,,,,,
2023/09/15,6:40 PM.,CWS,MIN,away,Clear.,72,669947,DH,2,2,1,0,0,1,4,1,3,1,0,.302,.365,.545,.910,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,82.0,98.0,101.0,,,,0.435,,0.366,0.165,0.035,0.27,,-1.82,-0.51,0.73,92.8,,85.4,85.4,74.0,0.266,0.462,0.14,,,,0.111,0.111,0.154,0.354,0.472,0.23399999999999999,0.245,0.469,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/14,6:40 PM.,CWS,MIN,away,Clear.,67,570632,3B,4,1,1,0,0,1,2,0,1,1,1,.300,.355,.530,.885,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,,,,90.0,95.0,88.0,101.0,103.0,105.0,,,,0.217,,0.253,,0.243,-4.06,,-0.94,,-0.46,95.4,,87.4,86.2,,0.351,1.0,0.075,,,,0.22,0.39,0.258,0.214,0.452,0.36,,,,107.0,98.0,98.0,0.288,-1.62,95.0,0.339,0.589,0.171,,,,,,,,,,,,,,,,,,
2023/09/13,12:10 PM.,TB,MIN,home,Sunny.,60,671737,3B,3,0,0,0,0,0,0,0,1,0,3,.301,.354,.520,.874,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,106.0,99.0,99.0,0.449,0.248,,0.167,,-0.8,-1.32,,0.04,,96.1,88.9,,,79.0,0.277,0.559,0.191,0.312,0.581,0.295,,,,,,,0.169,0.338,0.22399999999999998,,,,0.001,0.0,97.8,,,,,,,0.136,0.62,89.3,0.19,0.333,0.41,,,,,,,,,
2023/09/12,6:41 PM.,TB,MIN,home,Partly Cloudy.,63,641793,3B,4,0,0,0,0,0,0,0,0,2,2,.306,.356,.528,.884,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,,0.57,,0.34,,,94.1,,,87.1,,0.26,0.44,0.22,,,,,,,0.25,0.417,0.3,,,,74.0,108.0,98.0,0.099,0.28,92.9,0.237,0.342,0.063,115.0,107.0,118.0,0.192,-1.3,84.3,0.268,0.415,0.281,,,,,,,,,
2023/09/11,6:41 PM.,TB,MIN,home,Partly Cloudy.,72,607192,3B,4,1,1,0,0,1,3,0,0,2,1,.312,.363,.540,.903,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.432,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,92.3,90.1,83.9,0.236,0.41,0.249,,,,,,,0.254,0.373,0.382,0.095,0.19,0.522,,,,0.004,-7.7,96.4,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:13 PM.,NYM,MIN,home,Cloudy.,69,656731,3B,3,0,0,0,0,0,0,1,1,0,3,.314,.365,.530,.895,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,,,,0.557,,0.206,0.086,0.149,-0.4,,-1.04,-0.05,-0.09,94.9,,87.9,84.4,77.2,0.314,0.494,0.184,,,,0.264,0.396,0.24100000000000002,0.264,0.445,0.311,0.167,0.167,0.354,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,
