date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2023/07/18,7:08 PM.,BAL,LAD,away,Clear.,87,669330,CF,1,0,1,0,0,0,0,0,0,0,0,.237,.280,.408,.688,669330,tylerwells,"Wells, T",Right,Tyler Wells,BAL,3.64,3.96,118.2,103.0,93.0,101.0,0.765,8.87,2.58,6.29,1.9,0.59,0.244,0.371,0.175,0.337,0.415,126.0,106.0,111.0,84.0,95.0,100.0,84.0,102.0,99.0,,,,88.0,108.0,103.0,,0.377,0.164,0.078,0.185,0.59,,1.18,0.41,0.43,92.5,85.4,,84.0,74.1,0.2,0.467,0.266,0.149,0.23,0.28,0.217,0.348,0.184,,,,0.196,0.382,0.32799999999999996,85.0,100.0,96.0,0.195,0.67,88.7,0.212,0.537,0.193,,,,,,,,,,,,,,,,,,
2023/07/17,7:05 PM.,BAL,LAD,away,Clear.,89,680570,CF,1,0,1,0,0,0,0,0,0,0,0,.227,.272,.400,.672,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,0.496,0.148,0.081,0.224,-0.83,,1.92,-0.49,1.7,97.4,83.9,,82.4,79.9,0.342,0.535,0.24100000000000002,0.153,0.169,0.34,0.176,0.353,0.281,,,,0.201,0.318,0.28300000000000003,76.0,90.0,86.0,0.052,-1.59,90.0,0.333,0.889,0.14300000000000002,,,,,,,,,,,,,,,,,,
2023/07/16,5:30 PM.,NYM,LAD,away,Cloudy.,79,453286,CF,2,0,0,0,0,0,0,0,0,0,0,.216,.263,.392,.655,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,,0.463,0.168,0.124,0.141,0.72,,-0.21,0.51,0.03,93.7,83.8,,84.0,75.4,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.187,0.373,0.326,,,,0.207,0.283,0.275,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.33299999999999996,,,,,,,,,,,,,,,,,,
2023/07/15,8:01 PM.,NYM,LAD,away,Drizzle.,79,673540,CF,1,0,0,0,0,0,0,0,0,0,0,.222,.269,.403,.672,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,109.0,97.0,97.0,,,,100.0,93.0,102.0,,0.37,0.116,0.027,,0.17,,-0.96,-0.23,,95.7,,,82.7,72.8,0.244,0.399,0.17300000000000001,0.333,0.952,0.245,0.125,0.5,0.444,,,,,,,93.0,95.0,93.0,0.25,2.52,90.8,0.244,0.339,0.182,,,,,,,,,,,,,0.11,0.147,0.595,0.237,0.95,83.2
2023/07/08,2:32 PM.,TOR,DET,home,Overcast.,69,592332,CF,3,0,1,0,0,0,0,0,0,1,0,.225,.263,.408,.671,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,0.509,0.108,,,1.13,,-0.97,,,94.7,,,83.6,,0.243,0.409,0.172,0.348,0.565,0.353,,,,,,,,,,,,,,,,,,,,,,105.0,108.0,109.0,0.384,,0.3,,86.3,,0.201,0.307,0.43200000000000005,,,
2023/07/06,1:11 PM.,OAK,DET,home,Cloudy.,80,663687,CF,4,2,2,1,0,1,2,1,0,1,2,.221,.260,.412,.672,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.357,0.184,0.316,0.496,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,,,,,0.47,0.078,0.06,0.203,-0.58,,-2.5,-1.37,0.61,92.6,80.1,,77.4,74.9,0.25,0.442,0.217,0.278,0.556,0.188,0.3,0.5,0.2,,,,0.205,0.409,0.368,87.0,104.0,98.0,0.188,-1.58,90.5,0.351,0.544,0.16699999999999998,,,,,,,,,,,,,,,,,,
2023/07/05,6:40 PM.,OAK,DET,home,Clear.,89,643493,CF,2,0,0,0,0,0,1,0,0,0,1,.203,.246,.344,.590,643493,austinpruitt,Pruitt,Right,Austin Pruitt,OAK,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,87.1,91.3,87.6,81.2,0.344,0.469,0.182,0.238,0.365,0.245,0.143,0.314,0.22,0.216,0.297,0.135,0.308,0.385,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/04,6:40 PM.,OAK,DET,home,Clear.,86,676664,PR,0,0,0,0,0,0,0,0,0,0,0,.210,.258,.355,.613,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,0.001,0.501,0.346,,0.151,-0.84,0.63,-0.06,,0.36,93.1,84.1,92.1,81.4,,0.256,0.478,0.217,0.21,0.395,0.28300000000000003,,,,,,,0.277,0.438,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/02,1:11 PM.,COL,DET,away,Partly Cloudy.,86,657756,CF,4,1,1,0,0,1,4,0,0,1,0,.210,.258,.355,.613,657756,connorseabold,Seabold,Right,Connor Seabold,COL,7.52,5.13,87.1,102.0,80.0,95.0,0.8,6.9,2.89,11.95,1.96,0.72,0.297,0.366,0.157,0.395,0.46,72.0,88.0,86.0,100.0,101.0,103.0,74.0,104.0,93.0,,,,93.0,104.0,102.0,,0.544,0.305,0.018,0.133,-1.53,,-2.41,-8.0,0.41,92.6,80.6,,85.3,78.7,0.338,0.605,0.18600000000000003,0.313,0.616,0.262,0.5,0.6,0.231,,,,0.204,0.265,0.22699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/01,7:12 PM.,COL,DET,away,Partly Cloudy.,79,663567,DH,0,1,0,0,0,0,0,0,0,0,0,.207,.258,.310,.568,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.36,5.44,87.1,99.0,90.0,95.0,0.796,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,86.0,98.0,92.0,74.0,108.0,101.0,82.0,97.0,89.0,,,,109.0,104.0,109.0,,0.446,0.323,0.032,0.2,-0.78,,-1.15,1.04,-1.74,93.2,86.2,,86.2,78.0,0.271,0.586,0.16699999999999998,0.308,0.641,0.198,0.267,0.267,0.20800000000000002,,,,0.235,0.459,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,
