date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C
2023/09/30,6:11 PM.,SD,CWS,home,Clear.,76,608379,C,2,0,0,0,0,0,0,0,0,1,2,.222,.286,.378,.664,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,84.0,103.0,103.0,,,,96.0,100.0,96.0,0.133,0.124,,0.345,-2.13,-0.36,,1.06,86.9,81.6,91.9,,0.364,0.582,0.165,,,,0.25,0.45,0.111,101.0,106.0,110.0,73.0,104.0,94.0,0.288,1.23,92.0,0.207,0.346,0.359,86.0,92.0,94.0,0.11,1.04,74.0,0.188,0.323,0.16699999999999998,0.172,0.31,0.27,,,,,,,,,,,,,,,,,,
2023/09/29,6:40 PM.,SD,CWS,home,Clear.,68,607259,C,1,1,1,0,0,1,1,0,1,0,0,.233,.298,.395,.693,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,87.0,108.0,101.0,,,,96.0,102.0,96.0,0.224,0.164,0.002,0.288,-1.99,1.23,-4.18,2.41,89.5,80.7,92.9,84.5,0.382,0.632,0.16899999999999998,,,,0.293,0.333,0.08800000000000001,97.0,102.0,106.0,92.0,100.0,98.0,0.13,-0.91,93.3,0.158,0.226,0.465,88.0,97.0,100.0,0.191,0.59,81.8,0.25,0.423,0.225,0.164,0.295,0.34700000000000003,,,,,,,,,,,,,,,,,,
2023/09/27,1:10 PM.,AZ,CWS,home,Cloudy.,68,694297,C,4,0,0,0,0,0,0,0,0,1,3,.214,.267,.310,.577,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,97.0,108.0,100.0,119.0,106.0,117.0,,,,0.099,,0.27,0.122,,-0.03,1.21,-3.66,,86.7,93.1,83.8,,,,0.18,0.323,0.337,0.313,0.563,0.188,90.0,100.0,97.0,97.0,105.0,102.0,0.454,-1.63,93.6,0.4,0.711,0.33,106.0,89.0,97.0,0.055,-1.24,78.8,0.327,0.654,0.17600000000000002,0.294,0.529,0.294,,,,,,,,,,,,,,,,,,
2023/09/26,6:40 PM.,AZ,CWS,home,Partly Cloudy.,69,605200,PH,1,0,0,0,0,0,0,0,0,0,0,.237,.293,.342,.635,605200,zachdavies,Davies,Right,Zach Davies,ARI,7.0,5.48,82.1,100.0,75.0,92.0,0.799,7.87,4.26,10.71,1.09,1.3,0.239,0.398,0.14,0.371,0.36,71.0,97.0,88.0,113.0,105.0,101.0,73.0,93.0,88.0,0.325,0.113,0.027,0.248,0.13,-1.5,-1.83,-1.19,87.5,80.7,89.6,80.8,0.3,0.3,0.145,0.25,0.5,0.16699999999999998,0.381,0.552,0.096,78.0,106.0,100.0,72.0,100.0,91.0,0.226,-0.05,89.3,0.275,0.477,0.37200000000000005,89.0,99.0,100.0,0.061,-0.55,77.0,0.21,0.355,0.18100000000000002,0.188,0.5,0.2,,,,,,,,,,,,,,,,,,
2023/09/20,1:06 PM.,WSH,CWS,away,Partly Cloudy.,75,680686,C,4,0,1,1,0,0,0,0,0,0,5,.243,.300,.351,.651,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,93.0,101.0,90.0,84.0,92.0,96.0,95.0,95.0,83.0,0.176,0.181,0.299,0.016,-0.09,0.15,-0.07,0.6,88.8,88.6,93.1,85.1,0.243,0.461,0.205,0.163,0.233,0.429,0.313,0.385,0.138,44.0,96.0,90.0,82.0,91.0,83.0,0.166,-1.21,93.5,0.286,0.357,0.1,96.0,95.0,97.0,0.161,0.24,82.2,0.291,0.557,0.20199999999999999,0.221,0.358,0.349,,,,,,,,,,,,,,,,,,
2023/09/16,6:10 PM.,MIN,CWS,home,Overcast.,67,641154,C,3,0,1,0,0,0,0,0,0,0,2,.242,.306,.333,.639,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,98.0,105.0,104.0,111.0,106.0,114.0,,,,0.106,,0.214,0.211,,2.08,1.34,-0.17,,88.4,94.5,84.4,,,,0.173,0.287,0.366,0.278,0.342,0.126,90.0,108.0,109.0,100.0,108.0,105.0,0.345,0.1,94.9,0.257,0.41,0.284,93.0,110.0,114.0,0.125,0.25,82.5,0.268,0.468,0.315,0.202,0.33,0.364,,,,,,,,,,,,,,,,,,
2023/09/15,6:40 PM.,MIN,CWS,home,Clear.,72,641927,PH,0,0,0,0,0,0,0,0,1,0,0,.233,.303,.333,.636,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,,,,83.0,99.0,96.0,,,,,,0.196,0.28,,,-0.7,1.08,,83.7,,81.0,,,,0.255,0.48,0.32899999999999996,,,,94.0,106.0,105.0,73.0,107.0,99.0,0.457,0.75,91.3,0.226,0.35,0.298,100.0,108.0,106.0,0.067,1.44,77.5,0.232,0.425,0.27699999999999997,0.194,0.306,0.161,,,,,,,,,,,,,,,,,,
2023/09/12,6:57 PM.,KC,CWS,home,Partly Cloudy.,65,543475,C,1,1,0,0,0,0,0,0,1,0,0,.233,.281,.333,.614,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.076,0.247,0.109,-0.94,-0.01,-1.31,-1.66,86.8,85.5,90.5,80.2,0.314,0.725,0.19,0.28,0.543,0.249,0.248,0.457,0.158,73.0,95.0,90.0,75.0,101.0,92.0,0.306,1.11,91.2,0.26,0.481,0.257,95.0,97.0,99.0,0.131,-1.6,79.4,0.227,0.444,0.154,0.238,0.476,0.21899999999999997,,,,,,,,,,,,,,,,,,
2023/08/23,1:10 PM.,SEA,CWS,home,Sunny.,95,669923,C,3,1,1,1,0,0,0,0,0,1,1,.241,.267,.345,.612,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,106.0,110.0,109.0,126.0,106.0,112.0,,,,0.216,,0.197,0.018,,0.43,1.03,-5.31,,86.6,95.8,86.3,,,,0.264,0.377,0.22,0.261,0.383,0.131,94.0,107.0,111.0,97.0,111.0,105.0,0.394,1.34,96.1,0.5,0.9,0.125,,,,,,,0.234,0.392,0.28,0.265,0.458,0.159,0.115,0.35,81.8,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.35700000000000004,,,,75.1,0.001,0.26
2023/08/20,1:11 PM.,COL,CWS,away,Partly Cloudy.,86,623167,C,1,0,0,0,0,0,0,0,0,0,2,.231,.259,.308,.567,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,49.0,106.0,76.0,122.0,107.0,111.0,87.0,100.0,94.0,0.019,0.293,0.097,0.16,-0.47,-7.15,-2.44,0.72,87.9,81.0,90.9,80.8,0.287,0.504,0.20199999999999999,0.389,0.444,0.14800000000000002,0.6,0.7,0.111,93.0,97.0,97.0,65.0,98.0,84.0,0.409,-2.66,91.9,0.213,0.32,0.397,92.0,95.0,111.0,0.022,2.61,71.6,0.379,0.739,0.174,0.125,0.125,0.35700000000000004,,,,,,,,,,,,,,,,,,
