date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/18,7:11 PM.,LAD,DET,away,Partly Cloudy.,69,458681,CF,4,0,1,0,0,0,0,0,0,2,1,.195,.316,.280,.596,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.437,0.23,0.063,0.074,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,84.9,91.4,83.0,80.8,0.239,0.394,0.177,0.273,0.512,0.267,0.255,0.52,0.316,0.286,0.446,0.308,0.208,0.453,0.354,0.302,0.372,0.29600000000000004,,,,,,,,,,,,,,,
2023/09/17,1:08 PM.,LAA,DET,away,Cloudy.,74,623474,CF,3,1,0,0,0,0,0,0,1,2,1,.192,.319,.282,.601,623474,jimmyherget,Herget,Right,Jimmy Herget,LAA,4.66,4.39,29.0,97.0,102.0,103.0,0.808,8.07,2.48,10.24,2.17,0.58,0.253,0.429,0.154,0.385,0.479,64.0,85.0,85.0,131.0,101.0,117.0,73.0,93.0,82.0,54.0,95.0,83.0,108.0,96.0,106.0,,,,0.193,0.055,,0.31,0.383,0.059,-1.47,,0.08,-0.54,-0.51,-5.07,92.6,,85.7,91.7,85.2,77.2,0.333,0.583,0.083,,,,0.25,0.25,0.4,0.343,0.657,0.132,0.233,0.45,0.26899999999999996,0.333,1.0,0.28600000000000003,,,,,,,,,,,,,,,
2023/09/16,6:08 PM.,LAA,DET,away,Overcast.,69,542881,DH,0,0,0,0,0,0,0,1,0,0,0,.200,.322,.293,.615,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,0.055,0.374,0.224,0.007,0.002,0.338,-1.25,0.48,-3.61,-1.06,-0.33,0.08,90.1,85.1,80.0,88.5,78.1,72.9,0.36,0.68,0.102,0.239,0.366,0.268,0.301,0.566,0.193,0.2,0.2,0.33299999999999996,,,,0.238,0.381,0.39799999999999996,,,,,,,,,,0.001,-4.72,90.1,,,
2023/09/15,6:38 PM.,LAA,DET,away,Clear.,73,656288,CF,3,1,1,0,0,0,0,0,2,1,0,.200,.322,.293,.615,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,0.006,0.348,,0.299,0.134,0.213,-0.21,,-8.61,0.1,-0.53,1.6,94.7,,90.2,95.0,88.4,81.8,0.333,1.333,0.0,,,,0.235,0.5,0.28300000000000003,0.261,0.344,0.34,0.271,0.667,0.252,0.213,0.339,0.248,,,,,,,,,,,,,,,
2023/09/14,1:10 PM.,CIN,DET,home,Sunny.,67,571882,CF,3,2,1,0,0,0,0,0,1,0,2,.194,.306,.292,.598,571882,dereklaw,"Law, D",Right,Derek Law,CIN,3.6,4.77,55.0,100.0,101.0,97.0,0.76,7.36,4.25,8.18,0.98,1.08,0.277,0.38,0.181,0.259,0.401,78.0,96.0,91.0,116.0,104.0,100.0,83.0,110.0,101.0,95.0,101.0,93.0,118.0,103.0,106.0,104.0,94.0,94.0,0.121,0.189,0.365,0.173,0.104,0.048,-0.99,0.58,0.69,1.87,0.16,-2.28,95.5,92.1,88.7,95.1,86.5,78.7,0.241,0.31,0.21,0.254,0.388,0.223,0.262,0.5,0.295,0.22,0.268,0.369,0.222,0.389,0.289,0.167,0.167,0.22699999999999998,,,,,,,,,,,,,,,
2023/09/13,6:39 PM.,CIN,DET,home,Partly Cloudy.,64,683175,CF,3,1,0,0,0,0,0,1,1,1,6,.188,.296,.290,.586,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,59.0,70.0,70.0,119.0,95.0,94.0,125.0,93.0,95.0,,,,142.0,95.0,108.0,,,,,0.633,,0.255,0.1,0.013,-1.48,,,3.39,-2.94,-2.97,96.4,,91.2,,84.4,82.2,,,,,,,0.25,0.558,0.131,0.111,0.111,0.489,0.667,0.667,0.111,,,,,,,,,,,,,,,,,,
2023/09/12,6:40 PM.,CIN,DET,home,Partly Cloudy.,69,682227,CF,3,0,0,0,0,0,0,1,0,1,0,.197,.289,.303,.592,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,106.0,102.0,98.0,,0.372,0.298,0.102,0.064,0.165,-0.15,1.71,,-1.33,-1.75,-0.51,92.8,89.3,84.0,,81.7,73.1,,,,0.252,0.433,0.185,0.269,0.433,0.171,0.0,0.0,0.273,0.333,0.6,0.14300000000000002,0.183,0.39,0.39899999999999997,,,,,,,,,,,,,,,
2023/09/10,1:10 PM.,CWS,DET,home,Overcast.,71,669947,CF,4,0,0,0,0,0,0,0,0,1,3,.206,.292,.317,.609,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,,,,82.0,98.0,101.0,,,,,0.435,,0.366,0.165,0.035,0.27,,,-1.82,-0.51,0.73,92.8,,85.4,,85.4,74.0,,,,,,,0.266,0.462,0.14,0.354,0.472,0.23399999999999999,0.245,0.469,0.34299999999999997,0.111,0.111,0.154,,,,,,,,,,,,,,,
2023/09/09,6:10 PM.,CWS,DET,home,Cloudy.,67,570632,CF,4,0,0,0,0,0,0,0,0,1,4,.220,.309,.339,.648,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,,,,90.0,95.0,88.0,107.0,98.0,98.0,101.0,103.0,105.0,,,,0.288,0.217,,0.253,,0.243,-4.06,,-1.62,-0.94,,-0.46,95.4,,87.4,95.0,86.2,,0.339,0.589,0.171,,,,0.351,1.0,0.075,0.214,0.452,0.36,,,,0.22,0.39,0.258,,,,,,,,,,,,,,,
2023/09/08,6:40 PM.,CWS,DET,home,Overcast.,67,605182,CF,3,0,0,0,0,0,0,0,0,2,2,.236,.328,.364,.692,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,91.0,100.0,90.0,113.0,97.0,104.0,90.0,100.0,100.0,0.024,0.479,0.082,0.271,0.016,0.128,-0.21,-0.07,1.47,0.5,0.55,1.69,94.3,84.9,86.1,93.1,79.4,76.0,0.2,0.2,0.2,0.256,0.395,0.264,0.283,0.494,0.174,0.203,0.366,0.306,0.167,0.167,0.2,0.175,0.206,0.293,,,,,,,,,,,,,,,
