date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSL/C,vFA,vFC,vFS,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff
2023/06/09,7:05 PM.,NYM,PIT,home,Cloudy.,70,656731,RF,0,0,0,0,0,0,0,0,0,0,0,.125,.216,.219,.435,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,86.0,95.0,89.0,96.0,103.0,106.0,,,,116.0,83.0,118.0,0.557,,0.002,0.206,-0.4,,5.58,-1.04,94.9,,86.1,84.4,0.314,0.494,0.184,0.264,0.445,0.311,,,,88.0,97.0,98.0,0.149,-0.09,87.9,0.264,0.396,0.24100000000000002,101.0,91.0,96.0,,,,,0.086,,-0.05,,77.2,0.167,0.167,0.354,,,,,,,,,,,,
2023/04/23,1:38 PM.,CIN,PIT,home,Cloudy.,47,668881,RF,2,0,0,0,0,0,0,0,0,1,1,.125,.216,.219,.435,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,127.0,103.0,105.0,126.0,104.0,112.0,,,,,,,0.544,,,0.404,-0.95,,,0.16,98.3,,,87.3,0.265,0.518,0.252,0.229,0.416,0.392,,,,69.0,88.0,90.0,0.053,-2.39,91.1,0.304,0.478,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/19,1:10 PM.,COL,PIT,away,Cloudy.,55,596295,RF,1,0,0,0,0,0,1,0,0,0,1,.133,.229,.233,.462,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,68.0,97.0,85.0,93.0,98.0,102.0,,,,,,,0.439,,,0.201,-1.99,,,0.96,90.6,,,84.8,0.344,0.656,0.11800000000000001,0.275,0.383,0.247,,,,73.0,100.0,98.0,0.181,-0.07,81.6,0.296,0.509,0.19899999999999998,,,,66.0,7.0,2.0,0.012,,-5.34,,90.8,,0.226,0.358,0.28,0.4,1.0,0.16699999999999998,90.0,103.0,104.0,0.168,-0.75,77.6,,,
2023/04/18,6:40 PM.,COL,PIT,away,Partly Cloudy.,73,570632,RF,3,0,0,0,0,0,0,0,0,1,3,.138,.235,.241,.476,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,90.0,95.0,88.0,101.0,103.0,105.0,,,,,,,0.217,,,0.253,-4.06,,,-0.94,95.4,,,86.2,0.351,1.0,0.075,0.214,0.452,0.36,,,,61.0,98.0,82.0,0.243,-0.46,87.4,0.22,0.39,0.258,,,,107.0,98.0,98.0,0.288,,-1.62,,95.0,,,,,0.339,0.589,0.171,,,,,,,,,
2023/04/17,6:40 PM.,COL,PIT,away,Partly Cloudy.,72,607536,RF,0,0,0,0,0,0,0,0,0,0,0,.154,.258,.269,.527,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,68.0,105.0,90.0,65.0,99.0,96.0,,,,,,,0.184,,,0.236,1.13,,,-0.2,88.8,,,84.1,0.239,0.431,0.127,0.246,0.549,0.2,,,,47.0,105.0,95.0,0.122,-3.3,84.2,0.435,0.681,0.139,,,,67.0,103.0,88.0,0.283,,-0.86,,88.7,,0.261,0.41,0.32,0.349,0.529,0.091,96.0,105.0,105.0,0.176,-1.91,80.6,,,
2023/04/16,1:15 PM.,STL,PIT,away,Overcast.,47,571945,RF,4,1,0,0,0,0,1,0,1,2,1,.154,.258,.269,.527,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,74.0,112.0,99.0,108.0,107.0,108.0,,,,,,,0.26,,,0.243,-0.19,,,0.62,93.3,,,86.4,0.29,0.495,0.18899999999999997,0.245,0.375,0.22399999999999998,,,,58.0,96.0,93.0,0.054,2.68,84.4,0.182,0.382,0.085,95.0,105.0,102.0,86.0,108.0,99.0,0.243,0.198,-1.61,-0.92,92.7,75.9,0.261,0.387,0.198,0.34,0.54,0.085,,,,0.002,-0.89,68.1,,,
2023/04/15,1:14 PM.,STL,PIT,away,Rain.,70,571927,PH,0,0,0,0,0,0,0,0,1,0,0,.182,.269,.318,.587,571927,stevenmatz,Matz,Left,Steven Matz,STL,3.86,3.87,105.0,102.0,95.0,100.0,0.776,8.4,2.74,9.26,0.94,1.4,0.291,0.37,0.146,0.31,0.446,,,,62.0,82.0,90.0,,,,,,,,,,0.018,,,,-1.27,,,,88.9,,,,0.5,0.75,0.1,,,,106.0,109.0,107.0,0.274,-0.09,84.2,0.291,0.405,0.289,108.0,96.0,100.0,87.0,101.0,96.0,0.561,0.148,0.41,-0.6,94.1,78.5,0.259,0.407,0.2,0.24,0.397,0.247,,,,,,,,,
2023/04/14,7:15 PM.,STL,PIT,away,Clear.,78,663765,RF,4,0,1,0,0,0,0,1,0,1,3,.182,.240,.318,.558,663765,jakewoodford,Woodford,Right,Jake Woodford,STL,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.167,0.429,0.119,0.363,0.433,82.0,93.0,85.0,104.0,101.0,105.0,94.0,107.0,104.0,,,,0.068,0.056,,0.232,-10.74,-2.62,,-0.99,92.4,89.8,,81.7,0.571,1.357,0.29600000000000004,0.241,0.448,0.18600000000000003,,,,61.0,88.0,72.0,0.041,-0.23,86.2,0.167,0.167,0.182,88.0,95.0,97.0,87.0,104.0,98.0,0.502,0.101,-0.6,-3.61,92.0,76.3,0.455,0.727,0.2,0.299,0.536,0.11,,,,,,,0.5,0.625,0.16699999999999998
2023/04/12,12:35 PM.,HOU,PIT,home,Sunny.,77,664353,PH,0,0,0,0,0,0,0,0,1,0,0,.167,.238,.333,.571,664353,joseurquidy,Urquidy,Right,José Urquidy,HOU,5.29,4.7,63.0,103.0,102.0,104.0,0.784,6.43,3.57,9.29,1.57,0.83,0.281,0.335,0.202,0.266,0.391,104.0,100.0,102.0,120.0,100.0,108.0,,,,,,,0.385,,,0.188,-1.58,,,-1.1,93.1,,,80.6,0.287,0.632,0.193,0.262,0.476,0.368,,,,93.0,107.0,106.0,0.216,1.98,86.1,0.172,0.259,0.35200000000000004,95.0,106.0,104.0,83.0,109.0,99.0,0.096,0.115,-1.38,0.77,93.8,79.6,0.174,0.261,0.271,0.405,0.432,0.059000000000000004,,,,,,,,,
2023/04/11,6:36 PM.,HOU,PIT,home,Clear.,72,664299,RF,3,0,0,0,0,0,1,0,0,2,2,.167,.200,.333,.533,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,101.0,98.0,98.0,108.0,95.0,102.0,,,,,,,0.584,,,0.3,0.44,,,-0.09,92.7,,,79.5,0.236,0.455,0.265,0.211,0.367,0.287,,,,78.0,101.0,98.0,0.041,-1.29,83.7,0.28,0.36,0.392,,,,,,,,,,,,,0.268,0.366,0.195,,,,91.0,99.0,102.0,0.075,-1.17,76.6,,,
