date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/30,6:11 PM.,CWS,SD,away,Clear.,76,605182,C,4,0,0,0,0,0,0,0,0,2,3,.221,.256,.299,.555,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,80.0,96.0,95.0,101.0,103.0,100.0,113.0,97.0,104.0,0.479,0.271,0.128,-0.21,0.5,1.69,94.3,86.1,79.4,0.283,0.494,0.174,0.203,0.366,0.306,0.175,0.206,0.293,91.0,100.0,90.0,,,,90.0,100.0,100.0,0.024,0.082,,-0.07,1.47,,84.9,93.1,,0.167,0.167,0.2,0.256,0.395,0.264,0.2,0.2,0.2,80.0,96.0,97.0,0.016,0.55,76.0,,,,,,,,,,,,
2023/09/29,6:40 PM.,CWS,SD,away,Clear.,68,656302,C,3,1,0,0,0,0,0,0,1,1,2,.233,.269,.315,.584,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,0.432,0.386,0.03,-0.15,0.4,1.0,95.6,74.6,86.3,0.273,0.436,0.205,0.216,0.339,0.433,0.111,0.111,0.5379999999999999,,,,83.0,94.0,99.0,,,,,,0.152,,,-1.83,,,80.2,0.298,0.538,0.249,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:43 PM.,SF,SD,away,Partly Cloudy.,62,640455,C,4,0,2,0,0,0,0,0,0,0,1,.243,.270,.329,.599,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,97.0,94.0,90.0,105.0,95.0,92.0,95.0,98.0,0.562,0.26,0.17,0.91,-0.93,1.06,93.6,86.6,82.3,0.235,0.39,0.233,0.122,0.143,0.36700000000000005,0.224,0.342,0.183,121.0,109.0,108.0,,,,,,,0.008,0.0,,-5.8,-6.19,,90.3,94.0,,,,,,,,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,
2023/09/26,6:47 PM.,SF,SD,away,Clear.,64,605154,C,3,1,1,0,0,0,0,0,1,1,2,.227,.257,.318,.575,605154,johnbrebbia,Brebbia,Right,John Brebbia,SFG,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,114.0,-42.0,-5.0,107.0,104.0,104.0,108.0,107.0,107.0,0.458,0.539,0.003,1.09,-0.13,6.56,94.5,89.2,82.8,0.2,0.236,0.297,0.227,0.511,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/25,6:46 PM.,SF,SD,away,Clear.,68,657277,C,3,0,2,0,0,0,0,0,0,0,1,.222,.242,.317,.559,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,88.0,119.0,100.0,91.0,100.0,111.0,0.037,0.212,0.416,-1.37,0.11,2.18,92.6,87.5,84.3,0.226,0.452,0.3,0.208,0.369,0.28600000000000003,0.225,0.309,0.228,105.0,103.0,98.0,,,,,,,0.336,,,,0.31,,,92.3,,,,,,,,0.313,0.481,0.10400000000000001,,,,,,,,,,,,,,,,,,
2023/09/24,1:12 PM.,STL,SD,home,Sunny.,72,680723,C,1,0,0,0,0,0,0,0,0,1,1,.200,.222,.300,.522,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,81.0,105.0,98.0,97.0,88.0,89.0,0.443,0.237,,-2.41,-2.48,,90.6,,79.4,0.333,0.633,0.212,0.289,0.632,0.172,,,,64.0,98.0,87.0,,,,,,,0.241,,,,-2.11,,,87.4,,,,,,,,0.351,0.568,0.091,,,,,,,,,,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,0.6,0.26899999999999996
2023/09/22,6:44 PM.,STL,SD,home,Cloudy.,67,641712,C,3,0,2,0,0,0,1,0,0,0,0,.203,.226,.305,.531,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,STL,4.98,6.0,81.1,96.0,94.0,91.0,0.818,4.98,3.76,9.74,1.0,1.89,0.16,0.461,0.141,0.349,0.419,85.0,66.0,62.0,81.0,99.0,88.0,120.0,95.0,100.0,0.222,0.321,0.024,0.43,-0.76,-4.54,91.1,84.4,85.1,0.281,0.328,0.129,0.258,0.43,0.39299999999999996,0.2,0.4,0.0,81.0,97.0,87.0,,,,,,,0.377,,,,0.04,,,91.6,,0.25,0.25,0.306,,,,0.308,0.526,0.07200000000000001,81.0,103.0,96.0,0.055,-0.31,81.4,,,,,,,,,,,,
2023/09/20,1:11 PM.,COL,SD,home,Partly Cloudy.,72,502624,C,2,0,0,0,0,0,0,0,0,0,0,.179,.203,.286,.489,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,67.0,93.0,82.0,104.0,114.0,115.0,0.312,0.082,0.229,-2.17,0.92,2.14,93.3,83.9,80.6,0.351,0.619,0.17300000000000001,0.172,0.172,0.24600000000000002,0.163,0.25,0.287,70.0,96.0,82.0,,,,108.0,98.0,97.0,0.073,0.263,,0.63,-5.45,,89.2,92.6,,0.3,0.9,0.125,0.244,0.444,0.226,0.545,0.955,0.073,75.0,91.0,92.0,0.041,-4.22,77.6,,,,,,,,,,,,
2023/09/16,1:07 PM.,OAK,SD,away,Overcast.,68,695243,C,3,1,1,0,0,0,0,0,1,0,0,.185,.211,.296,.507,695243,masonmiller,"Miller, M",Right,Mason Miller,OAK,3.78,3.18,33.1,96.0,125.0,103.0,0.762,10.26,4.32,6.48,0.54,0.5,0.39,0.268,0.183,0.268,0.433,83.0,80.0,77.0,136.0,98.0,106.0,113.0,97.0,104.0,0.555,0.238,0.049,0.94,1.87,1.62,98.3,90.3,85.8,0.219,0.391,0.21,0.118,0.147,0.47100000000000003,0.0,0.0,0.429,,,,,,,117.0,95.0,100.0,,0.158,,-1.76,,,94.1,,,,,,0.375,0.375,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,
2023/09/12,7:10 PM.,LAD,SD,away,Clear.,73,458681,C,3,0,0,0,0,0,0,0,0,0,2,.176,.189,.294,.483,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,92.0,105.0,104.0,97.0,98.0,106.0,0.437,0.063,0.07,-0.4,-3.65,-1.23,92.4,84.9,83.0,0.255,0.52,0.316,0.286,0.446,0.308,0.302,0.372,0.29600000000000004,93.0,95.0,87.0,,,,104.0,105.0,99.0,0.126,0.23,,-0.35,1.21,,88.7,91.4,,0.208,0.453,0.354,0.273,0.512,0.267,0.239,0.394,0.177,109.0,97.0,106.0,0.074,-2.24,80.8,,,,,,,,,,,,
