date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO
2023/08/15,6:42 PM.,CLE,CIN,home,Partly Cloudy.,72,671106,3B,3,0,1,0,0,0,0,0,0,0,2,.253,.311,.364,.675,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,110.0,97.0,98.0,,0.451,0.089,0.247,,,0.213,-0.12,-2.1,,-0.74,,,1.49,91.4,86.3,82.7,,79.3,,,,,,0.257,0.482,0.177,0.462,0.692,0.17,0.3,0.3,0.368,,,,0.191,0.223,0.33,,,,,,,,,,,,,,,,,,
2023/08/13,6:06 PM.,PIT,CIN,away,Partly Cloudy.,82,656578,3B,1,0,0,0,0,0,0,0,0,1,1,.252,.310,.365,.675,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,,,,90.0,101.0,103.0,,,,,0.446,,0.17,0.065,,0.32,0.74,,,1.4,1.88,,-1.7,94.9,,86.9,,87.1,81.5,,0.067,0.067,0.32299999999999995,0.222,0.367,0.191,,,,0.148,0.296,0.20600000000000002,,,,0.273,0.566,0.297,,,,,,,,,,,,,,,,,,
2023/08/11,7:09 PM.,PIT,CIN,away,Cloudy.,83,670912,1B,1,0,0,0,0,0,0,0,0,1,2,.253,.312,.367,.679,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,,,,0.05,0.392,,0.367,0.149,,0.041,-1.25,,0.93,0.8,0.82,,-0.07,95.8,,88.1,95.7,88.2,80.9,,0.193,0.352,0.308,0.277,0.477,0.183,,,,0.21,0.349,0.326,0.276,0.345,0.065,0.25,0.3,0.35700000000000004,,,,,,,,,,,,,,,,,,
2023/08/08,6:41 PM.,MIA,CIN,home,Clear.,81,666129,DH,3,1,0,0,0,0,0,0,0,0,1,.255,.313,.368,.681,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.075,0.177,0.258,0.084,,0.088,-1.84,1.53,1.06,0.45,-4.44,,0.73,90.8,87.5,84.1,90.5,82.8,77.7,,0.5,1.059,0.2,0.325,0.575,0.159,0.243,0.477,0.247,0.169,0.302,0.408,0.256,0.377,0.107,0.286,0.327,0.327,,,,,,,,,,,,,,,,,,
2023/08/07,6:41 PM.,MIA,CIN,home,Cloudy.,75,691587,2B,3,0,1,0,0,0,0,1,0,1,1,.258,.317,.373,.690,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,101.0,102.0,107.0,,,,,0.454,,0.308,0.14,,0.098,-0.47,,,0.99,1.89,,0.99,97.5,,89.7,,86.4,81.2,,0.098,0.171,0.5429999999999999,0.289,0.585,0.187,,,,0.183,0.365,0.47700000000000004,,,,0.045,0.045,0.462,,,,,,,,,,,,,,,,,,
2023/08/04,6:42 PM.,WSH,CIN,home,Clear.,89,571578,3B,5,0,0,0,0,0,0,0,0,0,4,.257,.314,.374,.688,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,,,,0.417,0.169,,0.35,,,0.064,-0.69,,-0.89,-0.51,,,-2.07,91.8,,81.2,92.1,80.5,,,,,,0.327,0.541,0.121,,,,0.233,0.461,0.397,0.32,0.463,0.07400000000000001,0.29,0.645,0.4,,,,,,,,,,,,,,,,,,
2023/08/02,7:05 PM.,CHC,CIN,away,Partly Cloudy.,81,592767,2B,3,1,1,0,0,0,0,0,0,1,0,.263,.321,.383,.704,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,77.0,94.0,88.0,,,,86.0,94.0,82.0,0.389,,0.117,,,0.494,,,-0.51,-1.32,,,-0.09,,,88.6,,91.9,,,78.6,0.229,0.399,0.36,,,,0.293,0.463,0.21600000000000003,,,,0.314,0.6,0.17300000000000001,,,,105.0,102.0,103.0,,,,,,,,,,,,,,,
2023/08/01,7:05 PM.,CHC,CIN,away,Partly Cloudy.,84,657006,2B,4,1,1,1,0,0,0,0,1,1,3,.262,.320,.383,.703,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,,,,0.018,0.626,,0.339,0.006,,0.01,0.67,,0.89,0.54,2.44,,-1.94,91.8,,87.5,92.2,83.3,80.7,,0.0,0.0,0.33299999999999996,0.275,0.393,0.203,,,,0.217,0.346,0.311,0.25,0.333,0.16699999999999998,0.4,0.4,0.1,,,,,,,,,,,,,,,,,,
2023/07/30,1:10 PM.,LAD,CIN,away,Sunny.,82,675627,3B,1,1,1,1,0,0,0,0,0,0,0,.262,.319,.381,.700,675627,michaelgrove,Grove,Right,Michael Grove,LAD,6.13,5.0,69.0,102.0,98.0,103.0,0.742,9.52,2.48,10.83,1.57,1.07,0.188,0.42,0.164,0.343,0.44,123.0,129.0,150.0,,,,86.0,102.0,95.0,,,,106.0,106.0,111.0,94.0,103.0,105.0,0.042,0.327,0.075,0.382,,0.17,0.003,-3.57,0.93,1.99,1.07,,-0.36,-16.59,94.8,89.2,88.0,94.7,85.6,,78.3,0.308,0.423,0.17600000000000002,0.442,0.779,0.083,0.261,0.565,0.264,0.2,0.331,0.449,0.286,0.357,0.14800000000000002,,,,98.0,93.0,98.0,,,,,,,,,,,,,,,
2023/07/29,6:10 PM.,LAD,CIN,away,Clear.,82,686218,2B,1,0,0,0,0,0,1,0,0,0,1,.259,.316,.373,.689,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,,,,112.0,98.0,103.0,,,,,0.6,,0.228,,,0.172,0.04,,,1.57,,,0.51,95.4,,82.9,,85.8,,,,,,0.24,0.504,0.20199999999999999,,,,0.091,0.182,0.41200000000000003,,,,0.178,0.333,0.47600000000000003,,,,,,,,,,,,,,,,,,
