date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/07/04,3:42 PM.,SD,LAA,away,Sunny.,71,605397,3B,2,0,0,0,0,0,0,0,0,2,0,.236,.361,.318,.679,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.05,3.11,97.1,104.0,106.0,102.0,0.768,8.97,1.94,8.32,0.92,1.37,0.221,0.438,0.154,0.254,0.414,101.0,102.0,100.0,80.0,105.0,98.0,117.0,110.0,111.0,0.245,0.145,0.114,1.77,-2.03,-0.63,93.1,87.1,82.2,0.205,0.273,0.222,0.267,0.333,0.406,0.281,0.594,0.33899999999999997,134.0,107.0,110.0,0.239,0.77,81.3,0.207,0.329,0.34,102.0,99.0,98.0,,,,0.204,,1.68,,90.1,,,,,0.302,0.429,0.13,109.0,98.0,78.0,0.054,3.35,92.8,0.261,0.261,0.125,,,,,,,,,
2023/07/03,6:41 PM.,SD,LAA,away,Clear.,68,605483,3B,3,0,1,0,0,0,0,0,2,1,2,.240,.365,.322,.687,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.184,0.07,0.68,2.65,95.5,86.7,88.4,0.255,0.389,0.195,0.185,0.266,0.46799999999999997,0.123,0.26,0.536,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/02,1:08 PM.,AZ,LAA,home,Sunny.,80,668678,3B,3,0,0,0,0,0,0,0,1,0,0,.238,.358,.322,.680,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,105.0,116.0,112.0,0.491,0.045,0.139,1.59,0.34,1.05,93.6,86.8,87.4,0.238,0.36,0.192,0.21,0.336,0.314,0.25,0.389,0.265,,,,,,,0.21,0.344,0.405,106.0,99.0,94.0,,,,0.092,,-2.24,,90.2,,,,,0.352,0.648,0.205,97.0,95.0,92.0,0.007,-3.38,93.0,0.286,0.714,0.125,,,,121.0,104.0,112.0,0.227,0.46,82.5
2023/07/01,7:08 PM.,AZ,LAA,home,Clear.,69,669194,3B,4,1,1,0,0,1,1,0,0,1,1,.243,.360,.329,.689,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,0.546,0.134,0.133,-0.72,0.52,-0.16,94.4,83.3,81.7,0.308,0.553,0.16699999999999998,0.203,0.407,0.312,0.174,0.565,0.257,99.0,94.0,98.0,0.052,-2.44,76.4,0.429,0.714,0.182,101.0,111.0,105.0,,,,0.135,,-1.72,,85.6,,,,,0.326,0.539,0.218,,,,,,,,,,,,,,,,,,
2023/06/30,6:40 PM.,AZ,LAA,home,Clear.,76,674072,3B,3,0,0,0,0,0,0,0,1,1,4,.243,.363,.309,.672,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.193,-0.88,2.53,-0.09,90.7,84.0,83.1,0.292,0.523,0.155,0.278,0.444,0.331,0.158,0.281,0.287,95.0,101.0,102.0,0.191,0.71,79.1,0.229,0.325,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/15,7:09 PM.,TEX,LAA,away,Roof Closed.,74,543135,3B,3,0,0,0,0,0,0,0,0,3,1,.248,.366,.316,.682,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,92.0,97.0,93.0,101.0,113.0,109.0,0.372,0.04,,0.41,-3.23,,95.1,,83.9,0.234,0.423,0.183,,,,0.303,0.606,0.13699999999999998,99.0,104.0,102.0,0.135,0.86,76.0,0.2,0.22,0.41700000000000004,86.0,98.0,92.0,125.0,101.0,106.0,0.176,0.276,1.33,1.26,90.6,87.9,0.196,0.314,0.355,0.238,0.417,0.198,,,,,,,,,,,,,,,,,,
2023/06/14,7:07 PM.,TEX,LAA,away,Roof Closed.,74,571760,3B,5,0,1,1,0,0,1,0,0,1,4,.254,.369,.323,.692,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.169,0.1,-1.35,-0.11,92.5,84.0,82.0,0.236,0.431,0.256,0.274,0.452,0.24,0.259,0.443,0.29600000000000004,80.0,143.0,68.0,0.0,-3.87,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/13,7:07 PM.,TEX,LAA,away,Roof Closed.,74,674003,3B,5,1,0,0,0,0,0,0,0,1,3,.256,.374,.320,.694,674003,codybradford,Bradford,Left,Cody Bradford,TEX,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,91.0,100.0,102.0,64.0,109.0,99.0,66.0,104.0,103.0,0.546,0.044,0.276,0.16,-6.76,0.74,90.4,82.1,83.1,0.26,0.535,0.18600000000000003,0.2,0.283,0.33899999999999997,0.5,0.9,0.15,,,,,,,,,,,,,,,,0.134,,-1.23,,86.6,,,,,0.316,0.737,0.17,,,,,,,,,,,,,,,,,,
2023/06/12,7:07 PM.,TEX,LAA,away,Roof Closed.,74,641540,3B,4,0,0,0,0,0,0,0,1,0,5,.267,.387,.333,.720,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,71.0,96.0,85.0,101.0,106.0,106.0,0.032,0.234,0.156,-3.75,0.14,-0.87,90.5,85.7,82.1,0.294,0.765,0.235,0.301,0.478,0.258,0.212,0.364,0.345,78.0,82.0,84.0,0.016,-3.56,78.1,0.25,0.25,0.5,90.0,100.0,95.0,,,,0.2,,0.82,,88.9,,,,,0.258,0.393,0.231,79.0,104.0,94.0,0.331,1.37,91.0,0.246,0.354,0.08,,,,,,,0.032,-0.43,77.5
2023/06/10,7:07 PM.,SEA,LAA,home,Overcast.,64,693433,3B,4,0,0,0,0,0,0,0,0,1,0,.276,.393,.345,.738,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,110.0,96.0,105.0,0.469,0.24,0.037,0.69,-0.83,-2.37,95.1,89.7,86.0,0.207,0.407,0.303,0.4,0.4,0.222,0.257,0.457,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,102.0,103.0,0.255,1.34,95.0,0.213,0.372,0.20800000000000002,,,,,,,,,
2023/06/09,6:39 PM.,SEA,LAA,home,Cloudy.,67,622491,3B,3,2,1,1,0,0,0,0,0,0,1,.286,.404,.357,.761,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,95.0,104.0,100.0,117.0,100.0,108.0,0.444,0.221,0.156,1.31,-0.12,-1.6,96.3,88.3,85.7,0.165,0.384,0.33,0.28,0.42,0.325,0.234,0.455,0.37799999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,103.0,95.0,0.179,0.6,95.9,0.239,0.337,0.136,,,,,,,,,
2023/06/07,6:38 PM.,CHC,LAA,home,Cloudy.,68,592791,3B,4,0,0,0,0,0,0,0,0,1,1,.284,.401,.349,.750,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.031,-0.69,0.75,-0.22,93.7,86.5,80.9,0.261,0.553,0.204,0.28,0.44,0.106,0.233,0.333,0.27399999999999997,109.0,111.0,113.0,0.149,-0.12,80.5,0.198,0.349,0.2,101.0,102.0,99.0,,,,0.222,,-0.32,,88.6,,,,,0.311,0.521,0.27399999999999997,97.0,107.0,97.0,0.102,0.9,93.9,0.296,0.394,0.133,,,,,,,,,
2023/06/06,6:39 PM.,CHC,LAA,home,Cloudy.,65,669713,3B,2,0,0,0,0,0,0,0,1,0,1,.295,.414,.362,.776,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,4.63,5.23,89.1,101.0,101.0,102.0,0.796,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,77.0,102.0,103.0,80.0,105.0,94.0,123.0,98.0,110.0,0.296,0.366,0.049,-1.9,1.49,0.65,94.3,84.5,82.0,0.327,0.636,0.165,0.188,0.188,0.133,0.14,0.231,0.376,,,,,,,,,,100.0,98.0,104.0,,,,0.1,,-0.42,,88.8,,,,,0.308,0.654,0.2,92.0,96.0,91.0,0.189,-0.38,92.9,0.273,0.545,0.145,,,,,,,,,
2023/05/13,6:09 PM.,CLE,LAA,away,Partly Cloudy.,65,615698,3B,2,0,0,0,0,0,1,0,0,0,2,.301,.415,.369,.784,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,75.0,77.0,73.0,,,,0.01,,0.101,-2.44,,-2.42,93.8,86.1,,0.333,0.667,0.2,0.344,0.625,0.182,,,,103.0,110.0,111.0,0.109,1.28,82.0,0.188,0.313,0.158,103.0,94.0,93.0,113.0,104.0,104.0,0.241,0.123,-0.89,-1.13,88.1,86.8,0.241,0.362,0.225,0.33,0.495,0.221,86.0,96.0,90.0,0.416,0.18,93.7,0.277,0.428,0.16899999999999998,,,,,,,,,
2023/05/12,7:10 PM.,CLE,LAA,away,Overcast.,70,671106,3B,5,1,3,1,0,0,0,0,0,0,3,.307,.425,.376,.801,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,0.451,0.247,0.213,-0.12,-0.74,1.49,91.4,82.7,79.3,0.257,0.482,0.177,0.191,0.223,0.33,0.3,0.3,0.368,,,,,,,,,,110.0,97.0,98.0,,,,0.089,,-2.1,,86.3,,,,,0.462,0.692,0.17,,,,,,,,,,,,,,,,,,
2023/05/10,1:08 PM.,HOU,LAA,home,Partly Cloudy.,69,664299,3B,4,1,2,0,0,0,0,0,0,1,0,.292,.418,.354,.772,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,101.0,98.0,98.0,108.0,95.0,102.0,0.584,0.3,0.041,0.44,-0.09,-1.29,92.7,83.7,79.5,0.236,0.455,0.265,0.28,0.36,0.392,0.211,0.367,0.287,,,,,,,0.268,0.366,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,99.0,102.0,0.075,-1.17,76.6
2023/05/09,6:39 PM.,HOU,LAA,home,Partly Cloudy.,63,664285,3B,4,0,0,0,0,0,0,0,0,2,2,.283,.415,.348,.763,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,,,,0.001,0.087,0.157,-16.35,-0.32,0.73,95.7,90.1,84.7,,,,0.231,0.342,0.311,0.189,0.405,0.43799999999999994,118.0,98.0,106.0,0.253,1.07,80.2,0.158,0.211,0.402,99.0,99.0,95.0,,,,0.034,,0.45,,89.1,,,,,0.182,0.182,0.435,97.0,98.0,96.0,0.468,0.93,95.3,0.274,0.455,0.126,,,,,,,,,
2023/05/08,6:39 PM.,HOU,LAA,home,Clear.,69,686613,3B,2,1,1,0,0,0,1,0,1,0,0,.295,.430,.364,.794,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,101.0,99.0,96.0,104.0,92.0,97.0,0.461,0.017,,0.01,-2.64,,95.7,,84.6,0.271,0.511,0.223,0.121,0.242,0.37,0.25,0.625,0.33299999999999996,,,,,,,0.247,0.374,0.303,,,,92.0,104.0,105.0,0.235,0.048,-0.4,0.92,91.7,88.2,,,,0.297,0.506,0.20800000000000002,90.0,103.0,93.0,0.002,-0.16,96.0,,,,,,,112.0,102.0,110.0,0.238,-0.77,82.9
