date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,wFO/C,vFO
2023/07/01,4:08 PM.,WSH,PHI,home,Partly Cloudy.,86,669022,1B,1,0,0,0,0,0,0,0,0,0,0,.230,.277,.367,.644,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.029,-0.27,0.77,1.1,95.0,86.5,88.5,0.279,0.503,0.21600000000000003,0.213,0.415,0.375,0.188,0.25,0.382,72.0,99.0,104.0,,,,,0.188,,-0.85,,83.2,,,,0.257,0.416,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/30,6:14 PM.,WSH,PHI,home,Overcast.,85,680686,1B,3,0,0,0,0,0,0,0,0,1,1,.232,.279,.370,.649,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,44.0,96.0,90.0,82.0,91.0,83.0,84.0,92.0,96.0,0.166,0.299,0.016,-1.21,-0.07,0.6,93.5,88.6,85.1,0.291,0.557,0.20199999999999999,0.163,0.233,0.429,0.286,0.357,0.1,96.0,95.0,97.0,93.0,101.0,90.0,0.176,0.161,0.15,0.24,93.1,82.2,0.313,0.385,0.138,0.221,0.358,0.349,95.0,95.0,83.0,0.181,-0.09,88.8,0.243,0.461,0.205,,,,,,,,,,,,,,,,,,,,,
2023/06/29,7:05 PM.,CHC,PHI,away,Cloudy.,76,543294,1B,3,1,1,0,0,0,0,0,0,1,1,.237,.285,.378,.663,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,,,,0.205,,0.411,-1.61,,1.43,87.8,80.7,,0.38,0.658,0.11199999999999999,,,,0.18,0.279,0.324,97.0,79.0,84.0,72.0,110.0,99.0,0.349,0.035,0.04,0.0,87.5,73.3,0.318,0.46,0.08,0.25,0.25,0.43799999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/27,7:04 PM.,CHC,PHI,away,Overcast.,66,592791,1B,4,1,2,1,0,0,0,0,0,1,0,.235,.284,.379,.663,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,87.0,104.0,97.0,117.0,113.0,122.0,0.342,0.154,0.031,-0.69,0.75,-0.22,93.7,86.5,80.9,0.261,0.553,0.204,0.233,0.333,0.27399999999999997,0.28,0.44,0.106,109.0,111.0,113.0,97.0,107.0,97.0,0.102,0.149,0.9,-0.12,93.9,80.5,0.296,0.394,0.133,0.198,0.349,0.2,101.0,102.0,99.0,0.222,-0.32,88.6,0.311,0.521,0.27399999999999997,,,,,,,,,,,,,,,,,,,,,
2023/06/25,1:39 PM.,NYM,PHI,home,Partly Cloudy.,88,471911,1B,1,0,0,0,0,0,0,0,0,1,3,.227,.277,.367,.644,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,75.0,95.0,85.0,104.0,98.0,108.0,0.323,0.184,0.299,-2.35,-1.99,0.12,92.7,87.2,84.1,0.358,0.651,0.166,0.329,0.575,0.32899999999999996,0.22,0.314,0.311,88.0,103.0,104.0,91.0,90.0,87.0,0.1,0.091,-3.88,-1.25,91.5,80.1,0.45,0.725,0.129,0.25,0.594,0.217,86.0,88.0,95.0,0.004,-9.5,89.5,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/24,4:08 PM.,NYM,PHI,home,Partly Cloudy.,78,453286,1B,2,0,0,0,0,0,0,0,0,0,1,.228,.279,.370,.649,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,104.0,101.0,101.0,106.0,108.0,108.0,0.463,0.168,0.141,0.72,-0.21,0.03,93.7,83.8,84.0,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.207,0.283,0.275,96.0,101.0,104.0,,,,,0.124,,0.51,,75.4,,,,0.187,0.373,0.326,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,
2023/06/22,1:07 PM.,ATL,PHI,home,Cloudy.,65,693821,1B,4,0,0,0,0,0,0,0,0,0,2,.232,.284,.376,.660,693821,bryceelder,Elder,Right,Bryce Elder,ATL,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.357,0.382,64.0,95.0,91.0,62.0,100.0,86.0,92.0,103.0,107.0,0.134,0.353,0.137,-1.13,0.97,1.3,90.7,85.0,82.7,0.286,0.495,0.19399999999999998,0.21,0.393,0.337,0.188,0.235,0.23600000000000002,,,,82.0,96.0,90.0,0.376,,0.01,,89.5,,0.28,0.402,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/20,6:44 PM.,ATL,PHI,home,Partly Cloudy.,75,675911,1B,4,0,0,0,0,0,1,0,0,2,0,.240,.292,.388,.680,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,85.0,98.0,101.0,141.0,106.0,116.0,104.0,103.0,107.0,0.589,0.338,0.073,0.4,1.67,0.97,97.2,87.0,85.6,0.256,0.431,0.287,0.154,0.269,0.5529999999999999,0.122,0.184,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17,1:10 PM.,OAK,PHI,away,Sunny.,66,621076,RF,3,0,0,0,0,0,0,0,0,1,4,.248,.302,.402,.704,621076,jameskaprielian,Kaprielian,Right,James Kaprielian,OAK,6.34,4.86,61.0,102.0,88.0,99.0,0.766,8.41,4.57,9.74,1.33,0.61,0.263,0.462,0.151,0.355,0.439,72.0,104.0,102.0,76.0,100.0,91.0,106.0,104.0,107.0,0.414,0.307,0.078,0.35,-0.35,-2.75,92.3,83.3,80.8,0.202,0.384,0.252,0.263,0.4,0.316,0.368,0.737,0.18,84.0,108.0,109.0,99.0,98.0,95.0,0.139,0.061,-2.81,-1.04,92.0,75.9,0.412,0.529,0.14300000000000002,0.444,0.778,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/15,12:40 PM.,AZ,PHI,away,Roof Closed.,78,669194,1B,5,0,1,0,0,0,0,0,0,1,2,.254,.309,.412,.721,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,0.546,0.134,0.133,-0.72,0.52,-0.16,94.4,83.3,81.7,0.308,0.553,0.16699999999999998,0.174,0.565,0.257,0.203,0.407,0.312,99.0,94.0,98.0,,,,,0.052,,-2.44,,76.4,,,,0.429,0.714,0.182,101.0,111.0,105.0,0.135,-1.72,85.6,0.326,0.539,0.218,,,,,,,,,,,,,,,,,,,,,
