date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff
2023/05/02,6:41 PM.,MIL,COL,home,Cloudy.,66,642547,CF,0,1,0,0,0,0,0,0,0,0,0,.270,.304,.351,.655,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,115.0,99.0,104.0,0.512,0.218,0.124,0.146,0.89,0.36,0.2,0.15,94.4,88.6,82.4,76.9,0.213,0.387,0.292,0.203,0.392,0.46,0.214,0.381,0.33799999999999997,0.224,0.388,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/30,1:10 PM.,AZ,COL,home,Partly Cloudy.,65,669194,RF,0,0,0,0,0,0,0,0,0,0,0,.270,.304,.351,.655,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,106.0,105.0,113.0,0.546,0.134,0.052,0.133,-0.72,0.52,-2.44,-0.16,94.4,83.3,81.7,76.4,0.308,0.553,0.16699999999999998,0.174,0.565,0.257,0.429,0.714,0.182,0.203,0.407,0.312,,,,101.0,111.0,105.0,,0.135,-1.72,,85.6,,,,,0.326,0.539,0.218,,,,,,,,,,,,,,,,,,,,,
2023/04/29,6:12 PM.,AZ,COL,home,Partly Cloudy.,72,674072,PH,1,0,0,0,0,0,0,0,0,0,0,.270,.304,.351,.655,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,91.0,102.0,99.0,95.0,101.0,102.0,72.0,91.0,83.0,92.0,101.0,93.0,0.49,0.127,0.191,0.193,-0.88,2.53,0.71,-0.09,90.7,84.0,83.1,79.1,0.292,0.523,0.155,0.158,0.281,0.287,0.229,0.325,0.21,0.278,0.444,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/23,12:05 PM.,PHI,COL,away,Sunny.,63,554430,CF,1,0,0,0,0,0,1,0,0,1,0,.274,.308,.356,.664,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.123,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,90.8,84.4,81.4,0.199,0.333,0.314,0.198,0.36,0.392,0.264,0.473,0.33,,,,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.144,-0.63,1.62,90.9,95.2,0.252,0.308,0.192,0.27,0.426,0.228,,,,,,,,,,,,,,,,,,,,,
2023/04/22,3:10 PM.,PHI,COL,away,Partly Cloudy.,78,650911,CF,4,0,3,1,0,0,1,0,0,0,1,.278,.303,.361,.664,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,123.0,100.0,100.0,,0.211,,0.327,,0.2,,1.1,,81.8,82.7,,,,,0.25,0.456,0.297,,,,0.148,0.274,0.43,71.0,104.0,97.0,,,,0.462,,,0.65,,92.1,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/21,7:07 PM.,PHI,COL,away,Clear.,73,605400,CF,3,0,0,0,0,0,0,0,0,0,1,.250,.278,.324,.602,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,,,,0.295,,,0.126,-0.03,,,0.14,92.7,85.9,,,0.246,0.503,0.217,,,,0.221,0.398,0.33299999999999996,0.22,0.319,0.319,100.0,107.0,101.0,111.0,110.0,105.0,0.188,0.075,0.4,0.46,86.3,91.8,0.279,0.416,0.106,0.246,0.508,0.301,,,,118.0,105.0,113.0,0.316,0.47,79.4,,,,,,,,,,,,
2023/04/20,6:42 PM.,PHI,COL,away,Clear.,75,621381,CF,3,1,1,1,0,0,0,0,1,0,0,.262,.290,.338,.628,621381,mattstrahm,Strahm,Left,Matt Strahm,PHI,3.29,3.16,87.2,104.0,104.0,104.0,0.739,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.356,0.476,114.0,99.0,105.0,,,,101.0,105.0,104.0,118.0,98.0,106.0,0.452,0.256,,0.004,1.08,2.22,,-9.98,93.4,86.5,83.1,,0.186,0.371,0.311,0.133,0.256,0.34299999999999997,,,,,,,95.0,111.0,106.0,96.0,97.0,89.0,0.187,0.101,-0.5,0.27,87.6,93.2,0.344,0.459,0.156,0.296,0.556,0.25,,,,,,,,,,,,,,,,,,,,,
2023/04/19,1:10 PM.,PIT,COL,home,Cloudy.,55,670912,CF,0,1,0,0,0,0,0,0,1,0,0,.258,.277,.323,.600,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,103.0,98.0,104.0,0.392,0.367,0.149,0.041,-1.25,0.8,0.82,-0.07,95.8,88.1,88.2,80.9,0.277,0.477,0.183,0.21,0.349,0.326,0.193,0.352,0.308,0.25,0.3,0.35700000000000004,100.0,93.0,92.0,,,,0.05,,,0.93,,95.7,0.276,0.345,0.065,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/18,6:40 PM.,PIT,COL,home,Partly Cloudy.,73,592826,CF,2,0,0,0,0,0,0,0,1,1,3,.258,.266,.323,.589,592826,vincevelasquez,Velasquez,Right,Vince Velasquez,PIT,3.86,4.13,37.1,99.0,99.0,102.0,0.741,8.92,3.38,8.44,0.96,0.7,0.336,0.336,0.182,0.282,0.4,59.0,102.0,92.0,,,,110.0,97.0,102.0,101.0,100.0,104.0,0.415,0.446,,0.125,-1.31,2.19,,-1.78,93.2,88.6,83.2,,0.314,0.51,0.222,0.192,0.308,0.319,,,,0.25,0.375,0.257,63.0,94.0,91.0,,,,0.011,,,6.0,,92.9,,,,,,,,,,94.0,146.0,144.0,0.003,-2.3,80.6,,,,,,,,,,,,
2023/04/17,6:40 PM.,PIT,COL,home,Partly Cloudy.,72,448179,CF,4,0,1,0,0,0,0,0,0,1,2,.267,.262,.333,.595,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,90.0,92.0,97.0,0.342,0.088,0.354,0.023,-0.32,-2.52,-1.16,-0.06,88.4,83.0,71.1,72.0,0.249,0.454,0.218,0.5,0.929,0.125,0.283,0.47,0.174,0.263,0.421,0.037000000000000005,98.0,101.0,98.0,85.0,97.0,93.0,0.04,0.147,-1.27,2.5,83.3,86.1,0.105,0.105,0.226,0.39,0.701,0.19899999999999998,,,,,,,0.008,-3.65,67.1,,,,,,,,,,,,
