date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/29,7:10 PM.,CHC,MIL,home,Clear.,66,543294,CF,3,0,0,0,0,0,0,0,1,1,3,.258,.333,.468,.801,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,97.0,79.0,84.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,,,,0.349,0.205,,,,0.035,-1.61,,,0.04,,0.0,87.8,,,87.5,,73.3,0.318,0.46,0.08,,,,,,,0.38,0.658,0.11199999999999999,,,,,,,43.0,107.0,90.0,0.411,1.43,80.7,0.18,0.279,0.324,0.25,0.25,0.43799999999999994,,,,,,
2023/09/28,3:11 PM.,STL,MIL,home,Roof Closed.,65,641712,CF,1,1,1,1,0,0,0,0,2,0,0,.271,.338,.492,.830,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,STL,4.98,6.0,81.1,96.0,94.0,91.0,0.818,4.98,3.76,9.74,1.0,1.89,0.16,0.461,0.141,0.349,0.419,81.0,103.0,96.0,81.0,99.0,88.0,81.0,97.0,87.0,120.0,95.0,100.0,,,,,,,0.377,0.222,,,0.321,0.055,0.43,,,0.04,-0.76,-0.31,91.1,,,91.6,85.1,81.4,0.308,0.526,0.07200000000000001,,,,,,,0.281,0.328,0.129,,,,0.258,0.43,0.39299999999999996,85.0,66.0,62.0,0.024,-4.54,84.4,0.2,0.4,0.0,0.25,0.25,0.306,,,,,,
2023/04/18,6:40 PM.,SEA,MIL,away,Roof Closed.,46,669302,CF,4,1,0,0,0,0,0,0,0,3,0,.259,.306,.466,.772,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,98.0,103.0,117.0,0.003,0.419,,0.148,0.297,,0.01,,0.25,-11.33,1.84,,95.7,,85.6,93.7,88.7,,0.667,1.0,0.25,,,,,,,0.28,0.491,0.177,0.174,0.34,0.35,0.211,0.349,0.322,,,,,,,,,,0.214,0.371,0.306,110.0,95.0,103.0,0.134,0.39,80.3
2023/04/17,6:41 PM.,SEA,MIL,away,Cloudy.,48,623167,CF,5,0,1,0,0,0,0,0,0,1,6,.278,.328,.500,.828,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,122.0,107.0,111.0,87.0,100.0,94.0,,,,0.019,0.409,0.293,,0.097,0.022,-2.66,-0.47,,-7.15,-2.44,2.61,91.9,87.9,,90.9,80.8,71.6,0.6,0.7,0.111,,,,0.287,0.504,0.20199999999999999,0.379,0.739,0.174,,,,0.389,0.444,0.14800000000000002,93.0,97.0,97.0,0.16,0.72,81.0,0.213,0.32,0.397,0.125,0.125,0.35700000000000004,,,,,,
2023/04/16,1:11 PM.,SD,MIL,away,Overcast.,62,506433,CF,3,1,2,0,0,0,0,1,1,1,0,.286,.340,.531,.871,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,93.0,95.0,99.0,95.0,104.0,100.0,0.186,0.167,0.089,0.077,0.363,0.051,-1.74,2.4,1.21,0.46,-0.68,1.37,94.7,90.9,89.2,94.3,84.0,72.3,0.319,0.418,0.157,,,,0.2,0.32,0.196,0.253,0.538,0.159,0.167,0.217,0.4,0.432,0.703,0.244,180.0,50.0,53.0,0.001,-1.35,82.3,,,,0.13,0.203,0.391,105.0,111.0,112.0,0.066,3.06,79.3
2023/04/15,1:05 PM.,SD,MIL,away,Sunny.,64,607625,CF,3,0,0,0,0,0,0,0,0,3,1,.261,.306,.522,.828,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,,,,0.199,0.318,,,0.111,0.313,0.36,,,1.87,-0.6,0.26,93.4,,,93.2,85.2,79.6,0.208,0.36,0.08900000000000001,0.0,0.0,0.226,,,,0.246,0.464,0.214,,,,0.25,0.417,0.28600000000000003,85.0,96.0,97.0,0.059,-2.89,86.3,0.303,0.576,0.34299999999999997,0.287,0.384,0.265,,,,,,
2023/04/13,6:42 PM.,SD,MIL,away,Cloudy.,55,607259,CF,5,0,0,0,0,0,0,0,0,2,6,.279,.326,.558,.884,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,87.0,108.0,101.0,,,,96.0,102.0,96.0,,,,0.224,0.13,0.164,,0.002,0.191,-0.91,-1.99,,1.23,-4.18,0.59,93.3,89.5,,92.9,84.5,81.8,0.293,0.333,0.08800000000000001,,,,0.382,0.632,0.16899999999999998,0.25,0.423,0.225,,,,,,,97.0,102.0,106.0,0.288,2.41,80.7,0.158,0.226,0.465,0.164,0.295,0.34700000000000003,,,,,,
2023/04/12,12:40 PM.,AZ,MIL,away,Roof Closed.,72,686753,CF,4,0,1,0,0,0,0,0,0,2,2,.316,.366,.632,.998,686753,dreyjameson,Jameson,Right,Drey Jameson,ARI,3.32,5.55,40.2,98.0,102.0,97.0,0.723,8.19,3.98,8.85,1.33,1.17,0.271,0.322,0.102,0.39,0.435,119.0,89.0,96.0,102.0,105.0,99.0,92.0,94.0,89.0,115.0,99.0,106.0,,,,,,,0.298,0.272,,,0.261,0.037,-0.7,,,-0.74,0.4,1.43,97.0,,,95.0,85.4,80.8,0.362,0.468,0.22899999999999998,,,,,,,0.279,0.581,0.165,,,,0.158,0.316,0.519,95.0,94.0,93.0,0.132,2.95,89.1,0.19,0.19,0.33299999999999996,0.2,0.2,0.2,,,,,,
2023/04/11,6:40 PM.,AZ,MIL,away,Clear.,93,518876,CF,4,1,2,0,0,0,0,0,0,1,0,.324,.378,.676,1.054,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,87.0,101.0,99.0,,,,0.122,0.301,0.181,,0.055,0.11,0.04,0.88,,0.83,-0.64,-0.45,92.2,90.8,,92.4,85.5,82.1,0.261,0.378,0.163,,,,0.22,0.352,0.244,0.224,0.489,0.259,,,,0.217,0.391,0.413,99.0,108.0,114.0,0.231,2.43,88.7,0.18,0.234,0.32,0.268,0.411,0.256,,,,,,
2023/04/10,6:41 PM.,AZ,MIL,away,Clear.,94,668678,CF,2,0,1,0,0,0,0,0,1,1,0,.300,.364,.700,1.064,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,,,,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,106.0,99.0,94.0,,,,0.007,0.491,0.092,,0.045,,1.59,-2.24,,-3.38,0.34,,93.6,90.2,,93.0,87.4,,0.286,0.714,0.125,,,,0.352,0.648,0.205,0.238,0.36,0.192,,,,0.25,0.389,0.265,86.0,107.0,114.0,0.139,1.05,86.8,0.21,0.336,0.314,0.21,0.344,0.405,121.0,104.0,112.0,0.227,0.46,82.5
