date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/08/13,1:11 PM.,BAL,SEA,home,Sunny.,82,680694,PH,1,0,0,0,0,0,0,0,0,1,0,.290,.335,.538,.873,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,,,,,,,0.207,0.224,,,0.313,0.173,-1.0,,,1.53,1.77,3.99,94.5,,,95.0,88.1,84.8,,,,0.142,0.165,0.35600000000000004,0.23,0.367,0.15,0.366,0.602,0.15,0.168,0.272,0.364,,,,97.0,100.0,98.0,0.083,-0.36,90.8,0.259,0.37,0.114,,,,,,
2023/08/12,6:52 PM.,BAL,SEA,home,Clear.,78,608344,C,3,0,0,0,0,0,0,0,1,0,2,.292,.338,.542,.880,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,,,,0.207,0.28,0.159,,,0.143,0.22,2.29,,0.95,,-0.89,92.2,85.5,,91.9,,77.2,0.18,0.279,0.26,0.229,0.343,0.23,0.28,0.36,0.195,0.247,0.459,0.204,,,,,,,75.0,106.0,101.0,0.211,-2.77,84.2,0.324,0.568,0.168,,,,,,
2023/08/08,6:41 PM.,SD,SEA,home,Clear.,78,607259,C,3,1,1,0,0,0,0,0,0,0,1,.298,.340,.553,.893,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,88.0,97.0,100.0,92.0,100.0,98.0,87.0,108.0,101.0,,,,96.0,102.0,96.0,,,,0.224,0.13,0.164,,0.002,0.191,-0.91,-1.99,,1.23,-4.18,0.59,93.3,89.5,,92.9,84.5,81.8,0.382,0.632,0.16899999999999998,0.164,0.295,0.34700000000000003,0.293,0.333,0.08800000000000001,0.25,0.423,0.225,,,,,,,97.0,102.0,106.0,0.288,2.41,80.7,0.158,0.226,0.465,,,,,,
2023/08/05,6:07 PM.,LAA,SEA,away,Clear.,84,542881,C,3,0,1,0,0,0,0,0,1,1,1,.297,.340,.558,.898,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,104.0,103.0,98.0,,,,0.055,0.374,0.224,0.001,0.007,0.002,-1.25,0.48,-4.72,-3.61,-1.06,-0.33,90.1,85.1,90.1,88.5,78.1,72.9,0.239,0.366,0.268,,,,0.36,0.68,0.102,0.301,0.566,0.193,0.2,0.2,0.33299999999999996,,,,92.0,101.0,106.0,0.338,0.08,80.0,0.238,0.381,0.39799999999999996,,,,,,
2023/08/04,6:38 PM.,LAA,SEA,away,Clear.,82,672282,C,5,1,1,0,0,0,1,0,0,3,4,.296,.336,.563,.899,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,,,,,,,0.432,,,0.319,0.194,-0.38,,,,0.91,0.14,94.3,,,,88.7,74.7,,,,0.191,0.326,0.28600000000000003,,,,0.291,0.505,0.212,0.0,0.0,0.267,,,,92.0,101.0,97.0,0.054,-2.03,84.8,0.242,0.424,0.24600000000000002,,,,,,
2023/08/02,1:10 PM.,BOS,SEA,home,Sunny.,77,676710,C,4,1,3,0,0,0,0,0,0,0,0,.300,.340,.577,.917,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,111.0,107.0,108.0,,,,113.0,110.0,113.0,108.0,94.0,95.0,88.0,95.0,103.0,,0.391,0.281,0.077,0.132,,1.44,0.35,-0.82,,1.5,,93.6,88.6,82.4,,82.5,,0.289,0.43,0.244,0.34,0.642,0.2,,,,0.163,0.326,0.258,0.15,0.25,0.376,0.214,0.357,0.214,,,,,,,,,,92.0,101.0,103.0,0.119,-1.47,79.4
2023/07/31,6:41 PM.,BOS,SEA,home,Clear.,74,601713,C,3,0,1,0,0,0,0,0,0,1,0,.286,.328,.571,.899,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,117.0,102.0,106.0,125.0,101.0,109.0,,,,124.0,107.0,112.0,78.0,104.0,98.0,49.0,109.0,69.0,,0.506,0.078,0.005,0.165,0.247,0.57,0.67,-13.1,,1.59,-0.09,94.6,88.4,84.8,,85.8,79.4,0.267,0.467,0.379,0.215,0.4,0.313,,,,0.214,0.44,0.247,0.114,0.182,0.43799999999999994,0.25,1.0,0.16699999999999998,,,,,,,,,,,,,,,
2023/07/29,5:10 PM.,AZ,SEA,away,Roof Closed.,78,694297,C,3,1,1,0,0,1,2,0,0,0,2,.285,.328,.577,.905,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,,,,,,,0.099,0.454,,,0.27,0.055,-1.63,,,-0.03,1.21,-1.24,93.6,,,93.1,83.8,78.8,,,,0.294,0.529,0.294,0.313,0.563,0.188,0.327,0.654,0.17600000000000002,0.18,0.323,0.337,,,,90.0,100.0,97.0,0.122,-3.66,86.7,0.4,0.711,0.33,,,,,,
2023/07/28,6:40 PM.,AZ,SEA,away,Roof Closed.,78,674072,DH,4,0,2,1,0,0,2,0,0,0,1,.283,.331,.558,.889,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,95.0,101.0,102.0,72.0,91.0,83.0,,,,92.0,101.0,93.0,,,,,,,,0.49,,,0.127,0.191,-0.88,,,,2.53,0.71,90.7,,,,83.1,79.1,,,,0.229,0.325,0.21,,,,0.292,0.523,0.155,0.158,0.281,0.287,,,,91.0,102.0,99.0,0.193,-0.09,84.0,0.278,0.444,0.331,,,,,,
2023/07/26,12:11 PM.,MIN,SEA,away,Partly Cloudy.,83,657746,C,4,1,1,1,0,0,0,0,0,0,1,.276,.325,.552,.877,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,,,91.0,104.0,102.0,,0.569,,0.272,0.159,,0.89,,-0.3,,-2.12,,92.3,,83.9,,80.3,,,,,,,,,,,0.24,0.457,0.287,0.32,0.56,0.24100000000000002,0.242,0.415,0.213,,,,,,,,,,,,,,,
