date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023/09/30,6:11 PM.,COL,MIN,away,Cloudy.,82,571863,RF,4,3,2,1,0,1,2,0,1,1,1,.251,.373,.512,.885,571863,mattkoch,Koch,Right,Matt Koch,COL,5.12,4.55,38.2,99.0,86.0,94.0,0.791,6.28,2.09,9.54,1.63,1.53,0.208,0.392,0.136,0.408,0.467,83.0,100.0,91.0,,,,111.0,89.0,100.0,,,,,,,,0.44,0.471,,0.085,,1.85,-2.03,,,1.82,,93.8,89.6,,,82.4,,0.241,0.333,0.174,,,,0.305,0.573,0.28300000000000003,,,,0.2,0.2,0.192,,,,0.003,0.73,89.4,,,,85.0,99.0,95.0,,,,,,,,,,,,,,,,,,
2023/09/28,12:13 PM.,OAK,MIN,home,Cloudy.,65,665622,LF,4,0,1,1,0,0,0,0,0,1,2,.246,.368,.493,.861,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,,,,,,,0.142,0.415,,,0.238,,-0.35,,,-0.8,-0.8,,96.1,,,95.5,85.3,,0.272,0.494,0.121,0.146,0.366,0.308,,,,0.256,0.282,0.304,0.233,0.456,0.484,84.0,86.0,90.0,0.087,1.25,87.3,99.0,96.0,98.0,,,,0.117,-0.73,79.6,0.313,0.406,0.141,,,,,,,,,,,,
2023/09/27,6:41 PM.,OAK,MIN,home,Partly Cloudy.,69,683155,LF,2,0,0,0,0,0,0,0,0,1,2,.246,.370,.493,.863,683155,joeyestes,Estes,Right,Joey Estes,OAK,7.2,7.82,10.0,101.0,89.0,96.0,0.713,6.3,1.8,10.8,3.6,0.48,0.343,0.429,0.2,0.343,0.43,87.0,113.0,102.0,,,,101.0,98.0,101.0,,,,,,,,0.467,0.085,,0.267,,-2.73,-13.02,,,0.14,,93.1,85.6,,,79.4,,0.35,0.75,0.25,,,,,,,0.25,0.625,0.267,0.2,0.2,0.5,72.0,86.0,83.0,0.182,-0.66,86.2,,,,95.0,72.0,78.0,,,,,,,,,,,,,,,,,,
2023/09/26,6:41 PM.,OAK,MIN,home,Overcast.,64,621112,RF,3,2,1,0,0,1,4,0,1,0,1,.249,.373,.498,.871,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,,,,,,,0.24,0.146,0.204,,0.181,,-2.52,-2.38,,-0.75,0.46,,91.9,88.9,,91.8,80.8,,0.383,0.553,0.17,0.14,0.326,0.245,0.435,0.624,0.159,0.143,0.286,0.389,0.198,0.308,0.344,67.0,108.0,96.0,0.112,2.14,86.0,89.0,104.0,104.0,106.0,100.0,100.0,0.117,1.69,79.1,0.306,0.435,0.15,,,,,,,,,,,,
2023/09/24,1:13 PM.,LAA,MIN,home,Partly Cloudy.,69,681806,DH,2,2,2,1,0,0,0,0,1,0,0,.247,.371,.485,.856,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,112.0,99.0,99.0,,,,120.0,105.0,115.0,,,,,,,,0.389,0.287,,0.26,,-1.07,1.1,,,4.53,,94.0,89.4,,,83.8,,0.295,0.568,0.244,,,,0.244,0.439,0.258,0.167,0.25,0.444,0.067,0.089,0.258,88.0,108.0,99.0,0.064,0.16,87.7,,,,109.0,97.0,99.0,,,,,,,,,,,,,,,,,,
2023/09/23,1:13 PM.,LAA,MIN,home,Cloudy.,71,670046,RF,4,0,0,0,0,0,0,0,0,3,4,.240,.361,.474,.835,670046,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,3.82,3.58,33.0,93.0,72.0,90.0,0.778,7.91,3.82,9.55,0.82,1.1,0.196,0.529,0.167,0.304,0.405,74.0,96.0,88.0,,,,77.0,92.0,96.0,,,,,,,,0.431,0.114,,0.013,,1.57,-3.11,,,-11.22,,90.7,83.6,,,78.7,,0.234,0.298,0.152,0.286,0.286,0.3,0.357,0.429,0.25,0.258,0.435,0.3,,,,64.0,92.0,92.0,0.376,-0.67,80.6,57.0,95.0,93.0,101.0,93.0,87.0,0.066,-1.43,77.4,,,,,,,,,,,,,,,
2023/09/22,7:13 PM.,LAA,MIN,home,Cloudy.,72,660761,LF,1,0,0,0,0,0,1,0,2,1,0,.245,.367,.484,.851,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,8.29,6.0,33.2,94.0,92.0,96.0,0.735,7.49,5.35,12.3,2.67,0.69,0.241,0.466,0.19,0.319,0.428,89.0,92.0,89.0,74.0,94.0,82.0,105.0,90.0,103.0,,,,,,,0.052,0.398,0.015,,0.267,,-0.97,0.89,,-3.55,-3.72,,92.3,88.1,,90.8,81.5,,0.273,0.477,0.222,,,,0.0,0.0,0.5,0.31,0.548,0.385,0.591,1.091,0.25,84.0,100.0,103.0,0.269,-2.55,82.0,,,,99.0,68.0,88.0,,,,0.444,0.778,0.067,,,,,,,,,,,,
2023/09/20,12:36 PM.,CIN,MIN,away,Sunny.,78,668881,DH,0,0,0,0,0,0,0,0,0,0,0,.246,.363,.487,.850,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,127.0,103.0,105.0,,,,126.0,104.0,112.0,,,,,,,,0.544,,,0.404,,-0.95,,,,0.16,,98.3,,,,87.3,,0.265,0.518,0.252,,,,,,,0.304,0.478,0.242,0.229,0.416,0.392,69.0,88.0,90.0,0.053,-2.39,91.1,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/19,6:41 PM.,CIN,MIN,away,Clear.,75,518585,LF,3,1,2,0,0,0,1,0,2,0,0,.246,.363,.487,.850,518585,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.91,3.45,66.0,94.0,93.0,98.0,0.664,13.36,3.82,7.09,0.82,0.64,0.253,0.453,0.167,0.36,0.393,95.0,94.0,90.0,110.0,83.0,96.0,95.0,82.0,93.0,,,,94.0,98.0,110.0,0.004,0.351,0.24,0.358,0.045,,-0.18,-1.76,2.89,-3.09,2.96,,94.3,87.9,81.4,93.8,83.3,,0.3,0.512,0.16699999999999998,,,,0.39,0.732,0.185,,,,0.125,0.125,0.455,,,,0.001,5.63,84.1,,,,87.0,91.0,92.0,,,,,,,0.094,0.154,0.5670000000000001,,,,,,,,,
2023/09/18,6:41 PM.,CIN,MIN,away,Partly Cloudy.,72,683175,LF,4,0,0,0,0,0,0,0,0,2,3,.239,.353,.484,.837,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,125.0,93.0,95.0,,,,142.0,95.0,108.0,,,,,,,,0.633,,,0.255,,-1.48,,,,3.39,,96.4,,,,84.4,,0.25,0.558,0.131,0.667,0.667,0.111,,,,,,,0.111,0.111,0.489,59.0,70.0,70.0,0.013,-2.97,91.2,119.0,95.0,94.0,,,,0.1,-2.94,82.2,,,,,,,,,,,,,,,
