date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/09/30,6:16 PM.,CIN,STL,home,Clear.,86,683175,C,3,3,2,1,0,0,2,0,2,0,1,.297,.409,.351,.760,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,59.0,70.0,70.0,125.0,93.0,95.0,142.0,95.0,108.0,,,,0.633,0.255,,0.013,-1.48,3.39,,-2.97,96.4,91.2,84.4,,0.111,0.111,0.489,0.25,0.558,0.131,0.667,0.667,0.111,,,,119.0,95.0,94.0,,,,,,,,,0.1,,,-2.94,,,82.2,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:39 PM.,MIL,STL,away,Roof Closed.,70,489119,C,4,0,1,0,0,0,0,0,0,1,5,.265,.359,.294,.653,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,113.0,108.0,103.0,,,,0.195,0.049,,0.246,0.46,0.62,,0.6,90.4,83.7,79.1,,0.192,0.308,0.349,0.198,0.453,0.134,,,,0.219,0.281,0.239,79.0,99.0,98.0,88.0,109.0,96.0,,,,0.046,,0.022,,-2.53,2.01,,90.7,75.8,0.333,0.375,0.125,,,,101.0,103.0,101.0,0.443,1.07,87.1,0.232,0.446,0.172,,,,,,
2023/09/24,1:12 PM.,SD,STL,away,Sunny.,72,608379,C,4,0,0,0,0,0,0,0,0,0,3,.267,.371,.300,.671,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,73.0,104.0,94.0,,,,,,,0.288,,,0.345,1.23,,,1.06,92.0,81.6,,,,,,0.188,0.323,0.16699999999999998,0.172,0.31,0.27,0.207,0.346,0.359,86.0,92.0,94.0,84.0,103.0,103.0,,,,0.133,,0.11,,-0.36,1.04,,91.9,74.0,0.25,0.45,0.111,,,,96.0,100.0,96.0,0.124,-2.13,86.9,0.364,0.582,0.165,,,,,,
2023/09/22,6:44 PM.,SD,STL,away,Cloudy.,67,663362,C,3,0,0,0,0,0,0,0,1,1,4,.308,.419,.346,.765,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,76.0,105.0,98.0,101.0,100.0,109.0,,,,0.205,0.16,,,-0.95,-0.44,,,91.3,,79.8,,0.269,0.5,0.204,0.259,0.519,0.217,,,,,,,,,,81.0,106.0,95.0,,,,0.236,,,,0.75,,,91.3,,0.239,0.457,0.095,,,,104.0,114.0,109.0,0.131,0.15,86.7,0.214,0.464,0.193,76.6,0.267,-1.01,0.242,0.485,0.247
2023/09/20,6:45 PM.,MIL,STL,home,Cloudy.,70,605288,C,0,0,0,0,0,0,0,0,0,0,0,.348,.444,.391,.835,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,80.0,103.0,92.0,83.0,102.0,99.0,,,,0.238,0.166,,0.04,0.29,-0.89,,-2.07,93.4,84.3,82.3,,0.258,0.484,0.284,0.227,0.34,0.237,0.269,0.538,0.127,0.294,0.471,0.2,67.0,100.0,95.0,86.0,104.0,100.0,,,,0.471,,0.085,,0.46,-1.08,,92.1,79.4,0.296,0.396,0.129,,,,,,,,,,,,,,,,,,
2023/07/23,1:20 PM.,CHC,STL,away,Sunny.,78,592791,C,4,0,1,0,0,0,0,0,0,2,3,.348,.423,.391,.814,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,87.0,104.0,97.0,117.0,113.0,122.0,,,,0.342,0.154,,0.031,-0.69,0.75,,-0.22,93.7,86.5,80.9,,0.233,0.333,0.27399999999999997,0.261,0.553,0.204,0.198,0.349,0.2,0.28,0.44,0.106,109.0,111.0,113.0,97.0,107.0,97.0,,,,0.102,,0.149,,0.9,-0.12,,93.9,80.5,0.296,0.394,0.133,,,,101.0,102.0,99.0,0.222,-0.32,88.6,0.311,0.521,0.27399999999999997,,,,,,
2023/07/22,1:45 PM.,CHC,STL,away,Partly Cloudy.,82,605242,C,1,0,0,0,0,0,0,0,0,1,0,.368,.455,.421,.876,605242,michaelfulmer,Fulmer,Right,Michael Fulmer,CHC,4.42,4.3,57.0,97.0,105.0,100.0,0.694,10.26,4.42,7.58,1.11,0.98,0.254,0.408,0.148,0.296,0.409,67.0,97.0,105.0,104.0,98.0,101.0,124.0,97.0,106.0,,,,0.286,0.306,,0.077,-0.45,1.56,,-0.45,94.2,89.9,83.2,,0.183,0.225,0.48100000000000004,0.32,0.52,0.237,,,,0.143,0.357,0.581,,,,102.0,97.0,99.0,,,,0.111,,,,-0.8,,,94.8,,0.25,0.464,0.19,,,,95.0,97.0,91.0,0.22,0.32,89.6,0.244,0.537,0.25,,,,,,
2023/07/21,1:20 PM.,CHC,STL,away,Sunny.,74,657006,C,0,0,0,0,0,0,0,0,0,0,0,.389,.476,.444,.920,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,123.0,104.0,111.0,,,,0.626,0.339,,0.01,0.67,0.54,,-1.94,91.8,87.5,83.3,,0.217,0.346,0.311,0.275,0.393,0.203,0.0,0.0,0.33299999999999996,0.4,0.4,0.1,87.0,98.0,109.0,45.0,95.0,88.0,,,,0.018,,0.006,,0.89,2.44,,92.2,80.7,0.25,0.333,0.16699999999999998,,,,,,,,,,,,,,,,,,
2023/07/19,1:16 PM.,MIA,STL,home,Cloudy.,85,645261,C,2,0,1,0,0,0,0,0,2,1,1,.389,.476,.444,.920,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,111.0,111.0,107.0,116.0,103.0,110.0,,,,0.213,0.201,,0.273,-0.27,0.72,,-0.43,98.0,91.1,89.9,,0.227,0.364,0.35200000000000004,0.253,0.448,0.267,0.308,0.308,0.182,0.282,0.401,0.299,134.0,99.0,105.0,115.0,106.0,108.0,,,,0.29,,0.022,,1.72,-0.52,,97.6,86.1,0.237,0.366,0.124,,,,,,,,,,,,,,,,,,
2023/07/17,6:47 PM.,MIA,STL,home,Cloudy.,80,666200,C,4,0,0,0,0,0,0,0,0,1,3,.375,.412,.438,.850,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,106.0,103.0,100.0,111.0,97.0,105.0,,,,0.457,0.289,,0.21,0.93,-0.26,,-0.09,96.7,88.3,85.1,,0.233,0.389,0.518,0.232,0.384,0.19399999999999998,,,,0.248,0.429,0.361,,,,82.0,100.0,97.0,,,,0.04,,,,-0.81,,,96.5,,0.314,0.686,0.102,,,,68.0,87.0,76.0,0.004,0.74,91.4,,,,,,,,,
