date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2023/07/06,1:11 PM.,OAK,DET,home,Cloudy.,80,663687,2B,3,0,1,0,0,0,1,0,0,0,3,.213,.278,.272,.550,663687,hoganharris,"Harris, H",Left,Hogan Harris,OAK,7.14,5.13,63.0,98.0,82.0,94.0,0.804,8.0,4.0,9.57,1.43,0.9,0.306,0.357,0.184,0.316,0.496,75.0,93.0,96.0,69.0,92.0,89.0,84.0,98.0,92.0,,,,0.47,0.078,0.06,0.203,-0.58,-2.5,-1.37,0.61,92.6,80.1,77.4,74.9,0.25,0.442,0.217,0.205,0.409,0.368,0.278,0.556,0.188,0.3,0.5,0.2,,,,87.0,104.0,98.0,,0.188,-1.58,,90.5,,,,,0.351,0.544,0.16699999999999998,,,,,,,,,,,,,,,
2023/07/05,6:40 PM.,OAK,DET,home,Clear.,89,643493,2B,1,1,1,1,0,0,1,0,1,0,0,.211,.279,.271,.550,643493,austinpruitt,Pruitt,Right,Austin Pruitt,OAK,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,149.0,103.0,114.0,0.26,0.38,0.16,0.06,-1.17,0.34,2.21,1.29,91.8,87.1,87.6,81.2,0.344,0.469,0.182,0.308,0.385,0.2,0.238,0.365,0.245,0.143,0.314,0.22,89.0,114.0,97.0,,,,0.14,,,3.55,,91.3,0.216,0.297,0.135,,,,,,,,,,,,,,,,,,
2023/07/04,6:40 PM.,OAK,DET,home,Clear.,86,676664,3B,3,0,0,0,0,0,0,0,0,0,1,.205,.269,.258,.527,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.346,,0.151,-0.84,-0.06,,0.36,93.1,84.1,81.4,,0.256,0.478,0.217,0.277,0.438,0.225,0.21,0.395,0.28300000000000003,,,,,,,,,,0.001,,,0.63,,92.1,,,,,,,,,,,,,,,,,,,,,
2023/07/01,7:12 PM.,COL,DET,away,Partly Cloudy.,79,663567,3B,4,1,2,1,0,0,1,0,0,0,1,.209,.275,.264,.539,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.36,5.44,87.1,99.0,90.0,95.0,0.796,7.32,2.89,9.58,1.85,0.99,0.273,0.365,0.122,0.435,0.424,86.0,98.0,92.0,74.0,108.0,101.0,82.0,97.0,89.0,109.0,104.0,109.0,0.446,0.323,0.032,0.2,-0.78,-1.15,1.04,-1.74,93.2,86.2,86.2,78.0,0.271,0.586,0.16699999999999998,0.235,0.459,0.325,0.308,0.641,0.198,0.267,0.267,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/29,1:08 PM.,TEX,DET,away,Roof Closed.,74,674003,3B,5,0,0,0,0,0,0,0,0,2,4,.200,.268,.248,.516,674003,codybradford,Bradford,Left,Cody Bradford,TEX,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,91.0,100.0,102.0,,,,64.0,109.0,99.0,66.0,104.0,103.0,0.546,0.044,,0.276,0.16,-6.76,,0.74,90.4,82.1,83.1,,0.26,0.535,0.18600000000000003,0.2,0.283,0.33899999999999997,0.5,0.9,0.15,,,,,,,,,,,0.134,-1.23,,86.6,,,,,0.316,0.737,0.17,,,,,,,,,,,,,,,
2023/06/28,7:08 PM.,TEX,DET,away,Roof Closed.,74,641540,P,1,0,0,0,0,0,0,0,0,1,0,.208,.278,.258,.536,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,101.0,106.0,106.0,0.032,0.234,0.016,0.156,-3.75,0.14,-3.56,-0.87,90.5,85.7,82.1,78.1,0.294,0.765,0.235,0.301,0.478,0.258,0.212,0.364,0.345,0.25,0.25,0.5,79.0,104.0,94.0,90.0,100.0,95.0,0.331,0.2,0.82,1.37,88.9,91.0,0.246,0.354,0.08,0.258,0.393,0.231,,,,,,,,0.032,,-0.43,,77.5,,,
2023/06/27,7:08 PM.,TEX,DET,away,Roof Closed.,74,527048,3B,4,1,1,0,0,0,0,0,0,0,0,.210,.280,.261,.541,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,71.0,110.0,99.0,78.0,101.0,100.0,75.0,102.0,99.0,88.0,94.0,96.0,0.04,0.01,0.037,0.265,3.25,2.0,3.35,-0.75,91.8,84.1,83.4,79.1,0.167,0.222,0.146,0.316,0.447,0.278,0.0,0.0,0.2,0.063,0.063,0.353,73.0,102.0,95.0,79.0,99.0,88.0,0.428,0.221,-2.02,0.44,89.2,91.6,0.244,0.394,0.09699999999999999,0.342,0.64,0.11699999999999999,,,,,,,,,,,,,,,
2023/06/26,7:08 PM.,TEX,DET,away,Roof Closed.,74,571760,3B,2,0,0,0,0,0,1,0,0,1,0,.209,.281,.261,.542,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,0.579,0.252,0.0,0.169,0.1,-1.35,-3.87,-0.11,92.5,84.0,82.0,74.4,0.236,0.431,0.256,0.274,0.452,0.24,0.259,0.443,0.29600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/23,6:41 PM.,MIN,DET,home,Cloudy.,68,628317,3B,2,0,1,0,0,0,0,0,0,1,0,.212,.288,.265,.553,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,94.0,96.0,95.0,76.0,102.0,91.0,105.0,99.0,103.0,0.274,0.306,0.036,,0.35,-0.07,-2.4,,91.0,,81.6,76.4,0.275,0.451,0.251,,,,0.206,0.471,0.28800000000000003,0.333,0.667,0.063,73.0,107.0,96.0,,,,0.064,,,-0.88,,90.3,0.385,0.538,0.128,,,,,,,138.0,107.0,112.0,0.319,,1.6,,84.1,,0.182,0.263,0.35
2023/06/20,6:41 PM.,KC,DET,home,Clear.,84,663738,3B,3,0,0,0,0,0,0,0,0,1,0,.207,.285,.261,.546,663738,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.537,0.166,0.125,0.156,0.34700000000000003,0.238,0.452,0.28800000000000003,0.417,0.667,0.22699999999999998,,,,,,,,,,,,,0.75,1.5,0.0,,,,,,,,,,,,,,,,,,
