date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,vKN (sc),KN%,wKN/C,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023/09/30,4:12 PM.,PHI,NYM,home,Partly Cloudy.,65,592836,3B,3,1,1,0,0,0,0,0,1,1,1,.239,.293,.337,.630,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,,,,104.0,97.0,100.0,0.233,0.176,0.332,0.026,,-0.82,0.48,0.53,-1.43,,92.8,87.9,92.4,82.5,,0.257,0.541,0.254,0.158,0.632,0.342,0.205,0.295,0.244,0.212,0.485,0.36,0.273,0.429,0.1,,,,,,,,,,,,,92.0,91.0,94.0,0.057,-1.07,74.8,99.0,103.0,100.0,0.176,-0.44,87.1,0.284,0.441,0.158
2023/09/30,7:15 PM.,PHI,NYM,home,Cloudy.,63,674681,SS,5,2,2,1,0,0,0,0,0,2,2,.247,.298,.351,.649,674681,michaelplassmeyer,Plassmeyer,Left,Michael Plassmeyer,PHI,22.09,15.59,3.2,98.0,85.0,100.0,0.745,9.82,0.0,19.64,7.36,0.63,0.313,0.375,0.188,0.375,0.447,82.0,102.0,103.0,,,,90.0,75.0,89.0,,,,,,,,0.612,,0.153,,-6.58,,,-13.02,,88.8,,,76.4,,0.455,1.273,0.258,0.667,1.0,0.14300000000000002,,,,,,,,,,90.0,102.0,100.0,0.235,-1.74,83.1,0.167,0.167,0.33299999999999996,,,,,,,,,,,,,,,,,,
2023/09/28,7:11 PM.,MIA,NYM,home,Cloudy.,62,666200,2B,3,0,0,0,0,0,0,0,1,2,3,.236,.284,.337,.621,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,,,,,,,0.04,0.457,,0.289,,0.93,,-0.81,-0.26,,96.7,,96.5,85.1,,0.232,0.384,0.19399999999999998,0.233,0.389,0.518,,,,,,,0.314,0.686,0.102,93.0,99.0,100.0,0.21,-0.09,88.3,0.248,0.429,0.361,,,,,,,,,,68.0,87.0,76.0,0.004,0.74,91.4,,,
2023/09/27,4:10 PM.,MIA,NYM,home,Partly Cloudy.,66,666129,SS,5,1,1,0,0,0,0,0,0,2,2,.256,.299,.366,.665,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,,,,,,,0.317,0.075,,0.258,,-1.84,,1.06,0.45,,90.8,,90.5,82.8,,0.325,0.575,0.159,0.169,0.302,0.408,,,,0.5,1.059,0.2,0.256,0.377,0.107,85.0,95.0,86.0,0.088,0.73,84.1,0.286,0.327,0.327,,,,80.0,97.0,95.0,0.084,-4.44,77.7,95.0,100.0,97.0,0.177,1.53,87.5,0.243,0.477,0.247
2023/09/27,7:40 PM.,MIA,NYM,home,Clear.,61,456501,2B,4,0,0,0,0,0,0,0,0,0,3,.244,.286,.349,.635,456501,johnnycueto,Cueto,Right,Johnny Cueto,MIA,6.02,5.13,52.1,107.0,84.0,103.0,0.831,6.71,2.58,8.77,2.92,0.7,0.298,0.472,0.161,0.323,0.408,87.0,116.0,112.0,89.0,103.0,100.0,88.0,95.0,96.0,,,,,,,0.196,0.346,,0.234,,-0.03,,2.47,-1.92,,92.2,,92.2,86.1,,0.242,0.53,0.245,0.27,0.73,0.154,,,,,,,0.244,0.4,0.035,73.0,106.0,102.0,0.192,-3.11,84.1,0.286,0.595,0.278,,,,120.0,47.0,56.0,0.004,-3.06,76.0,69.0,90.0,66.0,0.028,0.08,88.1,0.222,0.333,0.1
2023/09/24,6:08 PM.,PHI,NYM,away,Cloudy.,66,650911,2B,4,1,1,0,0,1,2,0,0,3,0,.260,.305,.377,.682,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,,,,71.0,104.0,97.0,123.0,100.0,100.0,,,,,,,0.462,,,0.211,,,,0.65,0.2,,,,92.1,82.7,,,,,0.25,0.456,0.297,,,,,,,0.297,0.523,0.107,75.0,98.0,104.0,0.327,1.1,81.8,0.148,0.274,0.43,,,,,,,,,,,,,,,,,,
2023/09/23,4:08 PM.,PHI,NYM,away,Cloudy.,61,554430,2B,4,1,1,0,0,0,0,0,0,2,3,.260,.308,.342,.650,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,,,,,,,0.18,0.435,,0.123,,1.69,,1.62,0.36,,95.8,,95.2,84.4,,0.199,0.333,0.314,0.198,0.36,0.392,,,,0.264,0.473,0.33,0.252,0.308,0.192,48.0,106.0,77.0,0.004,-6.22,90.8,,,,,,,116.0,105.0,114.0,0.115,-1.61,81.4,96.0,102.0,102.0,0.144,-0.63,90.9,0.27,0.426,0.228
2023/09/22,7:06 PM.,PHI,NYM,away,Partly Cloudy.,66,592836,2B,4,0,0,0,0,0,0,0,0,0,1,.261,.311,.348,.659,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,,,,104.0,97.0,100.0,0.233,0.176,0.332,0.026,,-0.82,0.48,0.53,-1.43,,92.8,87.9,92.4,82.5,,0.257,0.541,0.254,0.158,0.632,0.342,0.205,0.295,0.244,0.212,0.485,0.36,0.273,0.429,0.1,,,,,,,,,,,,,92.0,91.0,94.0,0.057,-1.07,74.8,99.0,103.0,100.0,0.176,-0.44,87.1,0.284,0.441,0.158
2023/09/21,7:17 PM.,PHI,NYM,away,Partly Cloudy.,69,624133,2B,5,0,0,0,0,0,0,0,0,1,2,.277,.329,.369,.698,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,,,,,,,0.28,0.215,,0.005,,-0.65,,0.52,4.65,,93.4,,92.8,84.1,,0.304,0.478,0.21899999999999997,0.2,0.2,0.0,,,,0.143,0.226,0.377,0.289,0.409,0.1,70.0,98.0,99.0,0.184,-1.45,82.9,0.267,0.444,0.311,,,,95.0,104.0,102.0,0.19,1.95,75.8,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179
2023/09/20,6:41 PM.,MIA,NYM,away,Roof Closed.,72,691587,2B,3,2,1,0,0,0,0,0,2,0,0,.300,.354,.400,.754,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,128.0,100.0,109.0,,,,101.0,102.0,107.0,,,,,,,,0.454,,0.308,,-0.47,,,0.99,,97.5,,,86.4,,0.289,0.585,0.187,0.183,0.365,0.47700000000000004,,,,0.098,0.171,0.5429999999999999,,,,86.0,85.0,82.0,0.098,0.99,89.7,0.045,0.045,0.462,,,,91.0,95.0,99.0,0.14,1.89,81.2,,,,,,,,,
