date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,vKN (sc),KC%,KN%,wKC/C,wKN/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023/08/13,1:39 PM.,MIN,PHI,home,Partly Cloudy.,86,543243,C,4,0,1,0,0,0,0,0,0,2,3,.205,.287,.269,.556,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,0.157,0.271,0.168,0.067,0.61,-0.46,0.87,-0.63,92.9,87.9,92.8,79.6,0.275,0.413,0.177,,,,0.27,0.405,0.174,0.301,0.422,0.16399999999999998,122.0,108.0,121.0,118.0,102.0,102.0,,,,0.131,,0.205,1.3,,3.25,87.6,,84.3,,,,0.265,0.368,0.278,0.257,0.371,0.282,0.096,0.117,0.413,,0.001,,-0.41,,72.9,,,
2023/08/11,7:08 PM.,MIN,PHI,home,Partly Cloudy.,84,572971,C,1,0,0,0,0,0,0,0,0,0,0,.203,.289,.270,.559,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,,,,,,,64.0,92.0,86.0,0.347,,,0.271,,0.39,,-0.58,,80.3,87.4,,0.245,0.367,0.084,,,,0.327,0.473,0.196,,,,64.0,94.0,95.0,92.0,94.0,90.0,,,,0.254,,0.129,-2.63,,0.06,84.8,,78.3,,,,0.379,0.69,0.24600000000000002,,,,0.222,0.278,0.441,,,,,,,,,
2023/08/08,7:24 PM.,WSH,PHI,home,Partly Cloudy.,81,680686,C,4,0,1,1,0,0,0,1,0,1,1,.205,.293,.274,.567,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,44.0,96.0,90.0,96.0,95.0,97.0,82.0,91.0,83.0,93.0,101.0,90.0,0.176,0.166,0.161,0.016,-1.21,0.15,0.24,0.6,93.5,88.6,93.1,82.2,0.313,0.385,0.138,,,,0.286,0.357,0.1,0.291,0.557,0.20199999999999999,84.0,92.0,96.0,95.0,95.0,83.0,,,,0.181,,0.299,-0.09,,-0.07,88.8,,85.1,,,,0.243,0.461,0.205,0.221,0.358,0.349,0.163,0.233,0.429,,,,,,,,,
2023/08/06,1:41 PM.,KC,PHI,home,Partly Cloudy.,87,425844,C,3,1,1,0,0,0,0,0,0,0,0,.203,.295,.261,.556,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,0.157,0.265,0.141,0.166,0.25,-0.92,-2.99,0.06,89.5,86.5,89.8,72.5,0.333,0.609,0.081,,,,0.241,0.37,0.207,0.276,0.472,0.159,94.0,103.0,106.0,100.0,113.0,103.0,,,,0.07,,0.2,-0.94,,1.12,85.2,,79.2,,,,0.32,0.5,0.18600000000000003,0.386,0.729,0.155,0.214,0.282,0.231,,0.0,,-3.64,,57.9,,,
2023/08/02,6:41 PM.,MIA,PHI,away,Roof Closed.,72,666129,C,4,0,0,0,0,0,1,0,2,1,3,.197,.293,.258,.551,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,0.317,0.075,0.084,0.088,-1.84,1.06,-4.44,0.73,90.8,84.1,90.5,77.7,0.256,0.377,0.107,,,,0.286,0.327,0.327,0.325,0.575,0.159,100.0,102.0,102.0,95.0,100.0,97.0,,,,0.177,,0.258,1.53,,0.45,87.5,,82.8,,,,0.243,0.477,0.247,0.5,1.059,0.2,0.169,0.302,0.408,,,,,,,,,
2023/08/01,6:41 PM.,MIA,PHI,away,Roof Closed.,72,645261,C,3,0,1,1,0,0,0,0,0,0,0,.210,.290,.274,.564,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,0.29,0.213,0.022,0.273,-0.27,1.72,-0.52,-0.43,98.0,91.1,97.6,86.1,0.237,0.366,0.124,,,,0.282,0.401,0.299,0.253,0.448,0.267,116.0,103.0,110.0,,,,,,,,,0.201,,,0.72,,,89.9,,,,,,,0.308,0.308,0.182,0.227,0.364,0.35200000000000004,,,,,,,,,
2023/07/30,1:38 PM.,PIT,PHI,away,Cloudy.,70,448179,C,3,1,0,0,0,0,0,0,1,0,3,.203,.288,.254,.542,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,0.04,0.342,0.354,0.023,-0.32,2.5,-1.16,-0.06,88.4,83.0,86.1,72.0,0.105,0.105,0.226,,,,0.263,0.421,0.037000000000000005,0.249,0.454,0.218,90.0,92.0,97.0,85.0,97.0,93.0,,,,0.147,,0.088,-1.27,,-2.52,83.3,,71.1,,,,0.39,0.701,0.19899999999999998,0.283,0.47,0.174,0.5,0.929,0.125,,0.008,,-3.65,,67.1,,,
2023/07/24,6:43 PM.,BAL,PHI,home,Partly Cloudy.,85,665152,C,3,1,0,0,0,0,0,0,0,0,1,.214,.290,.268,.558,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,0.145,0.371,0.089,0.123,0.43,1.81,-2.29,-1.4,94.6,85.3,91.9,78.1,0.269,0.38,0.081,,,,0.26,0.377,0.27,0.252,0.409,0.262,116.0,98.0,105.0,104.0,106.0,102.0,,,,0.239,,0.033,0.02,,-1.43,88.8,,82.8,,,,0.222,0.416,0.27699999999999997,0.347,0.592,0.24,0.25,0.417,0.244,,,,,,,,,
2023/07/20,12:39 PM.,MIL,PHI,home,Partly Cloudy.,84,669203,C,3,0,0,0,0,0,0,0,0,0,1,.226,.305,.283,.588,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,,,,103.0,97.0,90.0,0.077,,0.171,0.112,,-2.42,1.35,1.07,,89.3,95.3,79.8,0.291,0.564,0.129,,,,0.204,0.258,0.306,,,,144.0,110.0,127.0,127.0,101.0,103.0,,,,0.554,,0.085,1.51,,1.12,94.4,,86.0,,,,0.209,0.34,0.22699999999999998,0.133,0.211,0.488,0.159,0.275,0.43799999999999994,,,,,,,,,
2023/07/15,1:10 PM.,SD,PHI,home,Sunny.,90,605483,LF,0,0,0,0,0,0,0,0,0,0,0,.234,.308,.298,.606,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,86.7,,81.0,,,,,,,0.185,0.266,0.46799999999999997,0.255,0.389,0.195,107.0,91.0,94.0,,,,,,,,,0.131,,,0.68,,,88.4,,,,,,,0.079,0.14,0.563,0.123,0.26,0.536,,,,,,,,,
2023/07/15,7:09 PM.,SD,PHI,home,Partly Cloudy.,86,677960,C,3,1,1,0,0,0,1,0,1,1,2,.240,.321,.300,.621,677960,ryanweathers,Weathers,Left,Ryan Weathers,- - -,6.55,4.67,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,0.01,0.551,,0.236,-1.58,9.15,,-1.24,95.1,86.8,94.9,,0.0,0.0,0.0,,,,0.304,0.507,0.27899999999999997,0.35,0.592,0.20600000000000002,105.0,99.0,100.0,,,,,,,,,0.203,,,-1.09,,,80.8,,,,,,,,,,0.229,0.521,0.261,,,,,,,,,
2023/07/06,6:40 PM.,TB,PHI,away,Dome.,72,542888,C,3,1,1,0,0,0,0,0,0,0,0,.234,.308,.298,.606,542888,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,1.38,2.65,52.0,108.0,105.0,108.0,0.766,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.437,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,0.341,0.208,,,2.69,2.2,,,94.5,,94.7,,0.213,0.262,0.204,,,,,,,0.089,0.2,0.32299999999999995,109.0,123.0,132.0,101.0,103.0,103.0,,,,0.376,,0.074,2.25,,-2.41,91.4,,85.2,,,,0.191,0.294,0.29,,,,0.353,0.412,0.207,,,,,,,,,
2023/07/01,4:08 PM.,WSH,PHI,home,Partly Cloudy.,86,669022,C,0,0,0,0,0,0,0,0,0,0,0,.227,.292,.295,.587,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,,,,,0.595,0.188,0.029,-0.27,,-0.85,1.1,95.0,86.5,,83.2,,,,,,,0.188,0.25,0.382,0.279,0.503,0.21600000000000003,101.0,97.0,102.0,,,,,,,,,0.188,,,0.77,,,88.5,,,,,,,0.257,0.416,0.379,0.213,0.415,0.375,,,,,,,,,
2023/06/27,7:04 PM.,CHC,PHI,away,Overcast.,66,592791,C,2,0,0,0,0,0,0,0,1,0,0,.227,.292,.295,.587,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,0.102,0.342,0.149,0.031,-0.69,0.9,-0.12,-0.22,93.7,86.5,93.9,80.5,0.296,0.394,0.133,,,,0.28,0.44,0.106,0.261,0.553,0.204,117.0,113.0,122.0,101.0,102.0,99.0,,,,0.222,,0.154,-0.32,,0.75,88.6,,80.9,,,,0.311,0.521,0.27399999999999997,0.198,0.349,0.2,0.233,0.333,0.27399999999999997,,,,,,,,,
2023/06/15,12:40 PM.,AZ,PHI,away,Roof Closed.,78,669194,C,3,1,1,0,0,0,0,0,1,2,3,.238,.289,.310,.599,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,99.0,94.0,98.0,102.0,104.0,103.0,,,,,0.546,0.052,0.133,-0.72,,-2.44,-0.16,94.4,83.3,,76.4,,,,,,,0.203,0.407,0.312,0.308,0.553,0.16699999999999998,106.0,105.0,113.0,101.0,111.0,105.0,,,,0.135,,0.134,-1.72,,0.52,85.6,,81.7,,,,0.326,0.539,0.218,0.429,0.714,0.182,0.174,0.565,0.257,,,,,,,,,
2023/06/13,6:40 PM.,AZ,PHI,away,Roof Closed.,74,605200,C,1,0,0,0,0,0,0,0,0,0,1,.231,.268,.308,.576,605200,zachdavies,Davies,Right,Zach Davies,ARI,7.0,5.48,82.1,100.0,75.0,92.0,0.799,7.87,4.26,10.71,1.09,1.3,0.239,0.398,0.14,0.371,0.36,78.0,106.0,100.0,89.0,99.0,100.0,72.0,100.0,91.0,71.0,97.0,88.0,0.325,0.226,0.061,0.248,-0.05,-1.5,-0.55,-1.19,89.3,80.7,89.6,77.0,0.381,0.552,0.096,,,,0.275,0.477,0.37200000000000005,0.21,0.355,0.18100000000000002,113.0,105.0,101.0,73.0,93.0,88.0,,,,0.113,,0.027,0.13,,-1.83,87.5,,80.8,,,,0.3,0.3,0.145,0.188,0.5,0.2,0.25,0.5,0.16699999999999998,,,,,,,,,
2023/06/11,1:41 PM.,LAD,PHI,home,Sunny.,86,657571,C,4,0,1,0,0,0,1,0,0,2,3,.237,.275,.316,.591,657571,calebferguson,Ferguson,Left,Caleb Ferguson,LAD,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.296,0.361,0.166,0.32,0.451,,,,,,,108.0,102.0,101.0,,,,,0.665,,,0.19,,,,95.8,,,,,,,,,,,,,0.277,0.34,0.26,120.0,87.0,98.0,107.0,101.0,99.0,,,,0.307,,0.028,-0.37,,0.92,86.6,,80.0,,,,0.253,0.427,0.271,,,,0.25,0.25,0.125,,,,,,,,,
2023/06/10,4:08 PM.,LAD,PHI,home,Partly Cloudy.,82,676272,C,1,0,0,0,0,0,0,0,0,0,0,.235,.278,.324,.602,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,0.192,0.289,0.185,0.16,1.2,1.75,1.25,0.6,99.0,88.2,98.8,80.6,0.258,0.382,0.17800000000000002,,,,0.133,0.307,0.39899999999999997,0.258,0.367,0.20600000000000002,153.0,110.0,121.0,,,,,,,,,0.174,,,-1.0,,,89.7,,,,,,,0.184,0.303,0.36,0.5,0.75,0.25,,,,,,,,,
2023/06/01,1:10 PM.,NYM,PHI,away,Sunny.,82,453286,C,2,0,1,0,0,0,0,0,0,1,0,.242,.286,.333,.619,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,,0.463,0.124,0.141,0.72,,0.51,0.03,93.7,83.8,,75.4,,,,,,,0.207,0.283,0.275,0.255,0.458,0.23800000000000002,106.0,108.0,108.0,98.0,108.0,99.0,,,,0.104,,0.168,2.12,,-0.21,88.4,,84.0,,,,0.135,0.243,0.33299999999999996,0.187,0.373,0.326,0.25,0.545,0.364,,,,,,,,,
2023/05/24,1:09 PM.,AZ,PHI,home,Sunny.,77,668678,C,3,0,1,0,0,0,0,0,0,2,2,.226,.273,.323,.596,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,,,,104.0,104.0,106.0,97.0,95.0,92.0,0.007,0.491,,0.139,1.59,-3.38,,1.05,93.6,86.8,93.0,,0.286,0.714,0.125,,,,0.21,0.336,0.314,0.238,0.36,0.192,105.0,116.0,112.0,106.0,99.0,94.0,,,,0.092,,0.045,-2.24,,0.34,90.2,,87.4,,,,0.352,0.648,0.205,0.21,0.344,0.405,0.25,0.389,0.265,,0.227,,0.46,,82.5,121.0,104.0,112.0
2023/05/20,4:07 PM.,CHC,PHI,home,Cloudy.,69,592791,C,1,1,1,0,1,0,0,0,0,0,0,.214,.267,.321,.588,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,0.102,0.342,0.149,0.031,-0.69,0.9,-0.12,-0.22,93.7,86.5,93.9,80.5,0.296,0.394,0.133,,,,0.28,0.44,0.106,0.261,0.553,0.204,117.0,113.0,122.0,101.0,102.0,99.0,,,,0.222,,0.154,-0.32,,0.75,88.6,,80.9,,,,0.311,0.521,0.27399999999999997,0.198,0.349,0.2,0.233,0.333,0.27399999999999997,,,,,,,,,
2023/05/13,6:12 PM.,COL,PHI,away,Overcast.,57,663372,C,4,0,1,0,0,0,1,0,0,1,3,.185,.241,.222,.463,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,103.0,99.0,95.0,0.173,0.278,0.089,0.147,-0.01,-4.88,-2.31,2.91,94.8,84.1,94.3,79.7,0.475,0.675,0.15,,,,0.08,0.08,0.42100000000000004,0.25,0.295,0.225,95.0,106.0,105.0,,,,,,,,,0.313,,,1.27,,,88.6,,,,,,,0.333,0.4,0.11800000000000001,0.178,0.289,0.163,,,,,,,,,
