date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,KC%,wFA/C,wFS/C,wKC/C,vFA,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023/09/05,7:09 PM.,HOU,TEX,home,Roof Closed.,74,664285,RF,1,0,0,0,0,0,0,0,0,0,0,.225,.250,.325,.575,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,97.0,98.0,96.0,,,,0.468,0.087,0.157,0.93,-0.32,0.73,90.1,95.3,84.7,0.274,0.455,0.126,0.189,0.405,0.43799999999999994,0.231,0.342,0.311,98.0,-63.0,-49.0,,,,,,,0.001,,,-16.35,,,95.7,,,,,,0.158,0.211,0.402,,,,118.0,98.0,106.0,0.253,1.07,80.2,99.0,99.0,95.0,0.034,0.45,89.1,0.182,0.182,0.435
2023/09/02,6:16 PM.,MIN,TEX,home,Roof Closed.,74,572971,DH,3,0,0,0,0,0,0,0,0,2,4,.231,.256,.333,.589,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,64.0,92.0,86.0,64.0,94.0,95.0,0.347,0.129,0.271,0.39,0.06,-0.58,80.3,87.4,78.3,0.245,0.367,0.084,0.222,0.278,0.441,0.327,0.473,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,94.0,90.0,0.254,-2.63,84.8,0.379,0.69,0.24600000000000002
2023/08/30,6:40 PM.,NYM,TEX,away,Partly Cloudy.,81,660593,DH,0,0,0,0,0,0,0,0,0,0,0,.250,.275,.361,.636,660593,denyireyes,Reyes,Right,Denyi Reyes,NYM,7.78,5.23,19.2,104.0,88.0,98.0,0.801,7.78,3.66,11.44,1.37,1.14,0.141,0.516,0.203,0.25,0.376,69.0,112.0,104.0,84.0,106.0,97.0,103.0,100.0,103.0,0.11,0.225,0.151,-0.35,0.48,-6.96,84.8,91.0,78.5,0.333,0.5,0.071,0.222,0.389,0.4,0.556,0.667,0.324,83.0,105.0,96.0,,,,,,,0.31,,,1.38,,,91.8,,,,,,,,,0.143,0.286,0.212,,,,,,,98.0,109.0,95.0,0.203,-1.74,86.6,0.333,0.667,0.163
2023/08/28,7:12 PM.,NYM,TEX,away,Cloudy.,73,656731,LF,4,0,0,0,0,0,0,0,0,2,2,.250,.275,.361,.636,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,,,,96.0,103.0,106.0,,0.206,0.149,,-1.04,-0.09,87.9,,84.4,,,,0.264,0.445,0.311,0.264,0.396,0.24100000000000002,86.0,95.0,89.0,,,,116.0,83.0,118.0,0.557,0.002,,-0.4,5.58,,94.9,86.1,,,,,0.167,0.167,0.354,0.314,0.494,0.184,101.0,91.0,96.0,0.086,-0.05,77.2,,,,,,,,,
2023/08/27,1:12 PM.,MIN,TEX,away,Partly Cloudy.,71,641927,RF,3,1,1,0,0,1,1,0,0,2,4,.281,.306,.406,.712,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,,,,83.0,99.0,96.0,,0.196,0.28,,-0.7,1.08,83.7,,81.0,,,,0.255,0.48,0.32899999999999996,0.226,0.35,0.298,73.0,107.0,99.0,,,,,,,0.457,,,0.75,,,91.3,,,,,,0.194,0.306,0.161,0.232,0.425,0.27699999999999997,100.0,108.0,106.0,0.067,1.44,77.5,,,,,,,,,
2023/08/26,6:16 PM.,MIN,TEX,away,Overcast.,72,657746,PR,0,1,0,0,0,0,0,0,0,0,0,.276,.303,.310,.613,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,88.0,94.0,,0.159,,,-2.12,,,,80.3,,,,0.32,0.56,0.24100000000000002,,,,102.0,112.0,108.0,,,,91.0,104.0,102.0,0.569,0.272,,0.89,-0.3,,92.3,83.9,,0.242,0.415,0.213,,,,0.24,0.457,0.287,,,,,,,,,,,,,,,
2023/08/25,7:11 PM.,MIN,TEX,away,Partly Cloudy.,84,543243,PH,1,0,0,0,0,0,0,0,0,1,0,.276,.303,.310,.613,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,82.0,99.0,94.0,122.0,108.0,121.0,0.157,0.205,0.067,-0.46,3.25,-0.63,87.9,92.8,84.3,0.275,0.413,0.177,0.096,0.117,0.413,0.27,0.405,0.174,105.0,99.0,100.0,,,,,,,0.271,,0.001,0.61,,-0.41,92.9,,72.9,,,,0.257,0.371,0.282,0.301,0.422,0.16399999999999998,91.0,98.0,101.0,0.168,0.87,79.6,118.0,102.0,102.0,0.131,1.3,87.6,0.265,0.368,0.278
2023/08/21,6:40 PM.,AZ,TEX,away,Roof Closed.,77,573009,DH,0,0,0,0,0,0,0,0,0,0,0,.286,.313,.321,.634,573009,joemantiply,Mantiply,Left,Joe Mantiply,ARI,4.62,3.93,39.0,103.0,94.0,96.0,0.785,6.46,2.08,8.08,0.92,1.6,0.158,0.442,0.133,0.35,0.415,91.0,106.0,100.0,92.0,103.0,94.0,,,,0.413,,0.242,-0.67,,2.77,81.9,89.5,,0.308,0.615,0.125,,,,0.178,0.244,0.325,89.0,90.0,76.0,,,,,,,0.067,,,-3.59,,,90.1,,,,,,0.167,0.194,0.306,0.5,1.0,0.25,101.0,103.0,100.0,0.278,2.47,80.3,,,,,,,,,
2023/08/20,1:37 PM.,MIL,TEX,home,Roof Closed.,74,605288,RF,4,0,0,0,0,0,0,0,0,2,1,.286,.313,.321,.634,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,86.0,104.0,100.0,83.0,102.0,99.0,0.471,0.166,0.04,0.46,-0.89,-2.07,84.3,92.1,82.3,0.296,0.396,0.129,0.258,0.484,0.284,0.294,0.471,0.2,80.0,103.0,92.0,,,,,,,0.238,,,0.29,,,93.4,,,,,,0.269,0.538,0.127,0.227,0.34,0.237,67.0,100.0,95.0,0.085,-1.08,79.4,,,,,,,,,
2023/08/19,3:07 PM.,MIL,TEX,home,Roof Closed.,74,642547,PH,1,0,0,0,0,0,0,0,0,1,0,.333,.357,.375,.732,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,,,,115.0,99.0,104.0,,0.218,0.146,,0.36,0.15,88.6,,82.4,,,,0.203,0.392,0.46,0.224,0.388,0.312,117.0,104.0,110.0,,,,,,,0.512,,,0.89,,,94.4,,,,,,0.214,0.381,0.33799999999999997,0.213,0.387,0.292,85.0,103.0,110.0,0.124,0.2,76.9,,,,,,,,,
