date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/05/24,6:40 PM.,CIN,STL,away,Partly Cloudy.,80,594902,C,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,594902,benlively,Lively,Right,Ben Lively,CIN,5.38,5.03,88.2,101.0,79.0,95.0,0.814,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,71.0,102.0,102.0,0.219,0.321,0.243,0.066,0.102,-2.09,0.24,1.68,-4.42,-1.4,90.6,84.4,91.5,80.1,76.3,0.362,0.667,0.18100000000000002,0.158,0.303,0.336,0.257,0.416,0.153,0.265,0.412,0.133,0.273,0.909,0.128,,,,98.0,92.0,82.0,0.049,,0.62,,88.1,,0.267,0.267,0.257,,,,,,,,,
2023/05/22,6:41 PM.,CIN,STL,away,Partly Cloudy.,77,682227,C,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,,0.372,0.102,0.064,0.165,-0.15,,-1.33,-1.75,-0.51,92.8,84.0,,81.7,73.1,0.269,0.433,0.171,0.0,0.0,0.273,,,,0.183,0.39,0.39899999999999997,0.333,0.6,0.14300000000000002,,,,106.0,102.0,98.0,0.298,,1.71,,89.3,,0.252,0.433,0.185,,,,,,,,,
2023/05/19,7:15 PM.,LAD,STL,home,Overcast.,67,664062,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,107.0,83.0,90.0,80.0,99.0,91.0,,,,90.0,103.0,108.0,,0.395,0.183,0.151,,1.42,,-0.82,-2.12,,92.4,,,86.8,80.9,0.221,0.436,0.157,0.268,0.439,0.253,,,,,,,0.313,0.656,0.209,,,,,,,,,,,,,,,,120.0,98.0,106.0,0.272,0.21,83.0,0.181,0.315,0.27
2023/05/16,6:45 PM.,MIL,STL,home,Overcast.,69,489119,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,0.046,0.195,0.049,0.022,0.246,0.46,-2.53,0.62,2.01,0.6,90.4,83.7,90.7,79.1,75.8,0.198,0.453,0.134,0.192,0.308,0.349,0.333,0.375,0.125,0.219,0.281,0.239,,,,,,,101.0,103.0,101.0,0.443,,1.07,,87.1,,0.232,0.446,0.172,,,,,,,,,
2023/05/12,7:12 PM.,BOS,STL,away,Clear.,82,572020,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,,,,95.0,103.0,98.0,98.0,92.0,90.0,,,,0.007,0.566,,,0.067,0.04,-0.01,,,-0.96,95.2,84.4,94.9,,,0.269,0.498,0.217,,,,,,,0.316,0.421,0.467,0.231,0.338,0.376,87.0,93.0,94.0,63.0,101.0,91.0,0.165,0.195,-0.15,-0.31,85.8,81.3,0.191,0.426,0.331,,,,,,,,,
2023/05/06,1:17 PM.,DET,STL,home,Overcast.,73,605513,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,605513,spencerturnbull,Turnbull,Right,Spencer Turnbull,DET,7.26,6.12,31.0,100.0,98.0,97.0,0.801,6.97,4.35,10.74,1.45,1.48,0.272,0.33,0.184,0.369,0.418,122.0,85.0,86.0,92.0,103.0,106.0,92.0,106.0,100.0,91.0,99.0,91.0,104.0,98.0,100.0,0.193,0.405,0.223,0.068,0.11,-1.03,0.8,-1.38,-6.82,-2.39,92.9,87.5,93.4,83.8,78.6,0.273,0.527,0.228,0.29,0.452,0.294,0.304,0.391,0.115,0.143,0.286,0.235,0.5,0.8,0.235,,,,,,,,,,,,,,,,,,,,,,,,
