date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/09/29,6:41 PM.,AZ,HOU,away,Clear.,94,668678,LF,4,0,0,0,0,0,0,0,0,0,2,.294,.302,.451,.753,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,106.0,99.0,94.0,0.007,0.491,0.092,0.045,0.139,1.59,-2.24,-3.38,0.34,1.05,93.6,90.2,86.8,93.0,87.4,0.286,0.714,0.125,0.21,0.336,0.314,0.238,0.36,0.192,0.25,0.389,0.265,0.352,0.648,0.205,121.0,104.0,112.0,,,,,0.227,,0.46,,82.5,0.21,0.344,0.405,,,,,,,,,,,,,,,,,,
2023/09/27,6:41 PM.,SEA,HOU,away,Roof Closed.,58,682243,LF,5,1,4,1,0,0,1,0,0,0,0,.319,.327,.489,.816,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,,,,0.076,0.585,,0.274,0.056,0.3,,1.22,0.14,0.66,95.1,,85.0,95.1,85.0,0.26,0.36,0.096,0.167,0.433,0.179,0.256,0.45,0.271,0.3,0.475,0.174,,,,,,,,,,,,,,,,0.667,1.333,0.125,,,,113.0,102.0,102.0,0.009,-8.41,78.2,,,,,,,,,
2023/09/17,1:12 PM.,KC,HOU,away,Sunny.,73,543475,LF,5,0,0,0,0,0,0,0,0,0,6,.262,.273,.429,.702,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.109,1.11,-0.94,-0.01,-1.31,-1.66,91.2,86.8,85.5,90.5,80.2,0.248,0.457,0.158,0.26,0.481,0.257,0.227,0.444,0.154,0.28,0.543,0.249,0.314,0.725,0.19,,,,,,,,,,,,,0.238,0.476,0.21899999999999997,,,,95.0,97.0,99.0,0.131,-1.6,79.4,,,,,,,,,
2023/09/15,7:10 PM.,KC,HOU,away,Cloudy.,79,425844,LF,4,0,0,0,0,0,0,0,0,1,3,.297,.308,.486,.794,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.166,0.25,-0.94,-0.92,1.12,0.06,89.5,85.2,86.5,89.8,79.2,0.333,0.609,0.081,0.241,0.37,0.207,0.276,0.472,0.159,0.214,0.282,0.231,0.32,0.5,0.18600000000000003,,,,,,,,0.0,,-3.64,,57.9,0.386,0.729,0.155,,,,96.0,97.0,104.0,0.141,-2.99,72.5,,,,,,,,,
2023/09/13,6:11 PM.,OAK,HOU,home,Roof Closed.,73,621112,DH,4,1,2,0,0,0,0,0,0,0,1,.333,.343,.545,.888,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,106.0,100.0,100.0,0.24,0.146,0.204,0.181,0.112,-2.52,-2.38,-0.75,0.46,2.14,91.9,88.9,86.0,91.8,80.8,0.306,0.435,0.15,0.143,0.286,0.389,0.383,0.553,0.17,0.198,0.308,0.344,0.435,0.624,0.159,,,,,,,,,,,,,0.14,0.326,0.245,,,,89.0,104.0,104.0,0.117,1.69,79.1,,,,,,,,,
2023/09/11,7:12 PM.,OAK,HOU,home,Roof Closed.,73,695243,LF,3,0,0,0,0,0,0,0,0,0,0,.310,.323,.552,.875,695243,masonmiller,"Miller, M",Right,Mason Miller,OAK,3.78,3.18,33.1,96.0,125.0,103.0,0.762,10.26,4.32,6.48,0.54,0.5,0.39,0.268,0.183,0.268,0.433,83.0,80.0,77.0,136.0,98.0,106.0,,,,113.0,97.0,104.0,117.0,95.0,100.0,,0.555,0.158,0.238,0.049,0.94,-1.76,,1.87,1.62,98.3,94.1,90.3,,85.8,,,,0.0,0.0,0.429,0.219,0.391,0.21,0.118,0.147,0.47100000000000003,0.375,0.375,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:10 PM.,SD,HOU,home,Roof Closed.,73,663362,DH,3,1,1,0,0,0,0,0,1,0,1,.346,.357,.615,.972,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,76.0,105.0,98.0,81.0,106.0,95.0,101.0,100.0,109.0,104.0,114.0,109.0,0.236,0.205,0.131,0.16,,-0.95,0.15,0.75,-0.44,,91.3,86.7,,91.3,79.8,0.239,0.457,0.095,,,,0.259,0.519,0.217,0.269,0.5,0.204,0.214,0.464,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,0.267,-1.01,0.242,0.485,0.247
2023/09/09,6:11 PM.,SD,HOU,home,Roof Closed.,73,607625,LF,4,0,2,0,0,0,0,0,0,0,0,.348,.333,.652,.985,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,0.199,0.318,,0.111,0.059,0.36,,1.87,-0.6,-2.89,93.4,,86.3,93.2,85.2,0.208,0.36,0.08900000000000001,0.303,0.576,0.34299999999999997,0.246,0.464,0.214,0.25,0.417,0.28600000000000003,,,,,,,,,,,,,,,,0.287,0.384,0.265,,,,122.0,100.0,105.0,0.313,0.26,79.6,0.0,0.0,0.226,,,,,,
2023/09/06,7:07 PM.,TEX,HOU,away,Roof Closed.,74,453286,LF,3,1,2,0,0,1,2,0,0,0,0,.316,.300,.684,.984,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,98.0,108.0,99.0,,0.463,0.104,0.168,0.141,0.72,2.12,,-0.21,0.03,93.7,88.4,83.8,,84.0,,,,0.207,0.283,0.275,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.135,0.243,0.33299999999999996,,,,,,,,,,,,,0.187,0.373,0.326,,,,96.0,101.0,104.0,0.124,0.51,75.4,,,,,,,,,
2023/09/03,6:11 PM.,NYY,HOU,home,Roof Closed.,73,650633,DH,3,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,650633,michaelking,King,Right,Michael King,NYY,2.75,3.48,104.2,102.0,113.0,105.0,0.725,10.92,2.75,7.57,0.86,1.2,0.243,0.442,0.169,0.288,0.403,71.0,105.0,97.0,106.0,108.0,106.0,109.0,104.0,104.0,144.0,93.0,108.0,,,,0.335,0.227,,0.293,0.145,1.4,,1.26,-0.8,3.43,94.7,,87.2,94.0,81.8,0.273,0.398,0.157,0.104,0.134,0.41,0.2,0.294,0.25,0.264,0.455,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/02,6:10 PM.,NYY,HOU,home,Roof Closed.,73,622663,LF,4,2,2,0,0,1,2,0,0,0,0,.308,.308,.615,.923,622663,luisseverino,"Severino, L",Right,Luis Severino,NYY,6.65,5.89,89.1,103.0,104.0,101.0,0.822,7.96,3.43,11.38,2.32,1.14,0.248,0.399,0.144,0.346,0.447,80.0,99.0,97.0,103.0,104.0,98.0,92.0,91.0,87.0,126.0,109.0,117.0,110.0,100.0,98.0,0.028,0.449,0.15,0.188,0.186,-2.42,-0.08,5.41,-2.59,-1.4,96.5,90.8,86.7,95.7,84.7,0.091,0.091,0.20800000000000002,0.279,0.441,0.21600000000000003,0.355,0.692,0.196,0.289,0.566,0.254,0.208,0.313,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/01,7:11 PM.,NYY,HOU,home,Roof Closed.,73,607074,PH,1,0,0,0,0,0,0,0,0,0,0,.222,.222,.333,.555,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,84.0,67.0,81.0,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,,0.29,0.043,-1.05,,,-0.06,0.96,95.3,,85.5,,85.4,,,,0.0,0.0,0.42100000000000004,0.294,0.55,0.217,0.2,0.347,0.37200000000000005,,,,,,,,,,,,,,,,0.375,1.25,0.21100000000000002,,,,102.0,92.0,96.0,0.065,-3.96,79.7,,,,,,,,,
2023/08/30,4:11 PM.,BOS,HOU,away,Cloudy.,78,676710,DH,4,1,2,1,0,0,2,0,0,1,0,.250,.250,.375,.625,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,111.0,107.0,108.0,,,,113.0,110.0,113.0,108.0,94.0,95.0,,0.391,0.281,0.132,,1.44,0.35,,1.5,,93.6,88.6,,,82.5,,,,,,,0.163,0.326,0.258,0.15,0.25,0.376,0.289,0.43,0.244,92.0,101.0,103.0,88.0,95.0,103.0,0.077,0.119,-0.82,-1.47,82.4,79.4,0.34,0.642,0.2,0.214,0.357,0.214,,,,,,,,,,,,,,,
