date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CH_ba,CH_slg,CH_whiff,vKN (sc),KN%,wKN/C
2023/07/22,1:08 PM.,KC,NYY,home,Sunny.,79,663903,RF,3,0,0,0,0,0,0,0,0,1,3,.188,.211,.478,.689,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,,,,0.51,0.002,,,0.426,,-2.24,,,-1.24,0.01,,90.9,,,92.1,84.0,,,,,0.339,0.555,0.113,,,,,,,,,,0.0,0.0,0.6,53.0,96.0,88.0,,,,,0.063,,-0.3,87.7,,0.265,0.353,0.10400000000000001,,,
2023/07/21,7:09 PM.,KC,NYY,home,Partly Cloudy.,84,679525,LF,4,1,1,0,0,1,1,0,0,1,0,.197,.221,.500,.721,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.178,0.428,0.096,0.356,0.386,100.0,97.0,101.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,,,,,,,0.072,0.373,,,0.258,0.149,-0.89,,,1.98,-1.26,-0.87,94.2,,,94.1,86.1,81.1,,,,0.29,0.452,0.061,,,,0.256,0.523,0.258,0.263,0.474,0.304,0.233,0.533,0.365,78.0,99.0,92.0,,,,,0.149,,-3.65,87.0,,0.346,0.654,0.268,,,
2023/07/19,4:07 PM.,LAA,NYY,away,Partly Cloudy.,89,681217,RF,4,2,3,1,0,1,1,0,0,1,0,.194,.219,.468,.687,681217,chasesilseth,Silseth,Right,Chase Silseth,LAA,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.117,0.401,0.411,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,99.0,92.0,92.0,84.0,108.0,116.0,0.148,0.349,0.084,0.167,0.229,0.024,-1.53,3.24,1.35,1.39,1.7,-5.15,95.0,90.3,87.2,94.3,82.0,79.4,0.137,0.294,0.345,0.344,0.469,0.14,0.167,0.167,0.268,0.255,0.553,0.248,0.333,1.333,0.0,0.143,0.571,0.14300000000000002,,,,,,,,,,,,,,,,,,
2023/07/14,6:40 PM.,COL,NYY,away,Partly Cloudy.,82,596295,PH,1,0,0,0,0,0,0,0,0,1,0,.155,.183,.379,.562,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,,,,0.012,0.439,,,0.201,,-1.99,,,-5.34,0.96,,90.6,,,90.8,84.8,,,,,0.4,1.0,0.16699999999999998,,,,0.344,0.656,0.11800000000000001,0.226,0.358,0.28,0.275,0.383,0.247,73.0,100.0,98.0,90.0,103.0,104.0,0.168,0.181,-0.75,-0.07,81.6,77.6,0.296,0.509,0.19899999999999998,,,
2023/07/07,7:08 PM.,CHC,NYY,home,Cloudy.,80,592791,RF,3,0,1,0,0,0,0,0,0,0,0,.158,.186,.386,.572,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,117.0,113.0,122.0,101.0,102.0,99.0,,,,0.102,0.342,0.222,,0.154,0.149,-0.69,-0.32,,0.9,0.75,-0.12,93.7,88.6,,93.9,80.9,80.5,,,,0.296,0.394,0.133,0.311,0.521,0.27399999999999997,0.261,0.553,0.204,0.198,0.349,0.2,0.233,0.333,0.27399999999999997,82.0,94.0,98.0,,,,,0.031,,-0.22,86.5,,0.28,0.44,0.106,,,
2023/05/31,6:40 PM.,SEA,NYY,away,Cloudy.,60,669923,PH,1,0,0,0,0,0,0,0,0,1,3,.148,.179,.389,.568,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,95.0,103.0,110.0,0.216,0.394,,0.061,0.197,,1.34,,1.07,0.43,1.03,,96.1,,84.9,95.8,86.3,,0.143,0.286,0.35700000000000004,0.261,0.383,0.131,,,,0.234,0.392,0.28,0.265,0.458,0.159,0.264,0.377,0.22,94.0,107.0,111.0,,,,0.115,0.018,0.35,-5.31,86.6,81.8,0.5,0.9,0.125,75.1,0.001,0.26
2023/04/28,7:07 PM.,TEX,NYY,away,Roof Closed.,74,594798,RF,3,0,0,0,0,0,0,0,0,2,1,.151,.182,.396,.578,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,2.67,1.87,30.1,106.0,161.0,117.0,0.603,13.35,1.19,5.64,0.59,0.83,0.333,0.273,0.212,0.212,0.371,133.0,116.0,132.0,155.0,104.0,112.0,,,,179.0,110.0,125.0,,,,,,,,0.521,,,0.37,0.02,2.0,,,,0.39,6.08,98.7,,,,91.8,84.8,,,,,,,,,,0.177,0.339,0.35,,,,0.189,0.378,0.5329999999999999,132.0,101.0,106.0,,,,,0.089,,3.57,91.4,,0.1,0.1,0.318,,,
2023/04/26,12:11 PM.,MIN,NYY,away,Sunny.,50,628317,RF,0,0,0,0,0,0,0,0,0,0,0,.160,.192,.420,.612,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,94.0,96.0,95.0,76.0,102.0,91.0,73.0,107.0,96.0,105.0,99.0,103.0,,,,138.0,107.0,112.0,0.064,0.274,,0.319,0.306,0.036,0.35,,1.6,-0.88,-0.07,-2.4,91.0,,84.1,90.3,81.6,76.4,0.182,0.263,0.35,0.385,0.538,0.128,,,,0.275,0.451,0.251,0.333,0.667,0.063,0.206,0.471,0.28800000000000003,,,,,,,,,,,,,,,,,,
2023/04/25,6:42 PM.,MIN,NYY,away,Partly Cloudy.,50,657746,RF,4,0,0,0,0,0,0,0,0,2,1,.160,.192,.420,.612,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,,,91.0,104.0,102.0,,0.569,,0.272,0.159,,0.89,,-0.3,,-2.12,,92.3,,83.9,,80.3,,0.242,0.415,0.213,,,,,,,0.24,0.457,0.287,,,,0.32,0.56,0.24100000000000002,,,,,,,,,,,,,,,,,,
2023/04/24,6:41 PM.,MIN,NYY,away,Partly Cloudy.,49,543243,RF,3,0,0,0,0,0,0,0,0,3,2,.174,.208,.457,.665,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,118.0,102.0,102.0,,,,0.157,0.271,0.131,,0.205,0.168,0.61,1.3,,-0.46,3.25,0.87,92.9,87.6,,92.8,84.3,79.6,,,,0.275,0.413,0.177,0.265,0.368,0.278,0.301,0.422,0.16399999999999998,0.257,0.371,0.282,0.096,0.117,0.413,84.0,95.0,89.0,,,,0.001,0.067,-0.41,-0.63,87.9,72.9,0.27,0.405,0.174,,,
