date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2023/07/06,6:40 PM.,NYM,AZ,home,Roof Closed.,78,471911,RF,3,0,1,0,0,0,0,0,0,0,0,.301,.350,.441,.791,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,75.0,95.0,85.0,91.0,90.0,87.0,104.0,98.0,108.0,,,,0.1,0.323,0.184,,0.299,-2.35,-3.88,-1.99,,0.12,92.7,87.2,91.5,84.1,,0.358,0.651,0.166,0.329,0.575,0.32899999999999996,0.22,0.314,0.311,0.25,0.594,0.217,0.45,0.725,0.129,88.0,103.0,104.0,0.091,-1.25,80.1,86.0,88.0,95.0,0.004,-9.5,89.5,,,,,,,,,,,,,,,
2023/07/05,6:40 PM.,NYM,AZ,home,Roof Closed.,78,673540,PH,1,0,0,0,0,0,0,0,0,0,0,.300,.351,.444,.795,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,109.0,97.0,97.0,,,,100.0,93.0,102.0,,,,,0.37,0.116,,,0.17,,-0.96,,,95.7,,,82.7,,0.244,0.399,0.17300000000000001,0.333,0.952,0.245,,,,0.125,0.5,0.444,,,,91.0,90.0,87.0,0.027,-0.23,72.8,93.0,95.0,93.0,0.25,2.52,90.8,0.244,0.339,0.182,,,,,,,0.11,0.147,0.595,0.237,0.95,83.2
2023/07/04,1:10 PM.,NYM,AZ,home,Roof Closed.,78,453286,CF,0,0,0,0,0,0,0,0,1,0,0,.303,.354,.449,.803,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,104.0,101.0,101.0,,,,106.0,108.0,108.0,,,,,0.463,0.168,,0.141,0.72,,-0.21,,0.03,93.7,83.8,,84.0,,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,,,,96.0,101.0,104.0,0.124,0.51,75.4,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.33299999999999996,,,,,,,,,,,,
2023/07/02,1:08 PM.,LAA,AZ,away,Sunny.,80,672282,RF,4,0,1,0,0,0,0,0,0,1,1,.303,.347,.449,.796,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,,,,0.432,0.319,,0.054,-0.38,,0.91,,-2.03,94.3,84.8,,88.7,,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.24600000000000002,0.191,0.326,0.28600000000000003,,,,93.0,94.0,105.0,0.194,0.14,74.7,,,,,,,,,,,,,,,,,,,,,
2023/07/01,7:08 PM.,LAA,AZ,away,Clear.,69,542881,LF,3,0,1,0,0,0,1,0,1,2,0,.306,.352,.459,.811,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,,,,0.055,0.374,0.007,,0.338,-1.25,-3.61,-1.06,,0.08,90.1,80.0,88.5,78.1,,0.301,0.566,0.193,0.2,0.2,0.33299999999999996,0.238,0.381,0.39799999999999996,,,,0.36,0.68,0.102,105.0,84.0,83.0,0.002,-0.33,72.9,104.0,103.0,98.0,0.224,0.48,85.1,0.239,0.366,0.268,,,,0.001,-4.72,90.1,,,,,,
2023/06/30,6:40 PM.,LAA,AZ,away,Clear.,76,656288,LF,4,0,1,0,0,0,0,0,0,2,2,.305,.345,.463,.808,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,0.006,0.348,0.299,,0.213,-0.21,-8.61,0.1,,1.6,94.7,90.2,95.0,88.4,,0.235,0.5,0.28300000000000003,0.261,0.344,0.34,0.213,0.339,0.248,0.271,0.667,0.252,0.333,1.333,0.0,91.0,98.0,103.0,0.134,-0.53,81.8,,,,,,,,,,,,,,,,,,,,,
2023/05/24,1:09 PM.,PHI,AZ,away,Sunny.,77,624133,CF,3,0,0,0,0,0,0,0,1,1,3,.308,.349,.474,.823,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,,,,0.28,0.215,0.005,,0.184,-0.65,0.52,4.65,,-1.45,93.4,82.9,92.8,84.1,,0.304,0.478,0.21899999999999997,0.2,0.2,0.0,0.267,0.444,0.311,0.143,0.226,0.377,0.289,0.409,0.1,95.0,104.0,102.0,0.19,1.95,75.8,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179,,,,,,,,,,,,
2023/05/23,6:42 PM.,PHI,AZ,away,Clear.,69,621381,CF,4,0,0,0,0,0,0,0,0,2,6,.320,.354,.493,.847,621381,mattstrahm,Strahm,Left,Matt Strahm,PHI,3.29,3.16,87.2,104.0,104.0,104.0,0.739,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.356,0.476,114.0,99.0,105.0,101.0,105.0,104.0,95.0,111.0,106.0,118.0,98.0,106.0,,,,0.187,0.452,0.256,,0.004,1.08,0.27,2.22,,-9.98,93.4,86.5,93.2,83.1,,0.186,0.371,0.311,0.133,0.256,0.34299999999999997,,,,,,,0.344,0.459,0.156,,,,,,,96.0,97.0,89.0,0.101,-0.5,87.6,0.296,0.556,0.25,,,,,,,,,,,,
2023/05/22,6:43 PM.,PHI,AZ,away,Cloudy.,77,554430,CF,4,1,1,0,0,0,0,0,0,0,1,.338,.373,.521,.894,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,,,,0.18,0.435,0.123,,0.004,1.69,1.62,0.36,,-6.22,95.8,90.8,95.2,84.4,,0.199,0.333,0.314,0.198,0.36,0.392,,,,0.264,0.473,0.33,0.252,0.308,0.192,116.0,105.0,114.0,0.115,-1.61,81.4,96.0,102.0,102.0,0.144,-0.63,90.9,0.27,0.426,0.228,,,,,,,,,,,,
2023/05/21,1:36 PM.,PIT,AZ,away,Sunny.,71,672710,CF,4,0,1,0,0,0,0,0,0,0,2,.343,.380,.537,.917,672710,roansycontreras,Contreras,Right,Roansy Contreras,PIT,6.59,5.48,68.1,100.0,98.0,102.0,0.755,7.24,4.21,9.88,1.45,0.92,0.22,0.463,0.117,0.341,0.394,69.0,91.0,89.0,90.0,96.0,93.0,,,,108.0,105.0,111.0,,,,,0.402,0.443,,0.039,-2.43,,0.86,,2.33,94.3,89.4,,83.6,,0.381,0.598,0.09699999999999999,0.0,0.0,0.28600000000000003,0.273,0.273,0.059000000000000004,0.222,0.593,0.447,,,,99.0,98.0,103.0,0.117,-1.73,76.8,,,,,,,,,,,,,,,,,,,,,
