date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff
2023/05/04,1:11 PM.,MIN,CWS,home,Sunny.,63,641154,RF,2,1,0,0,0,0,0,1,0,1,4,.000,.000,.000,.000,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,100.0,108.0,105.0,111.0,106.0,114.0,,,,0.345,,0.214,0.1,,1.34,94.9,,84.4,0.268,0.468,0.315,,,,0.173,0.287,0.366,90.0,108.0,109.0,98.0,105.0,104.0,,,,0.106,,0.211,,2.08,-0.17,,88.4,94.5,,,,0.257,0.41,0.284,93.0,110.0,114.0,0.125,0.25,82.5,0.202,0.33,0.364,0.278,0.342,0.126
2023/05/03,6:10 PM.,MIN,CWS,home,Clear.,48,686973,PR,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,686973,louievarland,Varland,Right,Louie Varland,MIN,4.63,4.58,68.0,106.0,99.0,105.0,0.767,9.4,2.25,8.74,2.12,1.12,0.263,0.376,0.082,0.381,0.467,107.0,111.0,110.0,107.0,107.0,107.0,,,,0.427,,0.132,-0.42,,-2.34,95.3,,83.9,0.267,0.533,0.237,,,,0.22,0.512,0.263,86.0,91.0,95.0,104.0,93.0,94.0,89.0,105.0,102.0,0.009,0.319,0.113,0.85,6.39,-1.07,89.3,85.9,95.7,0.25,0.405,0.285,0.267,0.6,0.264,,,,,,,,,,,,
2023/05/02,6:10 PM.,MIN,CWS,home,Overcast.,48,657746,PR,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,102.0,112.0,108.0,102.0,88.0,94.0,91.0,104.0,102.0,0.569,0.272,0.159,0.89,-0.3,-2.12,92.3,83.9,80.3,0.24,0.457,0.287,0.242,0.415,0.213,0.32,0.56,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
