date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/08/13,1:35 PM.,WSH,OAK,away,Partly Cloudy.,88,592866,RF,2,0,0,0,0,0,0,0,0,1,2,.238,.304,.381,.685,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,80.0,107.0,96.0,91.0,100.0,95.0,,,,,,,0.146,0.433,,,0.171,-0.77,,-0.45,,-2.25,89.7,,83.3,88.2,,0.283,0.563,0.16699999999999998,,,,0.314,0.629,0.2,0.315,0.483,0.19899999999999998,94.0,114.0,103.0,0.182,-1.7,80.9,0.313,0.5,0.281,0.325,0.458,0.188,97.0,95.0,95.0,0.069,-1.93,76.7,,,,,,,,,,,,
2023/08/07,6:42 PM.,TEX,OAK,home,Clear.,70,641540,DH,3,0,1,0,0,0,0,0,1,1,1,.250,.318,.400,.718,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,71.0,96.0,85.0,79.0,104.0,94.0,,,,90.0,100.0,95.0,0.331,0.032,0.2,0.032,0.156,-3.75,0.82,1.37,-0.43,-0.87,90.5,88.9,85.7,91.0,77.5,0.294,0.765,0.235,0.258,0.393,0.231,0.25,0.25,0.5,0.301,0.478,0.258,101.0,106.0,106.0,0.234,0.14,82.1,0.212,0.364,0.345,0.246,0.354,0.08,78.0,82.0,84.0,0.016,-3.56,78.1,,,,,,,,,,,,
2023/08/05,4:08 PM.,SF,OAK,home,Sunny.,75,548389,DH,2,0,0,0,0,0,0,0,0,2,0,.243,.300,.405,.705,548389,rossstripling,Stripling,Right,Ross Stripling,SFG,5.36,5.59,89.0,108.0,84.0,103.0,0.785,7.08,1.62,10.52,2.02,1.42,0.195,0.399,0.15,0.328,0.433,94.0,112.0,113.0,59.0,106.0,96.0,47.0,109.0,88.0,119.0,95.0,102.0,,,,0.092,0.26,,0.099,0.248,-0.38,,-0.64,1.22,-2.35,92.5,,83.7,90.3,75.9,0.275,0.512,0.275,,,,0.2,0.2,0.20600000000000002,0.305,0.508,0.289,97.0,109.0,106.0,0.292,0.07,87.2,0.274,0.487,0.179,0.325,0.55,0.12300000000000001,,,,,,,83.0,107.0,102.0,0.009,-0.82,85.6,,,,,,
2023/08/03,7:10 PM.,LAD,OAK,away,Clear.,75,628711,PH,1,0,0,0,0,0,0,0,0,1,0,.257,.316,.429,.745,628711,juliourias,"Urías, J",Left,Julio Urías,LAD,4.6,4.16,117.1,105.0,105.0,107.0,0.788,8.97,1.84,8.59,1.84,0.82,0.234,0.471,0.192,0.312,0.453,91.0,109.0,108.0,90.0,101.0,98.0,,,,,,,109.0,124.0,127.0,,0.451,0.092,,0.157,0.02,-0.42,,,-3.03,92.7,87.1,86.1,,,0.267,0.503,0.218,0.186,0.322,0.278,,,,0.296,0.593,0.299,,,,,,,,,,,,,132.0,103.0,112.0,0.3,0.84,79.2,,,,,,,,,,0.233,0.457,0.22899999999999998
2023/08/02,7:10 PM.,LAD,OAK,away,Clear.,78,664062,LF,1,0,0,0,0,0,0,0,0,1,1,.265,.324,.441,.765,664062,tonygonsolin,Gonsolin,Right,Tony Gonsolin,LAD,4.98,5.89,103.0,97.0,97.0,98.0,0.803,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.388,,,,80.0,99.0,91.0,,,,,,,,,,,0.395,,,,1.42,,,,,92.4,,,,,0.221,0.436,0.157,,,,0.313,0.656,0.209,,,,90.0,103.0,108.0,0.183,-0.82,86.8,0.268,0.439,0.253,,,,107.0,83.0,90.0,0.151,-2.12,80.9,120.0,98.0,106.0,0.272,0.21,83.0,0.181,0.315,0.27,,,
2023/08/01,7:10 PM.,LAD,OAK,away,Clear.,78,458681,RF,3,0,1,1,0,0,0,0,0,0,0,.273,.333,.455,.788,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,92.0,105.0,104.0,93.0,95.0,87.0,,,,104.0,105.0,99.0,0.126,0.437,0.23,,0.07,-0.4,-0.35,1.21,,-1.23,92.4,88.7,84.9,91.4,,0.255,0.52,0.316,0.273,0.512,0.267,0.208,0.453,0.354,0.302,0.372,0.29600000000000004,97.0,98.0,106.0,0.063,-3.65,83.0,0.286,0.446,0.308,0.239,0.394,0.177,109.0,97.0,106.0,0.074,-2.24,80.8,,,,,,,,,,,,
2023/07/29,6:10 PM.,COL,OAK,away,Cloudy.,87,623167,LF,1,0,0,0,0,0,0,0,0,1,1,.267,.333,.433,.766,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,65.0,98.0,84.0,49.0,106.0,76.0,,,,87.0,100.0,94.0,0.019,0.409,0.293,,0.16,-2.66,-0.47,-7.15,,0.72,91.9,87.9,81.0,90.9,,0.379,0.739,0.174,0.287,0.504,0.20199999999999999,0.125,0.125,0.35700000000000004,0.213,0.32,0.397,122.0,107.0,111.0,0.097,-2.44,80.8,0.389,0.444,0.14800000000000002,0.6,0.7,0.111,92.0,95.0,111.0,0.022,2.61,71.6,,,,,,,,,,,,
2023/07/25,6:46 PM.,SF,OAK,away,Partly Cloudy.,67,502171,RF,3,0,0,0,0,0,0,0,0,1,3,.276,.344,.448,.792,502171,alexcobb,Cobb,Right,Alex Cobb,SFG,3.87,4.73,151.1,102.0,91.0,100.0,0.808,7.79,2.2,9.69,1.13,2.6,0.216,0.43,0.142,0.356,0.399,,,,61.0,79.0,76.0,92.0,103.0,96.0,115.0,95.0,103.0,,,,0.397,0.003,,0.162,,-3.47,,0.33,-1.38,,95.8,,,94.5,83.6,,,,,,,0.379,0.638,0.32,,,,113.0,111.0,115.0,0.051,-1.31,86.2,0.333,0.542,0.306,0.28,0.435,0.129,,,,,,,78.0,103.0,103.0,0.388,0.2,89.5,0.239,0.386,0.24600000000000002,,,
2023/07/23,1:07 PM.,HOU,OAK,home,Partly Cloudy.,72,686613,RF,4,0,1,0,0,0,0,0,0,1,4,.308,.379,.500,.879,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,101.0,99.0,96.0,90.0,103.0,93.0,112.0,102.0,110.0,,,,0.002,0.461,0.235,0.238,,0.01,-0.4,-0.16,-0.77,,95.7,91.7,,96.0,82.9,0.271,0.511,0.223,0.297,0.506,0.20800000000000002,0.247,0.374,0.303,0.121,0.242,0.37,104.0,92.0,97.0,0.017,-2.64,84.6,0.25,0.625,0.33299999999999996,,,,,,,,,,92.0,104.0,105.0,0.048,0.92,88.2,,,,,,
2023/07/22,6:08 PM.,HOU,OAK,home,Partly Cloudy.,75,664299,RF,3,0,1,0,0,0,0,0,1,1,1,.318,.400,.545,.945,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,101.0,98.0,98.0,,,,91.0,99.0,102.0,,,,,0.584,,0.075,0.041,0.44,,,-1.17,-1.29,92.7,,83.7,,76.6,0.236,0.455,0.265,,,,0.268,0.366,0.195,0.28,0.36,0.392,108.0,95.0,102.0,0.3,-0.09,79.5,0.211,0.367,0.287,,,,,,,,,,,,,,,,,,,,,
