date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff
2023/09/30,3:08 PM.,TOR,TB,away,Partly Cloudy.,68,547943,2B,4,0,0,0,0,0,0,0,0,2,4,.266,.333,.367,.700,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,0.095,0.317,,0.171,0.228,-0.51,3.34,,-1.45,-2.1,88.6,78.1,87.7,,68.9,,,,0.265,0.633,0.11900000000000001,0.133,0.133,0.091,0.276,0.448,0.25,0.286,0.429,0.35200000000000004,,,,,,,92.0,107.0,97.0,0.189,,1.27,,85.1,,0.238,0.357,0.207,,,,,,
2023/09/29,7:07 PM.,TOR,TB,away,Clear.,64,579328,2B,4,1,1,0,0,0,0,0,0,0,1,.280,.349,.387,.736,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,88.7,,88.7,83.1,0.225,0.396,0.302,0.27,0.412,0.268,,,,0.254,0.508,0.193,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/26,7:14 PM.,BOS,TB,away,Partly Cloudy.,56,656557,2B,5,1,2,0,0,0,0,0,0,1,0,.282,.354,.394,.748,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,,,,95.0,96.0,88.0,111.0,102.0,101.0,113.0,99.0,107.0,0.295,0.099,0.383,,,-2.8,-0.38,0.98,,,93.9,,93.4,83.9,,0.178,0.301,0.387,0.325,0.55,0.157,0.306,0.507,0.187,,,,,,,,,,,,,80.0,100.0,92.0,0.108,0.114,0.73,-1.52,91.3,87.6,0.229,0.354,0.21600000000000003,67.0,105.0,92.0,0.31,0.452,0.40399999999999997
2023/09/24,1:10 PM.,TOR,TB,home,Dome.,72,579328,3B,4,1,1,0,0,0,0,0,1,1,3,.273,.351,.394,.745,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.193,0.097,0.05,,1.11,0.24,-1.83,95.1,88.7,,88.7,83.1,0.225,0.396,0.302,0.27,0.412,0.268,,,,0.254,0.508,0.193,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/23,4:10 PM.,TOR,TB,home,Dome.,72,547943,3B,5,0,1,0,0,0,1,0,0,1,5,.274,.348,.403,.751,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,0.095,0.317,,0.171,0.228,-0.51,3.34,,-1.45,-2.1,88.6,78.1,87.7,,68.9,,,,0.265,0.633,0.11900000000000001,0.133,0.133,0.091,0.276,0.448,0.25,0.286,0.429,0.35200000000000004,,,,,,,92.0,107.0,97.0,0.189,,1.27,,85.1,,0.238,0.357,0.207,,,,,,
2023/09/22,6:41 PM.,TOR,TB,home,Dome.,72,605135,3B,4,1,2,0,0,1,1,0,0,0,3,.281,.359,.421,.780,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,0.393,0.093,0.136,0.126,0.065,-3.9,2.11,-0.72,0.67,1.71,92.4,84.1,91.9,75.6,70.7,0.227,0.636,0.191,0.333,0.652,0.20600000000000002,0.22,0.336,0.14400000000000002,0.189,0.351,0.10099999999999999,0.192,0.295,0.318,,,,,,,95.0,105.0,102.0,0.153,0.033,-1.13,-3.07,87.8,82.6,0.274,0.496,0.253,78.0,84.0,84.0,0.375,0.563,0.226
2023/09/21,1:10 PM.,LAA,TB,home,Dome.,72,656288,3B,1,0,0,0,0,0,0,0,0,0,2,.264,.350,.358,.708,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,0.006,0.348,0.299,0.134,0.213,-0.21,-8.61,0.1,-0.53,1.6,94.7,90.2,95.0,88.4,81.8,0.261,0.344,0.34,0.235,0.5,0.28300000000000003,0.333,1.333,0.0,0.213,0.339,0.248,0.271,0.667,0.252,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/20,6:40 PM.,LAA,TB,home,Dome.,72,672282,3B,5,0,1,0,0,0,0,0,0,1,4,.269,.356,.365,.721,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,0.432,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,84.8,,88.7,74.7,0.0,0.0,0.267,0.291,0.505,0.212,,,,0.242,0.424,0.24600000000000002,0.191,0.326,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/19,6:40 PM.,LAA,TB,home,Dome.,72,663776,3B,2,0,1,1,0,0,0,0,0,0,0,.277,.370,.383,.753,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,0.285,0.09,0.258,-1.22,0.36,0.02,0.27,0.3,93.0,83.0,93.2,86.5,76.5,0.2,0.5,0.306,0.336,0.507,0.156,0.269,0.327,0.129,0.184,0.33,0.43200000000000005,0.286,0.286,0.237,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/16,7:06 PM.,BAL,TB,away,Clear.,79,680570,3B,4,0,1,0,0,0,0,0,0,2,1,.267,.365,.356,.721,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.372,0.44,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,0.496,0.148,0.081,0.224,-0.83,,1.92,-0.49,1.7,97.4,83.9,,82.4,79.9,0.153,0.169,0.34,0.342,0.535,0.24100000000000002,,,,0.201,0.318,0.28300000000000003,0.176,0.353,0.281,,,,,,,76.0,90.0,86.0,0.052,,-1.59,,90.0,,0.333,0.889,0.14300000000000002,,,,,,
