date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023/04/18,6:40 PM.,MIL,SEA,home,Roof Closed.,46,607067,DH,2,0,0,0,0,0,0,0,1,1,1,.087,.192,.130,.322,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,101.0,105.0,105.0,82.0,111.0,99.0,97.0,109.0,109.0,87.0,99.0,95.0,0.193,0.265,0.109,0.079,,2.43,-0.01,-0.31,-0.94,,93.2,86.7,,83.1,78.8,0.135,0.27,0.264,0.226,0.377,0.36200000000000004,,,,0.245,0.519,0.293,0.242,0.455,0.231,96.0,105.0,99.0,62.0,96.0,91.0,0.299,0.056,-5.76,0.31,86.0,92.6,0.253,0.42,0.136,0.44,0.84,0.184,,,,,,,,,
2023/04/17,6:41 PM.,MIL,SEA,home,Cloudy.,48,669203,DH,3,0,0,0,0,0,0,0,0,1,0,.095,.174,.143,.317,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,160.0,104.0,113.0,,,,144.0,110.0,127.0,127.0,101.0,103.0,,0.554,0.085,0.171,0.112,,1.51,1.12,1.35,1.07,,94.4,89.3,86.0,79.8,,,,0.159,0.275,0.43799999999999994,0.204,0.258,0.306,0.209,0.34,0.22699999999999998,0.133,0.211,0.488,103.0,97.0,90.0,,,,0.077,,,-2.42,,95.3,0.291,0.564,0.129,,,,,,,,,,,,
2023/04/15,6:40 PM.,COL,SEA,home,Roof Closed.,51,663372,LF,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.167,.367,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,,,,0.278,,0.313,0.089,0.147,-0.01,,1.27,-2.31,2.91,94.8,,84.1,88.6,79.7,0.25,0.295,0.225,0.178,0.289,0.163,0.08,0.08,0.42100000000000004,,,,0.333,0.4,0.11800000000000001,103.0,99.0,95.0,,,,0.173,,,-4.88,,94.3,0.475,0.675,0.15,,,,,,,,,,,,
2023/04/12,1:21 PM.,CHC,SEA,away,Sunny.,77,573186,DH,4,0,0,0,0,0,0,0,0,2,4,.111,.200,.167,.367,573186,marcusstroman,Stroman,Right,Marcus Stroman,CHC,3.95,4.27,136.2,100.0,101.0,99.0,0.793,7.84,3.42,7.9,0.59,2.6,0.207,0.434,0.135,0.302,0.382,,,,139.0,103.0,111.0,58.0,106.0,91.0,78.0,111.0,109.0,105.0,96.0,98.0,0.082,0.096,0.051,0.23,,0.34,0.96,-0.41,0.34,,92.0,89.7,,86.1,84.6,0.154,0.256,0.32,0.184,0.237,0.322,,,,0.26,0.42,0.242,,,,102.0,97.0,95.0,46.0,95.0,91.0,0.464,0.077,0.12,1.08,86.6,91.4,0.245,0.332,0.14300000000000002,0.205,0.308,0.324,,,,,,,0.24,0.38,0.301
2023/04/10,6:39 PM.,CHC,SEA,away,Clear.,67,592767,DH,3,0,1,1,0,0,0,0,1,1,0,.143,.250,.214,.464,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,,,,86.0,94.0,82.0,,0.117,,,,,-0.51,,,,,88.6,,,,,,,,,,,,,0.293,0.463,0.21600000000000003,0.229,0.399,0.36,77.0,94.0,88.0,,,,0.389,,,-1.32,,91.9,0.314,0.6,0.17300000000000001,,,,105.0,102.0,103.0,0.494,-0.09,78.6,,,
2023/04/07,4:11 PM.,CLE,SEA,away,Partly Cloudy.,41,650644,DH,4,1,1,0,0,0,0,0,0,1,2,.091,.167,.091,.258,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,128.0,111.0,116.0,96.0,104.0,103.0,0.123,0.372,0.058,0.244,,-0.65,1.13,0.15,0.77,,91.8,87.7,,82.5,78.1,0.359,0.436,0.243,0.172,0.345,0.23199999999999998,,,,0.261,0.406,0.23399999999999999,0.188,0.323,0.273,75.0,101.0,89.0,58.0,95.0,95.0,0.185,0.017,-6.33,1.59,85.2,92.4,0.202,0.292,0.14400000000000002,0.5,0.625,0.182,,,,,,,,,
2023/04/05,1:10 PM.,LAA,SEA,home,Partly Cloudy.,48,660271,DH,1,0,0,0,0,0,0,0,0,0,1,.000,.125,.000,.125,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,136.0,97.0,112.0,96.0,89.0,88.0,0.33,0.156,0.356,0.036,,1.64,-0.82,1.81,1.15,,96.8,88.6,,83.7,75.7,0.164,0.236,0.27,0.146,0.339,0.365,,,,0.31,0.606,0.228,0.111,0.167,0.41700000000000004,104.0,94.0,95.0,129.0,93.0,108.0,0.06,0.062,-0.25,-0.53,88.6,94.5,0.273,0.409,0.225,0.179,0.205,0.41100000000000003,,,,,,,,,
2023/04/03,6:41 PM.,LAA,SEA,home,Partly Cloudy.,45,672282,DH,3,0,0,0,0,0,0,0,0,1,0,.000,.143,.000,.143,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,124.0,100.0,102.0,,,,0.432,,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,,84.8,88.7,74.7,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.24600000000000002,,,,0.191,0.326,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/02,1:10 PM.,CLE,SEA,home,Cloudy.,44,615698,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,,,,103.0,94.0,93.0,0.01,0.241,,0.109,0.101,-2.44,-0.89,,1.28,-2.42,93.8,88.1,86.1,,82.0,0.333,0.667,0.2,,,,0.344,0.625,0.182,0.33,0.495,0.221,0.188,0.313,0.158,86.0,96.0,90.0,113.0,104.0,104.0,0.416,0.123,-1.13,0.18,86.8,93.7,0.277,0.428,0.16899999999999998,0.241,0.362,0.225,,,,,,,,,
2023/03/31,7:10 PM.,CLE,SEA,home,Roof Closed.,45,683769,DH,3,1,0,0,0,0,0,1,0,2,2,.000,.250,.000,.250,683769,huntergaddis,Gaddis,Right,Hunter Gaddis,CLE,4.5,3.9,42.0,101.0,88.0,96.0,0.848,5.14,3.0,8.79,1.29,0.48,0.3,0.393,0.214,0.329,0.452,57.0,98.0,93.0,93.0,75.0,88.0,87.0,101.0,93.0,102.0,104.0,104.0,90.0,98.0,86.0,0.399,0.036,0.317,0.066,0.182,-0.22,-1.86,0.44,-0.85,-1.29,93.4,89.0,81.2,85.3,75.5,0.302,0.476,0.155,0.268,0.446,0.16399999999999998,0.156,0.469,0.16699999999999998,0.333,0.333,0.231,0.0,0.0,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,
