date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/05/31,1:11 PM.,LAA,CWS,home,Partly Cloudy.,84,642545,3B,2,0,1,1,0,0,2,0,0,0,0,.220,.261,.390,.651,642545,jaimebarria,Barria,Right,Jaime Barria,LAA,5.68,5.41,82.1,100.0,96.0,99.0,0.787,6.78,3.28,9.95,2.19,0.81,0.213,0.463,0.175,0.302,0.424,87.0,100.0,98.0,,,,84.0,101.0,97.0,107.0,101.0,103.0,,,,0.306,,0.507,,0.141,-2.05,,0.32,,0.67,93.0,,84.6,85.9,,,,,0.362,0.713,0.146,0.242,0.452,0.26,0.227,0.25,0.349,,,,85.0,72.0,71.0,,,,0.047,,-6.47,,92.2,,0.389,0.889,0.11800000000000001,,,,,,,,,
2023/05/28,1:41 PM.,DET,CWS,away,Sunny.,78,593958,3B,2,0,0,0,0,0,0,0,0,0,0,.213,.256,.375,.631,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,103.0,107.0,106.0,90.0,101.0,98.0,0.454,0.192,0.072,,0.189,0.65,0.51,3.12,,0.71,92.2,88.8,85.9,84.5,,0.2,0.471,0.19399999999999998,0.278,0.431,0.222,0.089,0.178,0.395,0.233,0.292,0.317,,,,84.0,117.0,107.0,,,,0.093,,1.11,,92.4,,0.165,0.228,0.135,,,,,,,,,
2023/05/26,6:41 PM.,DET,CWS,away,Clear.,71,666214,3B,5,1,1,0,0,0,2,0,0,1,2,.218,.262,.385,.647,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,91.0,97.0,93.0,0.416,0.251,,0.158,0.175,-2.53,-0.57,,-0.86,-0.22,93.4,86.0,85.0,,77.5,0.271,0.5,0.29100000000000004,0.374,0.682,0.19,,,,0.189,0.392,0.318,0.247,0.356,0.285,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/23,6:10 PM.,CLE,CWS,away,Partly Cloudy.,69,671106,2B,0,0,0,0,0,0,0,0,0,0,0,.219,.266,.397,.663,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.089,0.247,,0.213,-0.12,-2.1,-0.74,,1.49,91.4,86.3,82.7,79.3,,0.462,0.692,0.17,0.257,0.482,0.177,0.3,0.3,0.368,0.191,0.223,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/21,1:11 PM.,KC,CWS,home,Sunny.,75,672578,2B,1,0,0,0,0,0,0,0,0,0,0,.219,.266,.397,.663,672578,carloshernandez,"Hernández, C",Right,Carlos Hernández,KCR,5.27,4.7,70.0,100.0,124.0,106.0,0.726,9.9,3.99,7.97,1.29,0.75,0.241,0.45,0.105,0.403,0.43,,,,,,,134.0,99.0,105.0,118.0,103.0,112.0,,,,0.552,0.001,0.235,0.001,0.001,0.09,-10.95,0.71,-3.64,-5.8,99.1,83.8,77.7,88.6,70.1,,,,0.272,0.507,0.254,0.173,0.307,0.379,,,,0.208,0.5,0.37799999999999995,145.0,87.0,126.0,117.0,95.0,103.0,0.007,0.093,-3.63,-0.29,98.1,84.0,,,,93.0,100.0,104.0,0.111,0.44,89.0,0.2,0.267,0.36200000000000004
2023/05/20,1:11 PM.,KC,CWS,home,Sunny.,59,543475,2B,3,0,0,0,0,0,0,0,0,1,2,.222,.269,.403,.672,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,99.0,107.0,110.0,96.0,99.0,98.0,0.306,0.076,0.247,0.131,0.109,1.11,-0.94,-1.31,-1.6,-1.66,91.2,86.8,85.5,80.2,79.4,0.314,0.725,0.19,0.227,0.444,0.154,0.28,0.543,0.249,0.26,0.481,0.257,0.238,0.476,0.21899999999999997,76.0,103.0,88.0,,,,0.131,,-0.01,,90.5,,0.248,0.457,0.158,,,,,,,,,
2023/05/18,1:10 PM.,CLE,CWS,home,Partly Cloudy.,62,671106,2B,3,0,0,0,0,0,0,0,0,0,4,.232,.280,.420,.700,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,108.0,98.0,101.0,110.0,97.0,98.0,0.451,0.089,0.247,,0.213,-0.12,-2.1,-0.74,,1.49,91.4,86.3,82.7,79.3,,0.462,0.692,0.17,0.257,0.482,0.177,0.3,0.3,0.368,0.191,0.223,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/17,7:10 PM.,CLE,CWS,home,Partly Cloudy.,50,685410,2B,3,1,0,0,0,0,0,0,1,0,3,.242,.292,.439,.731,685410,peytonbattenfield,Battenfield,Right,Peyton Battenfield,CLE,5.19,6.16,34.2,100.0,88.0,94.0,0.756,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.056,0.439,0.39,72.0,88.0,86.0,72.0,97.0,98.0,73.0,94.0,89.0,,,,109.0,109.0,98.0,0.446,0.408,,0.107,0.038,-2.36,2.7,,0.03,-4.8,90.8,87.3,84.7,,79.7,0.164,0.279,0.318,0.323,0.645,0.129,,,,0.4,0.8,0.33299999999999996,0.4,0.4,0.429,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/16,7:11 PM.,CLE,CWS,home,Partly Cloudy.,61,669456,2B,4,0,2,0,0,0,0,0,0,0,2,.254,.294,.460,.754,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,59.0,93.0,85.0,,,,81.0,103.0,96.0,111.0,107.0,109.0,95.0,94.0,93.0,0.352,0.269,0.207,,0.035,0.87,0.43,0.84,,-4.04,91.3,86.5,87.2,84.6,,0.316,0.465,0.293,0.257,0.434,0.09300000000000001,0.18,0.331,0.326,0.5,0.571,0.083,0.237,0.368,0.32299999999999995,,,,155.0,104.0,109.0,,0.137,,-1.29,,82.5,,,,,,,,,,,,
2023/05/14,1:10 PM.,HOU,CWS,home,Overcast.,58,686613,2B,4,0,0,0,0,0,0,0,0,2,2,.237,.281,.458,.739,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,,,,,,,101.0,99.0,96.0,104.0,92.0,97.0,,,,0.461,0.235,0.017,,,0.01,-0.4,-2.64,,,95.7,91.7,,84.6,,0.297,0.506,0.20800000000000002,0.271,0.511,0.223,0.25,0.625,0.33299999999999996,0.121,0.242,0.37,0.247,0.374,0.303,90.0,103.0,93.0,112.0,102.0,110.0,0.002,0.238,-0.16,-0.77,96.0,82.9,,,,92.0,104.0,105.0,0.048,0.92,88.2,,,
