date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/30,6:16 PM.,STL,CIN,away,Clear.,86,680723,LF,2,0,2,0,0,0,0,0,0,0,0,.265,.333,.559,.892,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.241,0.443,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,,87.4,79.4,,,,,0.333,0.633,0.212,0.351,0.568,0.091,,,,,,,0.289,0.632,0.172,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,0.6,0.26899999999999996,,,,,,,,,
2023/09/29,7:15 PM.,STL,CIN,away,Clear.,80,663765,LF,5,2,2,1,0,1,3,0,0,1,4,.242,.315,.545,.860,663765,jakewoodford,Woodford,Right,Jake Woodford,STL,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.167,0.429,0.119,0.363,0.433,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.056,0.232,0.101,0.041,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,86.2,92.0,81.7,76.3,0.167,0.167,0.182,0.571,1.357,0.29600000000000004,0.299,0.536,0.11,0.455,0.727,0.2,0.5,0.625,0.16699999999999998,0.241,0.448,0.18600000000000003,,,,,,,,,,,,,,,,,,
2023/09/27,6:12 PM.,CLE,CIN,away,Cloudy.,71,669456,LF,1,1,1,1,0,0,0,0,0,0,0,.230,.309,.492,.801,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.352,0.269,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,87.2,,84.6,,0.5,0.571,0.083,0.257,0.434,0.09300000000000001,,,,0.237,0.368,0.32299999999999995,0.316,0.465,0.293,0.18,0.331,0.326,,,,,,,,,,,,,155.0,104.0,109.0,0.137,-1.29,82.5
2023/09/23,6:41 PM.,PIT,CIN,home,Clear.,75,663559,LF,1,1,0,0,0,0,1,0,0,0,1,.217,.299,.467,.766,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,87.0,108.0,105.0,72.0,105.0,96.0,77.0,103.0,92.0,77.0,105.0,100.0,,,,0.072,0.444,,0.189,0.225,0.046,-0.08,,-1.63,-1.91,-0.85,-0.8,90.7,,84.6,90.7,84.5,76.5,0.273,0.364,0.33299999999999996,0.305,0.435,0.156,0.333,0.571,0.133,0.267,0.493,0.209,,,,0.288,0.746,0.19899999999999998,,,,0.024,3.65,85.0,0.0,0.0,0.33299999999999996,,,,,,,,,
2023/09/20,12:36 PM.,MIN,CIN,home,Sunny.,78,641927,PH,0,0,0,0,0,0,0,0,1,0,0,.220,.303,.475,.778,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.067,0.28,0.75,,,-0.7,1.44,1.08,91.3,,83.7,,81.0,77.5,0.226,0.35,0.298,0.232,0.425,0.27699999999999997,,,,0.194,0.306,0.161,,,,0.255,0.48,0.32899999999999996,,,,,,,,,,,,,,,,,,
2023/09/19,6:41 PM.,MIN,CIN,home,Clear.,75,628317,1B,1,0,0,0,0,0,0,0,0,1,1,.220,.292,.475,.767,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,94.0,96.0,95.0,76.0,102.0,91.0,73.0,107.0,96.0,105.0,99.0,103.0,,,,0.064,0.274,,0.306,0.036,,0.35,,-0.88,-0.07,-2.4,,91.0,,,90.3,81.6,76.4,,,,0.275,0.451,0.251,0.385,0.538,0.128,0.333,0.667,0.063,,,,0.206,0.471,0.28800000000000003,138.0,107.0,112.0,0.319,1.6,84.1,0.182,0.263,0.35,,,,,,,,,
2023/09/16,7:12 PM.,NYM,CIN,away,Clear.,72,656731,RF,3,0,0,0,0,0,0,0,0,0,2,.224,.297,.483,.780,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,,,,96.0,103.0,106.0,,,,,0.557,,0.206,0.086,0.149,-0.4,,,-1.04,-0.05,-0.09,94.9,,87.9,,84.4,77.2,0.264,0.396,0.24100000000000002,0.314,0.494,0.184,,,,0.167,0.167,0.354,,,,0.264,0.445,0.311,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,,,,
2023/09/14,1:10 PM.,DET,CIN,away,Sunny.,67,681857,RF,2,0,0,0,0,0,0,0,1,1,1,.236,.311,.509,.820,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,82.0,108.0,100.0,132.0,98.0,104.0,,,,0.2,0.285,,0.306,0.058,0.151,0.85,,1.25,-0.14,0.83,0.98,94.8,,87.8,94.8,84.8,78.8,0.208,0.283,0.359,0.171,0.381,0.158,0.278,0.367,0.121,0.167,0.222,0.311,,,,0.217,0.433,0.41600000000000004,,,,,,,,,,,,,,,,,,
2023/09/12,6:40 PM.,DET,CIN,away,Partly Cloudy.,69,666214,DH,1,0,0,0,0,0,0,0,0,0,0,.245,.310,.528,.838,666214,joeywentz,Wentz,Left,Joey Wentz,DET,6.9,5.77,105.2,100.0,89.0,95.0,0.766,8.35,4.0,11.16,2.13,0.84,0.228,0.418,0.147,0.357,0.424,95.0,101.0,98.0,102.0,106.0,105.0,80.0,100.0,92.0,,,,,,,91.0,97.0,93.0,,0.416,0.251,,0.158,0.175,-2.53,-0.57,,,-0.86,-0.22,93.4,86.0,85.0,,,77.5,0.189,0.392,0.318,0.374,0.682,0.19,,,,0.247,0.356,0.285,0.271,0.5,0.29100000000000004,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:41 PM.,STL,CIN,home,Partly Cloudy.,76,571945,LF,3,0,1,0,1,0,1,0,0,0,0,.250,.316,.538,.854,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,,,,0.243,0.26,,0.243,0.198,0.054,-0.19,,-1.61,0.62,-0.92,2.68,93.3,,84.4,92.7,86.4,75.9,0.182,0.382,0.085,0.29,0.495,0.18899999999999997,0.34,0.54,0.085,0.261,0.387,0.198,,,,0.245,0.375,0.22399999999999998,,,,,,,,,,,,,,,,0.002,-0.89,68.1
