date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,CU%,CH%,wCU/C,wCH/C,vCH,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
2023/05/08,6:47 PM.,WSH,SF,home,Partly Cloudy.,57,663623,CF,2,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,92.0,100.0,94.0,101.0,101.0,98.0,,,,,,,,,,0.287,0.356,,,,,-0.01,,,-0.75,,,94.5,,,93.9,,,0.208,0.376,0.192,0.197,0.362,0.257,,,,0.25,0.5,0.156,,,,78.0,99.0,95.0,110.0,100.0,103.0,,,,0.306,0.051,0.08,1.21,87.8,80.9,0.348,0.525,0.09300000000000001,,,
2023/05/07,1:05 PM.,MIL,SF,home,Partly Cloudy.,60,605288,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.300,.000,.300,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,,,,,,,0.471,0.238,,,0.166,,0.29,,,0.46,-0.89,,93.4,,,92.1,82.3,,0.227,0.34,0.237,0.269,0.538,0.127,,,,0.294,0.471,0.2,0.258,0.484,0.284,88.0,92.0,93.0,67.0,100.0,95.0,,,,0.085,0.04,-1.08,-2.07,84.3,79.4,0.296,0.396,0.129,,,
2023/05/06,4:16 PM.,MIL,SF,home,Cloudy.,59,607067,CF,3,0,0,0,0,0,0,0,0,0,0,.000,.300,.000,.300,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,82.0,111.0,99.0,96.0,105.0,99.0,97.0,109.0,109.0,,,,62.0,96.0,91.0,0.299,0.193,0.265,0.056,0.109,,2.43,-0.01,-5.76,0.31,-0.31,,93.2,86.7,86.0,92.6,83.1,,0.135,0.27,0.264,0.242,0.455,0.231,0.245,0.519,0.293,,,,0.226,0.377,0.36200000000000004,,,,101.0,105.0,105.0,87.0,99.0,95.0,0.079,,-0.94,,,78.8,0.253,0.42,0.136,0.44,0.84,0.184
2023/05/05,7:20 PM.,MIL,SF,home,Cloudy.,55,669203,CF,2,1,0,0,0,0,0,0,1,1,2,.000,.429,.000,.429,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,,,,103.0,97.0,90.0,144.0,110.0,127.0,,,,,,,0.077,,0.554,,0.085,,,1.51,,-2.42,1.12,,,94.4,,95.3,86.0,,,,,0.133,0.211,0.488,0.209,0.34,0.22699999999999998,0.204,0.258,0.306,0.159,0.275,0.43799999999999994,82.0,105.0,112.0,160.0,104.0,113.0,127.0,101.0,103.0,0.171,0.112,1.35,1.07,89.3,79.8,0.291,0.564,0.129,,,
2023/05/03,1:10 PM.,HOU,SF,away,Roof Closed.,73,664285,CF,0,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,,,,,,,0.468,0.001,0.034,,0.087,,-16.35,0.45,,0.93,-0.32,,95.7,89.1,,95.3,84.7,,,,,0.158,0.211,0.402,0.182,0.182,0.435,0.231,0.342,0.311,0.189,0.405,0.43799999999999994,96.0,98.0,94.0,118.0,98.0,106.0,99.0,99.0,95.0,0.253,0.157,1.07,0.73,90.1,80.2,0.274,0.455,0.126,,,
2023/05/02,7:10 PM.,HOU,SF,away,Cloudy.,76,686613,CF,2,0,0,0,0,0,0,0,2,0,1,.000,.500,.000,.500,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,5.09,4.27,155.2,100.0,104.0,101.0,0.77,10.29,3.18,9.08,1.5,1.78,0.274,0.364,0.135,0.362,0.433,101.0,99.0,96.0,90.0,103.0,93.0,104.0,92.0,97.0,112.0,102.0,110.0,92.0,104.0,105.0,0.002,0.461,0.235,0.048,0.017,0.238,0.01,-0.4,0.92,-0.16,-2.64,-0.77,95.7,91.7,88.2,96.0,84.6,82.9,0.271,0.511,0.223,0.247,0.374,0.303,0.297,0.506,0.20800000000000002,0.121,0.242,0.37,0.25,0.625,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,
