date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/08/01,6:46 PM.,STL,MIN,away,Partly Cloudy.,84,571945,DH,4,0,1,1,0,0,0,0,0,1,1,.207,.294,.438,.732,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,,,,0.243,0.26,,0.243,0.198,0.002,0.054,-0.19,,-1.61,0.62,-0.92,-0.89,2.68,93.3,,84.4,92.7,86.4,75.9,68.1,0.29,0.495,0.18899999999999997,0.245,0.375,0.22399999999999998,0.182,0.382,0.085,0.34,0.54,0.085,0.261,0.387,0.198,,,,,,,,,,,,,,,,,,,,,
2023/07/30,1:12 PM.,KC,MIN,away,Sunny.,87,642232,DH,4,0,1,1,0,0,0,0,0,2,2,.207,.294,.437,.731,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,61.0,105.0,94.0,102.0,98.0,108.0,,,,76.0,108.0,89.0,,,,77.0,106.0,93.0,0.002,0.308,0.248,,0.26,,0.182,0.59,1.48,1.21,,-0.24,,-2.4,87.0,84.2,78.5,88.2,,71.9,,0.283,0.37,0.127,,,,0.329,0.6,0.27699999999999997,,,,0.208,0.386,0.382,0.289,0.378,0.121,,,,,,,,,,,,,,,,,,
2023/07/29,6:10 PM.,KC,MIN,away,Cloudy.,85,543475,DH,3,2,3,3,0,0,2,0,0,0,0,.206,.295,.436,.731,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,95.0,97.0,99.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.131,,0.109,1.11,-0.94,-0.01,-1.31,-1.6,,-1.66,91.2,86.8,85.5,90.5,80.2,79.4,,0.227,0.444,0.154,0.28,0.543,0.249,0.26,0.481,0.257,0.248,0.457,0.158,0.238,0.476,0.21899999999999997,0.314,0.725,0.19,,,,,,,,,,,,,,,,,,
2023/07/28,7:10 PM.,KC,MIN,away,Clear.,97,663903,PH,1,1,1,0,0,0,0,0,0,0,0,.198,.287,.420,.707,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,0.51,0.002,,0.426,,,0.063,-2.24,,-1.24,0.01,,,-0.3,90.9,,87.7,92.1,84.0,,,,,,0.0,0.0,0.6,0.265,0.353,0.10400000000000001,0.339,0.555,0.113,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/23,1:13 PM.,CWS,MIN,home,Overcast.,82,608337,DH,5,0,1,0,0,0,0,0,1,2,2,.195,.284,.418,.702,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.283,-0.85,,,-0.25,-3.72,,-0.2,93.1,,80.9,,84.0,77.9,,0.262,0.546,0.2,0.236,0.438,0.345,0.209,0.442,0.35200000000000004,,,,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,
2023/07/22,6:46 PM.,CWS,MIN,home,Cloudy.,77,656302,DH,3,1,0,0,0,0,0,1,1,2,0,.195,.284,.422,.706,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,,,,125.0,95.0,103.0,,,,120.0,101.0,108.0,,,,,0.432,,0.386,,0.152,0.03,-0.15,,,0.4,,-1.83,1.0,95.6,,74.6,,86.3,,80.2,0.273,0.436,0.205,0.216,0.339,0.433,0.111,0.111,0.5379999999999999,,,,0.298,0.538,0.249,,,,83.0,94.0,99.0,,,,,,,,,,,,,,,
2023/07/21,7:11 PM.,CWS,MIN,home,Partly Cloudy.,82,458681,DH,4,2,2,0,0,2,4,0,0,1,1,.197,.284,.426,.710,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.437,0.23,0.063,0.074,,0.07,-0.4,-0.35,1.21,-3.65,-2.24,,-1.23,92.4,88.7,84.9,91.4,83.0,80.8,,0.255,0.52,0.316,0.286,0.446,0.308,0.302,0.372,0.29600000000000004,0.239,0.394,0.177,0.208,0.453,0.354,0.273,0.512,0.267,,,,,,,,,,,,,,,,,,
2023/07/20,12:41 PM.,SEA,MIN,away,Sunny.,76,669923,DH,4,0,0,0,0,0,0,0,0,2,3,.193,.281,.404,.685,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,,,,0.216,0.394,,0.197,,0.115,0.018,1.34,,0.43,1.03,,0.35,-5.31,96.1,,86.6,95.8,86.3,,81.8,0.234,0.392,0.28,0.264,0.377,0.22,0.5,0.9,0.125,0.261,0.383,0.131,0.265,0.458,0.159,,,,,,,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.35700000000000004,,,,75.1,0.001,0.26
2023/07/17,6:40 PM.,SEA,MIN,away,Partly Cloudy.,70,669302,DH,5,0,0,0,0,0,0,0,0,3,6,.196,.285,.409,.694,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,0.003,0.419,,0.297,,0.134,,0.01,,-11.33,1.84,,0.39,,95.7,,,93.7,88.7,,80.3,0.28,0.491,0.177,0.211,0.349,0.322,,,,0.667,1.0,0.25,0.214,0.371,0.306,,,,110.0,95.0,103.0,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,,,,,,
2023/07/16,1:09 PM.,OAK,MIN,away,Partly Cloudy.,79,676664,DH,4,0,0,0,0,0,0,0,0,3,0,.199,.289,.417,.706,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,0.001,0.501,,0.346,,,0.151,-0.84,,0.63,-0.06,,,0.36,93.1,,84.1,92.1,81.4,,,0.256,0.478,0.217,0.21,0.395,0.28300000000000003,0.277,0.438,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,
