date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2023/05/23,6:41 PM.,STL,CIN,home,Partly Cloudy.,80,425794,RF,3,0,0,0,0,0,0,0,1,0,0,.189,.257,.283,.540,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,129.0,102.0,110.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,107.0,99.0,95.0,0.314,0.099,0.226,0.003,0.306,0.05,-1.48,-0.27,-3.36,-13.9,-1.5,-3.6,85.7,82.9,81.4,86.9,75.6,71.5,0.326,0.512,0.11699999999999999,0.394,0.746,0.09300000000000001,0.344,0.473,0.152,,,,0.291,0.475,0.153,0.389,0.611,0.1,0.002,6.39,65.7,,,,,,,,,,,,
2023/05/22,6:41 PM.,STL,CIN,home,Partly Cloudy.,77,656756,RF,3,0,0,0,0,0,1,1,1,1,3,.194,.257,.290,.547,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,0.229,-0.68,-4.4,1.22,,0.84,0.2,93.4,88.2,83.5,93.3,,80.5,0.333,0.5,0.195,0.255,0.374,0.141,0.417,0.667,0.31,,,,0.191,0.357,0.371,0.239,0.405,0.392,,,,,,,,,,,,,,,
2023/05/20,4:11 PM.,NYY,CIN,home,Sunny.,71,666745,RF,4,0,0,0,0,0,0,0,0,1,1,.198,.258,.298,.556,666745,jhonybrito,Brito,Right,Jhony Brito,NYY,4.28,4.55,90.1,103.0,93.0,102.0,0.809,7.17,2.79,8.17,1.39,1.1,0.261,0.399,0.134,0.347,0.424,87.0,104.0,106.0,,,,77.0,99.0,88.0,106.0,105.0,104.0,115.0,84.0,89.0,,,,0.327,0.166,,0.113,,0.29,-0.97,,1.05,0.17,,0.5,95.8,,88.8,96.0,83.0,,0.167,0.5,0.179,0.282,0.436,0.149,,,,0.172,0.31,0.28,0.348,0.696,0.188,0.232,0.392,0.282,0.104,-1.87,80.4,,,,,,,,,,,,
2023/05/19,6:41 PM.,NYY,CIN,home,Partly Cloudy.,77,657376,RF,3,0,1,0,0,0,0,0,1,1,1,.205,.266,.308,.574,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,0.241,,0.279,0.274,,0.015,,0.27,-0.2,-0.59,,-7.35,,91.3,89.4,93.4,86.0,,,,,0.288,0.447,0.11,0.28,0.457,0.222,0.276,0.559,0.263,0.198,0.314,0.345,0.5,0.5,0.091,0.191,-0.46,83.7,146.0,100.0,118.0,,,,,,,,,
2023/05/17,1:09 PM.,COL,CIN,away,Partly Cloudy.,77,596295,RF,5,0,1,0,0,0,0,0,0,0,5,.202,.258,.307,.565,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,0.012,0.439,,0.201,,0.181,-1.99,,-5.34,0.96,,-0.07,90.6,,81.6,90.8,84.8,,0.344,0.656,0.11800000000000001,0.4,1.0,0.16699999999999998,,,,0.275,0.383,0.247,0.226,0.358,0.28,0.296,0.509,0.19899999999999998,0.168,-0.75,77.6,90.0,103.0,104.0,,,,,,,,,
2023/05/16,6:42 PM.,COL,CIN,away,Cloudy.,73,502624,RF,3,0,1,0,0,0,0,0,1,1,0,.202,.261,.312,.573,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,0.073,0.312,0.263,0.082,0.041,0.229,-2.17,0.63,-5.45,0.92,-4.22,2.14,93.3,89.2,83.9,92.6,80.6,77.6,0.351,0.619,0.17300000000000001,0.545,0.955,0.073,0.244,0.444,0.226,0.172,0.172,0.24600000000000002,0.3,0.9,0.125,0.163,0.25,0.287,,,,,,,,,,,,,,,
2023/05/15,6:41 PM.,COL,CIN,away,Cloudy.,63,657756,RF,2,0,0,0,0,0,1,0,0,2,4,.198,.252,.311,.563,657756,connorseabold,Seabold,Right,Connor Seabold,COL,7.52,5.13,87.1,102.0,80.0,95.0,0.8,6.9,2.89,11.95,1.96,0.72,0.297,0.366,0.157,0.395,0.46,72.0,88.0,86.0,100.0,101.0,103.0,74.0,104.0,93.0,,,,93.0,104.0,102.0,,,,,0.544,,0.305,0.018,0.133,-1.53,,,-2.41,-8.0,0.41,92.6,,80.6,,85.3,78.7,0.338,0.605,0.18600000000000003,,,,,,,0.313,0.616,0.262,0.5,0.6,0.231,0.204,0.265,0.22699999999999998,,,,,,,,,,,,,,,
2023/05/14,1:41 PM.,MIA,CIN,away,Roof Closed.,72,666129,1B,4,0,1,1,0,0,0,0,0,2,1,.202,.259,.317,.576,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,95.0,100.0,97.0,0.317,0.075,0.177,0.258,0.084,0.088,-1.84,1.53,1.06,0.45,-4.44,0.73,90.8,87.5,84.1,90.5,82.8,77.7,0.325,0.575,0.159,0.256,0.377,0.107,0.243,0.477,0.247,0.169,0.302,0.408,0.5,1.059,0.2,0.286,0.327,0.327,,,,,,,,,,,,,,,
2023/05/13,1:12 PM.,MIA,CIN,away,Roof Closed.,72,645261,RF,0,1,0,0,0,0,0,0,0,0,0,.200,.259,.310,.569,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,134.0,99.0,105.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,,,,0.29,0.213,,0.201,0.022,0.273,-0.27,,1.72,0.72,-0.52,-0.43,98.0,,91.1,97.6,89.9,86.1,0.253,0.448,0.267,0.237,0.366,0.124,,,,0.227,0.364,0.35200000000000004,0.308,0.308,0.182,0.282,0.401,0.299,,,,,,,,,,,,,,,
2023/05/12,6:40 PM.,MIA,CIN,away,Partly Cloudy.,83,691587,RF,4,0,0,0,0,0,0,0,0,2,3,.200,.259,.310,.569,691587,euryperez,"Pérez, Eu",Right,Eury Pérez,MIA,3.15,3.61,91.1,98.0,110.0,105.0,0.685,10.64,3.05,7.09,1.48,0.46,0.206,0.464,0.159,0.391,0.407,86.0,85.0,82.0,91.0,95.0,99.0,128.0,100.0,109.0,,,,101.0,102.0,107.0,,,,,0.454,,0.308,0.14,0.098,-0.47,,,0.99,1.89,0.99,97.5,,89.7,,86.4,81.2,0.289,0.585,0.187,,,,,,,0.183,0.365,0.47700000000000004,0.098,0.171,0.5429999999999999,0.045,0.045,0.462,,,,,,,,,,,,,,,
