date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
2023/04/22,7:19 PM.,HOU,ATL,home,Clear.,68,664285,CF,3,0,0,0,0,0,0,0,0,2,0,.071,.235,.071,.306,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.468,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,90.1,95.3,84.7,80.2,,,,0.158,0.211,0.402,0.274,0.455,0.126,0.231,0.342,0.311,0.189,0.405,0.43799999999999994,,,,99.0,99.0,95.0,0.034,0.45,89.1,0.182,0.182,0.435
2023/04/18,6:40 PM.,SD,ATL,away,Partly Cloudy.,60,605483,CF,1,0,0,0,0,0,0,0,1,0,2,.091,.286,.091,.377,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.198,0.184,0.07,,0.68,2.55,2.65,95.5,86.7,,88.4,81.0,0.255,0.389,0.195,0.079,0.14,0.563,,,,0.185,0.266,0.46799999999999997,0.123,0.26,0.536,,,,,,,,,,,,
2023/04/17,6:42 PM.,SD,ATL,away,Cloudy.,58,677960,CF,1,0,0,0,0,0,0,0,1,0,0,.100,.250,.100,.350,677960,ryanweathers,Weathers,Left,Ryan Weathers,- - -,6.55,4.67,57.2,98.0,88.0,94.0,0.789,6.71,4.53,10.61,1.87,0.87,0.293,0.413,0.185,0.299,0.43,67.0,97.0,88.0,,,,91.0,99.0,93.0,,,,105.0,99.0,100.0,0.01,0.551,0.203,,0.236,-1.58,9.15,-1.09,,-1.24,95.1,86.8,94.9,80.8,,0.35,0.592,0.20600000000000002,,,,0.0,0.0,0.0,0.304,0.507,0.27899999999999997,0.229,0.521,0.261,,,,,,,,,,,,
2023/04/15,5:45 PM.,KC,ATL,away,Overcast.,46,663460,CF,5,1,1,0,0,0,0,0,0,2,2,.111,.111,.111,.222,663460,krisbubic,Bubic,Left,Kris Bubic,KCR,3.94,4.04,16.0,102.0,84.0,97.0,0.725,9.0,1.13,10.69,0.56,1.47,0.224,0.306,0.082,0.429,0.458,84.0,102.0,105.0,75.0,104.0,99.0,85.0,100.0,93.0,,,,85.0,119.0,101.0,,0.424,0.148,0.182,0.246,-1.95,,3.15,1.97,1.25,91.7,82.2,,83.6,80.9,0.476,0.619,0.228,0.143,0.357,0.25,,,,0.263,0.263,0.41700000000000004,0.182,0.182,0.26899999999999996,,,,,,,,,,,,
2023/04/10,7:20 PM.,CIN,ATL,home,Clear.,65,668933,CF,3,0,0,0,0,0,0,0,0,2,3,.000,.000,.000,.000,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,0.097,,0.373,,0.0,,-1.17,-0.37,,-25.75,,90.4,96.5,88.3,,,,,,,,0.286,0.429,0.1,,,,0.221,0.461,0.32899999999999996,,,,116.0,98.0,100.0,0.529,0.15,95.8,0.292,0.436,0.171
2023/04/09,7:11 PM.,SD,ATL,home,Clear.,63,607625,PH,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,0.199,0.318,0.111,0.313,0.059,0.36,1.87,-0.6,0.26,-2.89,93.4,86.3,93.2,85.2,79.6,0.246,0.464,0.214,0.287,0.384,0.265,0.208,0.36,0.08900000000000001,0.303,0.576,0.34299999999999997,0.25,0.417,0.28600000000000003,0.0,0.0,0.226,,,,,,,,,
