date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/17,1:10 PM.,LAD,SEA,home,Partly Cloudy.,64,571946,LF,1,0,0,0,0,0,0,0,0,1,0,.208,.303,.448,.751,571946,shelbymiller,"Miller, S",Right,Shelby Miller,LAD,1.71,3.25,42.0,99.0,111.0,101.0,0.775,9.0,4.07,4.07,0.64,0.84,0.17,0.46,0.17,0.31,0.454,,,,,,,106.0,100.0,100.0,,,,,,,,0.576,,,,3.2,,,,,93.5,,,,,,,,0.11,0.178,0.258,,,,,,,,,,109.0,100.0,103.0,0.161,-0.15,82.1,0.208,0.417,0.191,,,,,,,121.0,96.0,102.0,0.262,0.51,85.6,0.136,0.25,0.307
2023/09/16,6:41 PM.,LAD,SEA,home,Clear.,72,477132,2B,2,0,0,0,0,0,0,0,0,1,1,.210,.305,.452,.757,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,,,,0.002,0.369,,0.175,0.017,0.23,,14.84,0.13,-0.46,90.7,,84.6,90.9,73.4,0.2,0.2,0.6,0.281,0.451,0.09699999999999999,0.0,0.0,0.0,,,,0.212,0.338,0.33799999999999997,112.0,102.0,104.0,0.434,2.06,86.5,0.167,0.338,0.36200000000000004,,,,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0
2023/09/15,7:11 PM.,LAD,SEA,home,Clear.,77,676272,DH,1,0,0,0,0,0,0,0,0,1,2,.213,.309,.459,.768,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,,,,0.192,0.289,,0.185,0.16,1.2,,1.75,1.25,0.6,99.0,,88.2,98.8,80.6,0.133,0.307,0.39899999999999997,0.258,0.367,0.20600000000000002,0.258,0.382,0.17800000000000002,,,,0.184,0.303,0.36,153.0,110.0,121.0,0.174,-1.0,89.7,0.5,0.75,0.25,,,,,,,,,,,,,,,
2023/09/13,1:11 PM.,LAA,SEA,home,Partly Cloudy.,70,681806,2B,2,0,0,0,0,0,0,0,0,2,1,.215,.312,.463,.775,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,88.0,108.0,99.0,,,,112.0,99.0,99.0,,,,109.0,97.0,99.0,,0.389,0.287,,0.064,-1.07,1.1,,,0.16,94.0,89.4,87.7,,,0.167,0.25,0.444,0.295,0.568,0.244,,,,0.244,0.439,0.258,,,,120.0,105.0,115.0,0.26,4.53,83.8,0.067,0.089,0.258,,,,,,,,,,,,,,,
2023/09/12,6:42 PM.,LAA,SEA,home,Roof Closed.,63,663776,CF,4,1,2,1,0,0,1,0,0,2,0,.218,.316,.471,.787,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,,,,0.111,0.256,,0.09,0.258,-1.22,,0.36,0.27,0.3,93.0,,83.0,93.2,76.5,0.184,0.33,0.43200000000000005,0.336,0.507,0.156,0.269,0.327,0.129,,,,0.286,0.286,0.237,123.0,100.0,107.0,0.285,0.02,86.5,0.2,0.5,0.306,,,,,,,,,,,,,,,
2023/09/11,6:40 PM.,LAA,SEA,home,Clear.,69,672282,2B,3,0,0,0,0,0,0,0,0,0,4,.209,.311,.461,.772,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,,,,,0.432,,0.194,0.054,-0.38,,,0.14,-2.03,94.3,,84.8,,74.7,0.242,0.424,0.24600000000000002,0.291,0.505,0.212,,,,,,,0.191,0.326,0.28600000000000003,124.0,100.0,102.0,0.319,0.91,88.7,0.0,0.0,0.267,,,,,,,,,,,,,,,
2023/09/10,1:10 PM.,TB,SEA,away,Dome.,72,621107,2B,1,0,0,0,0,0,0,0,0,1,0,.214,.313,.473,.786,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,100.0,110.0,107.0,83.0,123.0,112.0,98.0,107.0,105.0,100.0,106.0,102.0,0.319,0.062,0.261,0.263,0.051,2.53,-0.01,1.09,1.27,-0.61,92.9,88.5,86.4,92.2,79.1,0.192,0.308,0.28300000000000003,0.104,0.208,0.32,0.259,0.315,0.129,0.307,0.588,0.16699999999999998,0.185,0.339,0.349,122.0,120.0,127.0,0.044,0.79,80.0,0.6,0.6,0.5,,,,,,,,,,,,,,,
2023/09/09,4:06 PM.,TB,SEA,away,Dome.,72,650644,2B,2,0,0,0,0,0,0,0,0,1,0,.216,.315,.477,.792,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,96.0,104.0,103.0,0.185,0.123,0.372,0.244,,-0.65,1.13,1.59,0.77,,91.8,87.7,,92.4,78.1,,,,0.359,0.436,0.243,0.202,0.292,0.14400000000000002,0.261,0.406,0.23399999999999999,0.188,0.323,0.273,128.0,111.0,116.0,0.058,0.15,82.5,0.172,0.345,0.23199999999999998,,,,,,,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182
2023/09/08,6:40 PM.,TB,SEA,away,Dome.,72,671737,2B,2,0,1,1,0,0,1,1,1,0,0,.220,.320,.486,.806,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,106.0,99.0,99.0,0.001,0.449,0.248,0.167,,-0.8,-1.32,0.0,0.04,,96.1,88.9,,97.8,79.0,,,,0.277,0.559,0.191,,,,0.312,0.581,0.295,0.169,0.338,0.22399999999999998,,,,,,,,,,,,,,,,,,,0.136,0.62,89.3,0.19,0.333,0.41
2023/09/06,6:43 PM.,CIN,SEA,away,Partly Cloudy.,83,680689,2B,2,0,0,0,0,0,0,0,0,0,0,.215,.311,.477,.788,680689,lyonrichardson,Richardson,Right,Lyon Richardson,CIN,8.64,8.07,16.2,103.0,94.0,101.0,0.855,6.48,8.1,9.18,3.24,1.24,0.167,0.537,0.13,0.389,0.396,89.0,113.0,108.0,96.0,113.0,112.0,94.0,91.0,91.0,86.0,114.0,102.0,,,,0.094,0.432,,0.109,0.299,-4.86,,1.99,-2.95,2.37,96.5,,88.1,95.1,79.4,0.185,0.222,0.204,0.333,1.095,0.183,0.222,0.222,0.059000000000000004,,,,0.4,1.2,0.083,128.0,105.0,113.0,0.066,-0.58,84.5,0.25,0.25,0.25,,,,,,,,,,,,,,,
