date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff
2023/04/30,1:38 PM.,TOR,SEA,away,Roof Closed.,68,605135,DH,3,0,0,0,0,0,0,0,1,0,1,.190,.292,.238,.530,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,74.0,106.0,98.0,106.0,93.0,102.0,,,,95.0,105.0,102.0,0.093,0.153,0.136,,0.065,-3.9,-1.13,-0.72,,1.71,92.4,87.8,84.1,75.6,,0.333,0.652,0.20600000000000002,0.227,0.636,0.191,0.274,0.496,0.253,0.192,0.295,0.318,0.189,0.351,0.10099999999999999,93.0,92.0,100.0,92.0,104.0,98.0,78.0,84.0,84.0,0.393,0.033,0.126,-3.07,2.11,0.67,82.6,91.9,70.7,0.22,0.336,0.14400000000000002,0.375,0.563,0.226
2023/04/28,7:10 PM.,TOR,SEA,away,Roof Closed.,68,666201,PH,1,0,0,0,0,0,0,0,0,1,0,.222,.300,.278,.578,666201,alekmanoah,Manoah,Right,Alek Manoah,TOR,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.407,0.134,0.369,0.388,69.0,98.0,89.0,91.0,95.0,92.0,94.0,93.0,96.0,,,,,,,0.29,,0.3,,0.128,-2.16,,-1.17,,-1.01,92.8,,86.3,80.8,,0.316,0.592,0.244,0.239,0.432,0.28600000000000003,,,,,,,0.273,0.432,0.2,,,,92.0,96.0,91.0,,,,0.282,,,,0.68,,,92.6,,0.25,0.379,0.129,,,
2023/04/27,1:06 PM.,PHI,SEA,away,Cloudy.,55,621381,PH,1,0,1,0,0,0,0,0,0,0,0,.235,.316,.294,.610,621381,mattstrahm,Strahm,Left,Matt Strahm,PHI,3.29,3.16,87.2,104.0,104.0,104.0,0.739,11.09,2.16,6.98,1.13,0.7,0.242,0.397,0.155,0.356,0.476,114.0,99.0,105.0,101.0,105.0,104.0,118.0,98.0,106.0,,,,96.0,97.0,89.0,0.452,0.101,0.256,,0.004,1.08,-0.5,2.22,,-9.98,93.4,87.6,86.5,83.1,,0.186,0.371,0.311,0.133,0.256,0.34299999999999997,0.296,0.556,0.25,,,,,,,,,,95.0,111.0,106.0,,,,0.187,,,,0.27,,,93.2,,0.344,0.459,0.156,,,
2023/04/19,1:10 PM.,MIL,SEA,home,Roof Closed.,48,641778,PH,1,0,0,0,0,0,0,0,0,0,3,.188,.278,.250,.528,641778,ericlauer,Lauer,Left,Eric Lauer,MIL,6.56,7.54,46.2,97.0,82.0,90.0,0.811,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.438,0.431,59.0,99.0,91.0,79.0,101.0,93.0,89.0,105.0,100.0,,,,82.0,93.0,87.0,0.432,0.358,0.078,,0.007,-1.01,-2.06,2.07,,-17.68,90.8,86.7,82.8,82.6,,0.261,0.58,0.258,0.188,0.188,0.111,0.309,0.568,0.212,0.412,1.235,0.138,,,,89.0,91.0,90.0,,,,,,,,,0.124,,,-6.37,,,75.3,,,,,,
2023/04/18,6:40 PM.,MIL,SEA,home,Roof Closed.,46,607067,DH,1,0,1,0,0,0,1,0,1,0,0,.200,.294,.267,.561,607067,colinrea,Rea,Right,Colin Rea,MIL,4.55,4.42,124.2,104.0,89.0,99.0,0.786,7.94,2.74,7.94,1.66,1.16,0.216,0.436,0.123,0.359,0.419,,,,82.0,111.0,99.0,97.0,109.0,109.0,,,,87.0,99.0,95.0,0.193,0.265,0.109,,,2.43,-0.01,-0.31,,,93.2,86.7,,83.1,,0.135,0.27,0.264,0.226,0.377,0.36200000000000004,0.245,0.519,0.293,0.242,0.455,0.231,,,,101.0,105.0,105.0,96.0,105.0,99.0,62.0,96.0,91.0,0.299,0.056,0.079,-5.76,0.31,-0.94,86.0,92.6,78.8,0.253,0.42,0.136,0.44,0.84,0.184
2023/04/15,6:40 PM.,COL,SEA,home,Roof Closed.,51,663372,DH,1,1,0,0,0,0,0,0,1,0,1,.143,.200,.214,.414,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,93.0,90.0,96.0,96.0,100.0,93.0,95.0,106.0,105.0,,,,,,,0.278,,0.313,,0.147,-0.01,,1.27,,2.91,94.8,,84.1,88.6,,0.25,0.295,0.225,0.178,0.289,0.163,,,,0.333,0.4,0.11800000000000001,0.08,0.08,0.42100000000000004,91.0,110.0,117.0,103.0,99.0,95.0,,,,0.173,,0.089,,-4.88,-2.31,,94.3,79.7,0.475,0.675,0.15,,,
2023/04/11,6:40 PM.,CHC,SEA,away,Partly Cloudy.,76,669713,DH,4,1,1,0,0,0,0,0,0,2,3,.154,.154,.231,.385,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,4.63,5.23,89.1,101.0,101.0,102.0,0.796,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,77.0,102.0,103.0,80.0,105.0,94.0,123.0,98.0,110.0,,,,100.0,98.0,104.0,0.296,0.1,0.366,,0.049,-1.9,-0.42,1.49,,0.65,94.3,88.8,84.5,82.0,,0.327,0.636,0.165,0.14,0.231,0.376,0.308,0.654,0.2,,,,0.188,0.188,0.133,,,,92.0,96.0,91.0,,,,0.189,,,,-0.38,,,92.9,,0.273,0.545,0.145,,,
2023/04/09,1:41 PM.,CLE,SEA,away,Sunny.,52,668676,PH,1,0,0,0,0,0,1,0,0,0,1,.111,.111,.222,.333,668676,zachplesac,Plesac,Right,Zach Plesac,CLE,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.093,0.256,0.435,71.0,101.0,86.0,63.0,98.0,84.0,98.0,110.0,116.0,,,,,,,0.397,,0.408,,0.154,-3.51,,-1.04,,-5.14,91.0,,83.6,84.7,,0.5,0.676,0.132,0.275,0.431,0.247,,,,,,,0.385,0.846,0.136,126.0,83.0,92.0,,,,,,,,,0.041,,,-3.19,,,78.8,,,,,,
2023/04/03,6:41 PM.,LAA,SEA,home,Partly Cloudy.,45,672282,PH,1,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.375,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,124.0,100.0,102.0,,,,,,,0.432,,0.319,,0.054,-0.38,,0.91,,-2.03,94.3,,84.8,88.7,,0.291,0.505,0.212,0.0,0.0,0.267,,,,0.191,0.326,0.28600000000000003,0.242,0.424,0.24600000000000002,93.0,94.0,105.0,,,,,,,,,0.194,,,0.14,,,74.7,,,,,,
2023/04/02,1:10 PM.,CLE,SEA,home,Cloudy.,44,615698,PH,1,0,0,0,0,0,0,0,0,1,1,.143,.143,.286,.429,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,75.0,77.0,73.0,,,,,,,103.0,94.0,93.0,0.01,0.241,,,0.101,-2.44,-0.89,,,-2.42,93.8,88.1,86.1,,,0.333,0.667,0.2,,,,0.33,0.495,0.221,0.188,0.313,0.158,0.344,0.625,0.182,103.0,110.0,111.0,86.0,96.0,90.0,113.0,104.0,104.0,0.416,0.123,0.109,-1.13,0.18,1.28,86.8,93.7,82.0,0.277,0.428,0.16899999999999998,0.241,0.362,0.225
