date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,Stf+ KC,Loc+ KC,Pit+ KC
2023/09/21,7:08 PM.,NYY,TOR,away,Clear.,68,543037,1B,4,0,0,0,0,0,0,0,0,0,3,.256,.341,.385,.726,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,136.0,105.0,114.0,0.53,0.208,,0.071,1.66,1.69,,-0.54,96.7,89.1,89.1,,0.201,0.332,0.228,0.186,0.251,0.327,0.235,0.51,0.28600000000000003,0.215,0.269,0.244,,,,,,,,,,,,,,,,107.0,103.0,102.0,0.07,0.61,92.7,0.262,0.377,0.311,0.121,0.94,82.9,,,,114.0,103.0,113.0
2023/09/20,7:09 PM.,NYY,TOR,away,Clear.,72,650633,DH,4,0,1,0,0,0,3,0,1,2,0,.286,.375,.429,.804,650633,michaelking,King,Right,Michael King,NYY,2.75,3.48,104.2,102.0,113.0,105.0,0.725,10.92,2.75,7.57,0.86,1.2,0.243,0.442,0.169,0.288,0.403,71.0,105.0,97.0,,,,106.0,108.0,106.0,144.0,93.0,108.0,0.227,0.293,,0.145,1.4,-0.8,,3.43,94.7,87.2,81.8,,0.2,0.294,0.25,0.264,0.455,0.395,0.104,0.134,0.41,,,,109.0,104.0,104.0,0.335,,,1.26,,94.0,0.273,0.398,0.157,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:38 PM.,BOS,TOR,home,Sunny.,68,601713,PH,1,0,0,0,0,0,0,0,0,1,0,.290,.371,.452,.823,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.04,3.98,142.2,102.0,119.0,107.0,0.733,11.54,3.15,6.94,1.45,0.87,0.231,0.438,0.124,0.354,0.421,,,,117.0,102.0,106.0,125.0,101.0,109.0,124.0,107.0,112.0,0.506,0.165,0.247,,0.57,1.59,-0.09,,94.6,,85.8,79.4,0.214,0.44,0.247,0.114,0.182,0.43799999999999994,,,,0.215,0.4,0.313,,,,,0.005,-13.1,,84.8,,,,,0.25,1.0,0.16699999999999998,78.0,104.0,98.0,0.078,0.67,88.4,0.267,0.467,0.379,,,,49.0,109.0,69.0,,,
2023/09/13,7:07 PM.,TEX,TOR,home,Partly Cloudy.,65,656756,1B,1,0,0,0,0,0,0,0,0,1,0,.300,.382,.467,.849,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,0.106,,0.222,0.229,-0.68,,0.84,0.2,93.4,83.5,,80.5,0.333,0.5,0.195,,,,0.239,0.405,0.392,0.191,0.357,0.371,91.0,99.0,91.0,0.426,,,1.22,,93.3,0.255,0.374,0.141,,,,101.0,102.0,87.0,0.016,-4.4,88.2,0.417,0.667,0.31,,,,,,,,,
2023/09/12,7:07 PM.,TEX,TOR,home,Roof Closed.,68,453286,1B,3,1,1,1,0,0,0,0,0,1,0,.310,.394,.483,.877,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,0.463,0.168,0.124,0.141,0.72,-0.21,0.51,0.03,93.7,83.8,84.0,75.4,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,,,,,,,,,,,,,,,,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.33299999999999996,,,,,,,,,
2023/09/11,7:08 PM.,TEX,TOR,home,Clear.,72,641540,DH,2,1,1,0,0,0,0,0,0,1,0,.308,.400,.462,.862,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,101.0,106.0,106.0,0.032,0.234,0.016,0.156,-3.75,0.14,-3.56,-0.87,90.5,85.7,82.1,78.1,0.294,0.765,0.235,0.212,0.364,0.345,0.301,0.478,0.258,0.25,0.25,0.5,79.0,104.0,94.0,0.331,,,1.37,,91.0,0.246,0.354,0.08,,,,90.0,100.0,95.0,0.2,0.82,88.9,0.258,0.393,0.231,0.032,-0.43,77.5,,,,,,
2023/09/09,3:08 PM.,KC,TOR,home,Cloudy.,68,663704,DH,4,0,1,0,0,0,0,0,0,0,1,.292,.393,.458,.851,663704,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.63,2.97,23.1,103.0,114.0,106.0,0.764,8.87,0.77,7.71,0.77,2.31,0.313,0.469,0.203,0.344,0.478,,,,142.0,106.0,119.0,64.0,122.0,91.0,103.0,101.0,102.0,0.018,0.243,0.387,,3.38,2.66,1.52,,92.8,,86.4,82.2,,,,0.263,0.368,0.302,,,,0.194,0.25,0.353,94.0,100.0,96.0,0.349,,,-1.25,,94.1,0.286,0.679,0.064,,,,104.0,61.0,62.0,0.003,-3.87,90.4,,,,,,,,,,,,
2023/09/06,12:37 PM.,OAK,TOR,away,Sunny.,70,676664,PH,1,0,0,0,0,0,0,0,0,0,1,.300,.417,.500,.917,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,93.0,102.0,106.0,0.501,0.346,,0.151,-0.84,-0.06,,0.36,93.1,84.1,81.4,,0.256,0.478,0.217,0.21,0.395,0.28300000000000003,0.277,0.438,0.225,,,,,,,0.001,,,0.63,,92.1,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/05,6:40 PM.,OAK,TOR,away,Clear.,68,686610,PH,2,0,0,0,0,0,0,0,0,1,5,.316,.435,.526,.961,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,96.0,99.0,100.0,0.543,0.271,0.02,0.166,-0.52,-0.79,-3.62,-1.4,93.3,84.2,81.1,74.5,0.275,0.493,0.17800000000000002,0.218,0.423,0.32799999999999996,0.34,0.515,0.374,0.333,0.833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/04,1:08 PM.,OAK,TOR,away,Sunny.,69,665622,1B,4,0,1,1,0,0,1,0,0,1,3,.353,.476,.588,1.064,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,106.0,97.0,100.0,0.415,0.238,0.117,0.087,-0.35,-0.8,-0.73,1.25,96.1,87.3,85.3,79.6,0.272,0.494,0.121,0.233,0.456,0.484,0.256,0.282,0.304,0.146,0.366,0.308,117.0,96.0,96.0,0.142,,,-0.8,,95.5,0.313,0.406,0.141,,,,,,,,,,,,,,,,,,,,,
