date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/06/07,6:12 PM.,MIA,KC,away,Roof Closed.,72,665795,CF,2,0,0,0,0,0,0,0,0,1,1,.133,.188,.210,.398,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.347,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,109.0,86.0,82.0,115.0,98.0,104.0,,,,0.093,0.279,,0.081,0.234,0.314,0.19,,-0.3,-0.71,-0.37,1.29,96.2,,92.9,96.1,88.2,84.6,0.28,0.44,0.233,0.186,0.3,0.363,,,,0.211,0.366,0.191,0.24,0.38,0.38,0.222,0.444,0.306,,,,,,,,,,,,,,,,,,
2023/06/04,1:11 PM.,COL,KC,home,Sunny.,88,607536,CF,3,0,0,0,0,0,0,0,0,1,0,.136,.191,.214,.405,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,,,,68.0,105.0,90.0,67.0,103.0,88.0,65.0,99.0,96.0,,,,0.283,0.184,,0.236,,0.122,1.13,,-0.86,-0.2,,-3.3,88.8,,84.2,88.7,84.1,,0.349,0.529,0.091,0.435,0.681,0.139,,,,0.239,0.431,0.127,0.261,0.41,0.32,0.246,0.549,0.2,,,,,,,,,,,,,96.0,105.0,105.0,0.176,-1.91,80.6
2023/06/02,7:10 PM.,COL,KC,home,Partly Cloudy.,84,502624,CF,1,0,0,0,0,0,0,0,0,1,3,.140,.196,.220,.416,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,0.073,0.312,0.263,0.082,0.041,0.229,-2.17,0.63,-5.45,0.92,-4.22,2.14,93.3,89.2,83.9,92.6,80.6,77.6,0.545,0.955,0.073,0.163,0.25,0.287,0.244,0.444,0.226,0.351,0.619,0.17300000000000001,0.3,0.9,0.125,0.172,0.172,0.24600000000000002,,,,,,,,,,,,,,,,,,
2023/05/29,1:16 PM.,STL,KC,away,Partly Cloudy.,85,425794,CF,1,0,0,0,0,0,0,0,0,1,3,.141,.198,.222,.420,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,129.0,102.0,110.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,107.0,99.0,95.0,0.314,0.099,0.226,0.003,0.306,0.05,-1.48,-0.27,-3.36,-13.9,-1.5,-3.6,85.7,82.9,81.4,86.9,75.6,71.5,0.394,0.746,0.09300000000000001,0.389,0.611,0.1,0.344,0.473,0.152,0.326,0.512,0.11699999999999999,0.291,0.475,0.153,,,,,,,,,,,,,,,,,,,0.002,6.39,65.7
2023/05/28,1:11 PM.,WSH,KC,home,Sunny.,79,669022,CF,3,0,0,0,0,0,0,0,0,1,1,.143,.200,.224,.424,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,,,,101.0,97.0,102.0,,,,,0.595,,0.188,0.188,0.029,-0.27,,,0.77,-0.85,1.1,95.0,,86.5,,88.5,83.2,,,,0.188,0.25,0.382,,,,0.279,0.503,0.21600000000000003,0.257,0.416,0.379,0.213,0.415,0.375,,,,,,,,,,,,,,,,,,
2023/05/24,7:09 PM.,DET,KC,home,Cloudy.,76,571510,CF,4,1,0,0,0,0,0,0,0,2,2,.147,.206,.232,.438,571510,matthewboyd,Boyd,Left,Matthew Boyd,DET,5.45,4.24,71.0,98.0,86.0,96.0,0.717,9.25,3.17,8.75,1.39,0.9,0.222,0.394,0.153,0.32,0.379,87.0,97.0,101.0,90.0,87.0,92.0,81.0,102.0,94.0,76.0,100.0,90.0,95.0,95.0,96.0,,,,0.07,0.386,,0.284,0.074,0.186,-0.64,,2.52,0.57,-2.52,0.56,91.4,,80.2,90.8,79.6,73.8,0.207,0.207,0.244,0.245,0.367,0.389,,,,0.281,0.509,0.295,0.4,1.0,0.182,0.203,0.338,0.305,,,,,,,,,,,,,,,,,,
2023/05/23,6:42 PM.,DET,KC,home,Clear.,80,593958,CF,4,0,1,0,0,0,0,0,0,2,4,.154,.214,.242,.456,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,90.0,101.0,98.0,0.093,0.454,0.192,0.072,,0.189,0.65,0.51,1.11,3.12,,0.71,92.2,88.8,85.9,92.4,84.5,,0.165,0.228,0.135,0.233,0.292,0.317,0.2,0.471,0.19399999999999998,0.278,0.431,0.222,,,,0.089,0.178,0.395,,,,,,,,,,,,,,,,,,
2023/05/22,6:40 PM.,DET,KC,home,Partly Cloudy.,77,547179,CF,4,1,1,0,0,1,2,0,0,0,2,.149,.213,.241,.454,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,82.0,108.0,100.0,116.0,102.0,106.0,89.0,75.0,71.0,0.12,0.347,0.009,0.297,0.011,0.216,1.17,-7.35,0.73,0.34,-4.26,0.26,94.3,90.8,84.5,93.7,84.7,82.3,0.333,0.4,0.038,0.186,0.403,0.314,0.6,1.2,0.16699999999999998,0.211,0.333,0.171,0.667,1.667,0.182,0.293,0.61,0.214,,,,,,,,,,,,,,,,,,
2023/05/21,1:11 PM.,CWS,KC,away,Sunny.,75,458681,CF,3,0,0,0,0,0,0,0,0,0,2,.145,.211,.205,.416,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,104.0,105.0,99.0,0.126,0.437,0.23,0.063,0.074,0.07,-0.4,-0.35,1.21,-3.65,-2.24,-1.23,92.4,88.7,84.9,91.4,83.0,80.8,0.239,0.394,0.177,0.302,0.372,0.29600000000000004,0.273,0.512,0.267,0.255,0.52,0.316,0.208,0.453,0.354,0.286,0.446,0.308,,,,,,,,,,,,,,,,,,
2023/05/19,7:11 PM.,CWS,KC,away,Cloudy.,61,656629,CF,3,0,0,0,0,0,0,0,0,0,1,.150,.218,.213,.431,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,102.0,97.0,99.0,,,,,0.614,,0.272,0.04,0.074,-0.71,,,-1.5,-0.94,0.15,95.2,,88.7,,84.8,80.6,,,,0.133,0.3,0.33899999999999997,,,,0.244,0.462,0.264,0.158,0.474,0.19399999999999998,0.258,0.516,0.27399999999999997,,,,,,,,,,,,,,,,,,
2023/05/17,1:10 PM.,SD,KC,away,Cloudy.,62,506433,CF,3,0,0,0,0,0,0,0,0,2,1,.156,.226,.221,.447,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,93.0,95.0,99.0,0.186,0.167,0.089,0.363,0.051,0.001,-1.74,2.4,0.46,-0.68,1.37,-1.35,94.7,90.9,82.3,94.3,84.0,72.3,0.319,0.418,0.157,,,,0.2,0.32,0.196,0.253,0.538,0.159,0.13,0.203,0.391,0.432,0.703,0.244,95.0,104.0,100.0,0.077,1.21,89.2,0.167,0.217,0.4,,,,105.0,111.0,112.0,0.066,3.06,79.3
2023/05/16,6:41 PM.,SD,KC,away,Clear.,65,607625,CF,0,0,0,0,0,0,0,0,0,0,0,.162,.235,.230,.465,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,0.199,0.318,,0.111,0.313,0.059,0.36,,1.87,-0.6,0.26,-2.89,93.4,,86.3,93.2,85.2,79.6,0.208,0.36,0.08900000000000001,0.303,0.576,0.34299999999999997,,,,0.246,0.464,0.214,0.287,0.384,0.265,0.25,0.417,0.28600000000000003,,,,,,,,,,0.0,0.0,0.226,,,,,,
2023/05/15,6:42 PM.,SD,KC,away,Partly Cloudy.,63,608379,CF,3,0,0,0,0,0,0,0,0,2,1,.162,.235,.230,.465,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,,,,96.0,100.0,96.0,0.133,0.288,0.124,,0.11,0.345,1.23,-2.13,-0.36,,1.04,1.06,92.0,86.9,81.6,91.9,,74.0,0.25,0.45,0.111,0.207,0.346,0.359,0.364,0.582,0.165,0.188,0.323,0.16699999999999998,0.172,0.31,0.27,,,,,,,,,,,,,,,,,,,,,
2023/05/13,6:10 PM.,MIL,KC,away,Roof Closed.,68,605288,CF,4,0,0,0,0,0,0,0,0,1,3,.169,.244,.239,.483,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,,,,0.471,0.238,,0.166,0.085,0.04,0.29,,0.46,-0.89,-1.08,-2.07,93.4,,84.3,92.1,82.3,79.4,0.296,0.396,0.129,0.294,0.471,0.2,,,,0.227,0.34,0.237,0.269,0.538,0.127,0.258,0.484,0.284,,,,,,,,,,,,,,,,,,
