date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/29,7:20 PM.,WSH,ATL,home,Partly Cloudy.,78,592866,1B,3,0,0,0,0,0,0,1,0,2,4,.053,.053,.053,.106,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,94.0,114.0,103.0,0.433,0.182,0.069,0.171,-0.77,-1.7,-1.93,-2.25,89.7,83.3,80.9,76.7,0.283,0.563,0.16699999999999998,0.313,0.5,0.281,0.314,0.629,0.2,0.315,0.483,0.19899999999999998,,,,,,,,,,,,,,,,91.0,100.0,95.0,0.146,-0.45,88.2,0.325,0.458,0.188,,,,,,
2023/09/24,1:35 PM.,WSH,ATL,away,Rain.,67,671131,3B,3,0,0,0,0,0,0,0,0,1,1,.063,.063,.063,.126,671131,jacksonrutledge,Rutledge,Right,Jackson Rutledge,WSN,6.75,5.81,20.0,96.0,99.0,95.0,0.811,5.4,2.7,10.8,1.8,0.51,0.221,0.412,0.147,0.338,0.451,114.0,98.0,107.0,87.0,56.0,60.0,95.0,96.0,94.0,111.0,102.0,101.0,0.457,0.217,0.058,0.127,-0.11,2.09,-9.52,-10.41,95.8,89.0,85.2,80.2,0.258,0.452,0.213,0.133,0.133,0.33299999999999996,0.333,1.333,0.0,0.5,0.85,0.067,,,,,,,,,,,,,,,,87.0,101.0,96.0,0.142,2.03,94.8,0.3,0.4,0.25,,,,,,
2023/09/20,12:21 PM.,PHI,ATL,home,Partly Cloudy.,75,605400,PR,0,0,0,0,0,0,0,2,0,0,0,.077,.077,.077,.154,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,,,,0.295,,,0.126,-0.03,,,0.14,92.7,85.9,,,0.246,0.503,0.217,,,,0.221,0.398,0.33299999999999996,0.22,0.319,0.319,,,,,,,111.0,110.0,105.0,0.075,0.4,86.3,0.246,0.508,0.301,100.0,107.0,101.0,0.188,0.46,91.8,0.279,0.416,0.106,118.0,105.0,113.0,0.316,0.47,79.4
2023/09/17,1:41 PM.,MIA,ATL,away,Roof Closed.,72,666200,3B,1,0,0,0,0,0,0,0,0,0,1,.077,.077,.077,.154,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,,,,106.0,103.0,100.0,111.0,97.0,105.0,0.457,0.289,,0.21,0.93,-0.26,,-0.09,96.7,88.3,85.1,,0.232,0.384,0.19399999999999998,0.233,0.389,0.518,,,,0.248,0.429,0.361,,,,,,,68.0,87.0,76.0,0.004,0.74,91.4,,,,82.0,100.0,97.0,0.04,-0.81,96.5,0.314,0.686,0.102,,,,,,
2023/09/11,6:43 PM.,PHI,ATL,away,Cloudy.,76,547179,LF,1,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,.166,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.246,0.417,0.097,0.352,0.447,95.0,101.0,102.0,103.0,112.0,110.0,98.0,100.0,97.0,116.0,102.0,106.0,0.347,0.297,0.011,0.216,1.17,0.34,-4.26,0.26,94.3,84.5,84.7,82.3,0.211,0.333,0.171,0.293,0.61,0.214,0.667,1.667,0.182,0.186,0.403,0.314,,,,,,,89.0,75.0,71.0,0.009,-7.35,90.8,0.6,1.2,0.16699999999999998,82.0,108.0,100.0,0.12,0.73,93.7,0.333,0.4,0.038,,,,,,
2023/08/21,7:20 PM.,NYM,ATL,home,Partly Cloudy.,92,656849,PH,1,0,0,0,0,0,0,0,0,1,0,.091,.091,.091,.182,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,105.0,99.0,102.0,0.273,0.197,0.088,0.189,-0.83,-2.58,2.63,-1.35,92.7,85.3,85.3,78.6,0.287,0.425,0.281,0.268,0.472,0.39399999999999996,0.2,0.2,0.365,0.325,0.55,0.309,,,,,,,,,,,,,,,,97.0,97.0,95.0,0.253,0.66,91.5,0.314,0.486,0.165,,,,,,
2023/08/19,7:22 PM.,SF,ATL,home,Clear.,87,657277,DH,0,1,0,0,0,0,0,0,0,0,0,.100,.100,.100,.200,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,,,,88.0,119.0,100.0,91.0,100.0,111.0,0.037,0.212,,0.416,-1.37,0.11,,2.18,92.6,87.5,84.3,,0.226,0.452,0.3,0.208,0.369,0.28600000000000003,,,,0.225,0.309,0.228,,,,,,,,,,,,,,,,105.0,103.0,98.0,0.336,0.31,92.3,0.313,0.481,0.10400000000000001,,,,,,
2023/04/21,1:20 PM.,CHC,LAD,away,Partly Cloudy.,53,592767,P,3,0,0,0,0,0,0,0,0,2,0,.100,.100,.100,.200,592767,drewsmyly,Smyly,Left,Drew Smyly,CHC,5.0,4.13,142.1,98.0,92.0,95.0,0.755,8.92,3.54,9.3,1.64,0.79,0.229,0.428,0.182,0.31,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,0.399,0.36,,,,,,,,,,86.0,94.0,82.0,0.117,-0.51,88.6,0.293,0.463,0.21600000000000003,77.0,94.0,88.0,0.389,-1.32,91.9,0.314,0.6,0.17300000000000001,105.0,102.0,103.0,0.494,-0.09,78.6
2023/04/20,7:44 PM.,CHC,LAD,away,Cloudy.,70,665871,SS,2,0,1,0,0,0,0,1,0,1,1,.143,.143,.143,.286,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,58.0,94.0,87.0,92.0,89.0,86.0,82.0,97.0,90.0,103.0,100.0,103.0,0.194,0.135,0.051,0.04,-0.9,0.28,-3.14,-3.27,93.1,85.0,80.6,76.5,0.313,0.484,0.193,0.163,0.265,0.457,0.25,0.55,0.258,0.357,0.571,0.292,,,,,,,103.0,99.0,95.0,0.274,0.48,89.1,0.218,0.418,0.18,87.0,103.0,93.0,0.306,2.18,92.7,0.214,0.324,0.142,,,,,,
2023/04/19,12:11 PM.,NYM,LAD,home,Sunny.,68,453286,SS,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,0.463,0.168,0.124,0.141,0.72,-0.21,0.51,0.03,93.7,83.8,84.0,75.4,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.187,0.373,0.326,0.207,0.283,0.275,,,,,,,98.0,108.0,99.0,0.104,2.12,88.4,0.135,0.243,0.33299999999999996,,,,,,,,,,,,,,,
