date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/27,6:43 PM.,SF,SD,away,Partly Cloudy.,62,640455,3B,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.531,.781,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,97.0,94.0,,,,90.0,105.0,95.0,92.0,95.0,98.0,,,,0.562,0.0,0.26,,0.17,0.91,-5.8,-0.93,,1.06,93.6,90.3,86.6,82.3,,0.235,0.39,0.233,,,,0.224,0.342,0.183,0.122,0.143,0.36700000000000005,,,,121.0,109.0,108.0,0.008,-6.19,94.0,0.4,0.8,0.25,,,,,,,,,
2023/09/24,1:12 PM.,STL,SD,home,Sunny.,72,680723,3B,5,1,2,1,1,0,2,0,0,0,3,.250,.250,.531,.781,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,,,,81.0,105.0,98.0,97.0,88.0,89.0,,,,0.443,,0.237,,,-2.41,,-2.48,,,90.6,,,79.4,,0.333,0.633,0.212,,,,,,,0.289,0.632,0.172,,,,64.0,98.0,87.0,0.241,-2.11,87.4,0.351,0.568,0.091,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,0.6,0.26899999999999996
2023/09/23,5:41 PM.,STL,SD,home,Clear.,70,663765,3B,1,1,0,0,0,0,0,0,0,1,2,.222,.222,.444,.666,663765,jakewoodford,Woodford,Right,Jake Woodford,STL,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.167,0.429,0.119,0.363,0.433,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,104.0,101.0,105.0,94.0,107.0,104.0,0.068,0.056,0.232,0.101,0.041,-10.74,-2.62,-0.99,-3.61,-0.23,92.4,89.8,86.2,81.7,76.3,0.571,1.357,0.29600000000000004,0.5,0.625,0.16699999999999998,0.167,0.167,0.182,0.241,0.448,0.18600000000000003,0.455,0.727,0.2,87.0,104.0,98.0,0.502,-0.6,92.0,0.299,0.536,0.11,,,,,,,,,
2023/09/20,1:11 PM.,COL,SD,home,Partly Cloudy.,72,502624,3B,3,0,1,0,0,0,0,0,0,1,2,.231,.231,.462,.693,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,104.0,114.0,115.0,108.0,98.0,97.0,0.312,0.263,0.082,0.041,0.229,-2.17,0.63,0.92,-4.22,2.14,93.3,89.2,83.9,80.6,77.6,0.351,0.619,0.17300000000000001,0.244,0.444,0.226,0.163,0.25,0.287,0.172,0.172,0.24600000000000002,0.3,0.9,0.125,70.0,96.0,82.0,0.073,-5.45,92.6,0.545,0.955,0.073,,,,,,,,,
2023/09/19,6:40 PM.,COL,SD,home,Partly Cloudy.,69,663372,3B,4,0,0,0,0,0,0,0,0,4,2,.217,.217,.478,.695,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,,,,0.278,,0.313,0.089,0.147,-0.01,,1.27,-2.31,2.91,94.8,,84.1,88.6,79.7,0.25,0.295,0.225,,,,0.08,0.08,0.42100000000000004,0.178,0.289,0.163,0.333,0.4,0.11800000000000001,103.0,99.0,95.0,0.173,-4.88,94.3,0.475,0.675,0.15,,,,,,,,,
2023/09/18,6:42 PM.,COL,SD,home,Clear.,70,621389,3B,4,2,2,0,0,1,2,0,0,0,0,.263,.263,.579,.842,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,66.0,98.0,98.0,,,,,,,170.0,99.0,85.0,,0.165,,0.064,0.221,,-2.26,,-0.44,-1.35,,83.7,79.9,,78.9,,,,0.348,0.652,0.184,0.371,0.486,0.207,,,,0.211,0.211,0.257,69.0,104.0,84.0,0.55,-1.22,89.3,0.322,0.561,0.102,,,,,,,,,
2023/09/17,1:08 PM.,OAK,SD,away,Partly Cloudy.,70,671212,3B,4,0,1,0,0,0,1,0,0,2,3,.200,.200,.400,.600,671212,joeboyle,Boyle,Right,Joe Boyle,OAK,1.69,2.25,16.0,100.0,132.0,106.0,0.811,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,,,,141.0,92.0,103.0,120.0,98.0,103.0,126.0,115.0,127.0,,,,0.583,,0.321,0.096,,1.62,,1.53,3.62,,97.8,,,88.0,81.5,0.156,0.313,0.21600000000000003,,,,,,,0.158,0.211,0.32299999999999995,0.0,0.0,0.16699999999999998,,,,,,,,,,,,,,,,,,
2023/09/13,7:10 PM.,LAD,SD,away,Clear.,71,686752,3B,4,0,1,0,0,0,0,0,0,1,1,.182,.182,.455,.637,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,LAD,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.274,0.416,0.177,0.301,0.424,87.0,115.0,113.0,,,,100.0,100.0,97.0,115.0,96.0,101.0,,,,0.506,,0.147,,0.347,1.83,,0.98,,0.55,94.0,,86.3,88.8,,0.156,0.344,0.22399999999999998,,,,0.203,0.391,0.326,0.174,0.348,0.326,,,,,,,,,,,,,,,,,,,,,
2023/09/12,7:10 PM.,LAD,SD,away,Clear.,73,458681,3B,3,0,0,0,0,0,0,0,0,1,0,.143,.143,.571,.714,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,97.0,98.0,106.0,104.0,105.0,99.0,0.437,0.23,0.063,0.074,0.07,-0.4,-0.35,-3.65,-2.24,-1.23,92.4,88.7,84.9,83.0,80.8,0.255,0.52,0.316,0.273,0.512,0.267,0.302,0.372,0.29600000000000004,0.286,0.446,0.308,0.208,0.453,0.354,93.0,95.0,87.0,0.126,1.21,91.4,0.239,0.394,0.177,,,,,,,,,
2023/09/10,1:10 PM.,HOU,SD,away,Roof Closed.,73,641585,2B,4,1,1,0,0,1,1,0,0,1,3,.250,.250,1.000,1.250,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,116.0,98.0,100.0,101.0,97.0,98.0,109.0,99.0,105.0,116.0,108.0,103.0,0.431,0.189,0.091,0.137,0.152,-0.26,0.33,-2.09,0.16,2.51,93.0,86.8,81.8,80.1,76.0,0.308,0.481,0.106,0.317,0.446,0.22,0.183,0.237,0.308,0.25,0.533,0.298,0.145,0.273,0.42200000000000004,,,,,,,,,,,,,,,,,,
