date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,FO%,wFO/C,vFO
2023/09/29,7:10 PM.,TEX,SEA,home,Roof Closed.,55,543135,LF,0,0,0,0,0,0,0,0,0,0,0,.224,.263,.406,.669,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,86.0,98.0,92.0,,0.372,0.176,0.04,0.135,,0.41,1.33,,-3.23,0.86,,95.1,90.6,,,83.9,76.0,0.234,0.423,0.183,,,,0.238,0.417,0.198,0.303,0.606,0.13699999999999998,0.2,0.22,0.41700000000000004,,,,,,,125.0,101.0,106.0,0.276,1.26,87.9,0.196,0.314,0.355,,,,,,,,,
2023/09/26,7:07 PM.,HOU,SEA,home,Roof Closed.,57,664299,DH,1,0,0,0,0,0,0,0,0,1,0,.224,.263,.406,.669,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,0.3,,0.041,0.44,,,-0.09,,-1.29,92.7,,83.7,,79.5,,0.236,0.455,0.265,,,,,,,0.211,0.367,0.287,0.268,0.366,0.195,0.28,0.36,0.392,,,,,,,,,,,,,0.075,-1.17,76.6,91.0,99.0,102.0,,,
2023/09/25,6:40 PM.,HOU,SEA,home,Roof Closed.,58,434378,LF,3,0,1,0,0,0,0,0,0,0,0,.225,.264,.408,.672,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,102.0,107.0,113.0,105.0,103.0,106.0,97.0,100.0,100.0,,,,127.0,112.0,111.0,,,,,0.5,,0.253,0.2,0.047,0.89,,,0.97,0.43,-0.23,94.3,,85.2,,86.9,78.2,0.235,0.417,0.18100000000000002,,,,,,,0.201,0.325,0.292,0.241,0.328,0.244,0.214,0.286,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,
2023/09/24,1:37 PM.,TEX,SEA,away,Roof Closed.,74,543135,DH,2,0,0,0,0,0,0,0,0,0,3,.223,.263,.410,.673,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,86.0,98.0,92.0,,0.372,0.176,0.04,0.135,,0.41,1.33,,-3.23,0.86,,95.1,90.6,,,83.9,76.0,0.234,0.423,0.183,,,,0.238,0.417,0.198,0.303,0.606,0.13699999999999998,0.2,0.22,0.41700000000000004,,,,,,,125.0,101.0,106.0,0.276,1.26,87.9,0.196,0.314,0.355,,,,,,,,,
2023/09/22,7:08 PM.,TEX,SEA,away,Roof Closed.,74,641540,DH,3,0,1,0,0,0,0,0,0,0,1,.226,.266,.415,.681,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,65.0,102.0,92.0,78.0,82.0,84.0,71.0,96.0,85.0,79.0,104.0,94.0,101.0,106.0,106.0,90.0,100.0,95.0,0.331,0.032,0.2,0.234,0.016,0.156,-3.75,0.82,1.37,0.14,-3.56,-0.87,90.5,88.9,85.7,91.0,82.1,78.1,0.294,0.765,0.235,0.246,0.354,0.08,0.258,0.393,0.231,0.212,0.364,0.345,0.25,0.25,0.5,0.301,0.478,0.258,,,,,,,,,,,,,0.032,-0.43,77.5,,,,,,
2023/09/20,12:37 PM.,OAK,SEA,away,Sunny.,69,683155,LF,3,1,2,1,0,1,4,0,0,0,0,.224,.265,.416,.681,683155,joeyestes,Estes,Right,Joey Estes,OAK,7.2,7.82,10.0,101.0,89.0,96.0,0.713,6.3,1.8,10.8,3.6,0.48,0.343,0.429,0.2,0.343,0.43,72.0,86.0,83.0,,,,87.0,113.0,102.0,,,,101.0,98.0,101.0,95.0,72.0,78.0,,0.467,0.085,0.267,,0.182,-2.73,-13.02,,0.14,,-0.66,93.1,85.6,86.2,,79.4,,0.35,0.75,0.25,,,,,,,0.2,0.2,0.5,,,,0.25,0.625,0.267,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:10 PM.,LAD,SEA,home,Partly Cloudy.,64,571946,LF,1,0,0,0,0,0,0,0,0,0,2,.215,.257,.386,.643,571946,shelbymiller,"Miller, S",Right,Shelby Miller,LAD,1.71,3.25,42.0,99.0,111.0,101.0,0.775,9.0,4.07,4.07,0.64,0.84,0.17,0.46,0.17,0.31,0.454,,,,,,,106.0,100.0,100.0,,,,109.0,100.0,103.0,,,,,0.576,,0.161,,,3.2,,,-0.15,,,93.5,,,,82.1,,0.11,0.178,0.258,,,,,,,0.208,0.417,0.191,,,,,,,,,,121.0,96.0,102.0,0.262,0.51,85.6,0.136,0.25,0.307,,,,,,,,,
2023/09/16,6:41 PM.,LAD,SEA,home,Clear.,72,477132,LF,1,0,0,0,0,0,0,0,0,1,1,.217,.259,.389,.648,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,0.369,,0.434,0.175,0.017,0.23,,14.84,2.06,0.13,-0.46,90.7,,84.6,90.9,86.5,73.4,0.281,0.451,0.09699999999999999,0.0,0.0,0.0,,,,0.167,0.338,0.36200000000000004,0.212,0.338,0.33799999999999997,0.2,0.2,0.6,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,,,,,,,,,
2023/09/15,7:11 PM.,LAD,SEA,home,Clear.,77,676272,DH,2,0,0,0,0,0,0,0,0,1,1,.218,.261,.391,.652,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,,,,0.192,0.289,,0.174,0.185,0.16,1.2,,1.75,-1.0,1.25,0.6,99.0,,88.2,98.8,89.7,80.6,0.258,0.367,0.20600000000000002,0.258,0.382,0.17800000000000002,,,,0.5,0.75,0.25,0.184,0.303,0.36,0.133,0.307,0.39899999999999997,,,,,,,,,,,,,,,,,,,,,
2023/09/13,1:11 PM.,LAA,SEA,home,Partly Cloudy.,70,681806,LF,3,0,0,0,0,0,0,0,0,0,0,.221,.264,.396,.660,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,88.0,108.0,99.0,,,,112.0,99.0,99.0,,,,120.0,105.0,115.0,109.0,97.0,99.0,,0.389,0.287,0.26,,0.064,-1.07,1.1,,4.53,,0.16,94.0,89.4,87.7,,83.8,,0.295,0.568,0.244,,,,0.244,0.439,0.258,0.067,0.089,0.258,,,,0.167,0.25,0.444,,,,,,,,,,,,,,,,,,,,,
