date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/07/09,1:13 PM.,BAL,MIN,home,Sunny.,80,502043,3B,1,0,1,0,0,0,0,0,0,0,0,.211,.263,.303,.566,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,0.261,0.134,0.166,0.184,0.084,,0.17,-0.69,-1.02,-0.08,2.01,0.01,,-0.29,92.1,89.8,85.5,91.9,81.6,79.5,,0.287,0.55,0.156,0.147,0.228,0.47100000000000003,0.288,0.453,0.29100000000000004,0.289,0.459,0.11,0.279,0.419,0.40399999999999997,0.345,0.552,0.154,,,,,,,,,,,,
2023/07/07,7:11 PM.,BAL,MIN,home,Partly Cloudy.,73,608344,3B,2,0,0,0,0,0,0,0,0,0,0,.206,.258,.298,.556,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,0.207,0.28,0.159,,0.143,,0.211,0.22,2.29,0.95,,-0.89,,-2.77,92.2,85.5,84.2,91.9,,77.2,,0.247,0.459,0.204,,,,0.324,0.568,0.168,0.28,0.36,0.195,0.229,0.343,0.23,0.18,0.279,0.26,,,,,,,,,,,,
2023/07/04,1:11 PM.,KC,MIN,home,Overcast.,79,425844,3B,3,0,0,0,0,0,0,0,0,0,2,.209,.262,.302,.564,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.0,0.166,0.25,-0.94,-0.92,1.12,-2.99,-3.64,0.06,89.5,85.2,86.5,89.8,79.2,72.5,57.9,0.276,0.472,0.159,0.214,0.282,0.231,0.241,0.37,0.207,0.333,0.609,0.081,0.386,0.729,0.155,0.32,0.5,0.18600000000000003,,,,,,,,,,,,
2023/07/03,7:12 PM.,KC,MIN,home,Partly Cloudy.,92,680735,3B,2,0,0,0,0,0,0,0,0,1,2,.213,.267,.309,.576,680735,austincox,Cox,Left,Austin Cox,KCR,4.54,4.93,35.2,101.0,86.0,98.0,0.759,8.33,4.29,7.07,0.5,0.92,0.268,0.351,0.103,0.371,0.42,80.0,99.0,95.0,87.0,104.0,109.0,75.0,98.0,93.0,,,,101.0,113.0,111.0,118.0,105.0,104.0,,0.486,0.192,0.017,0.152,,0.152,0.04,1.14,,0.86,1.57,,-0.04,91.5,86.7,82.9,,83.4,77.8,,0.246,0.377,0.29,0.333,0.333,0.0,0.176,0.176,0.19399999999999998,,,,0.211,0.368,0.212,0.185,0.333,0.368,,,,,,,,,,,,
2023/07/02,12:06 PM.,BAL,MIN,away,Cloudy.,84,608344,3B,2,0,0,0,0,0,0,0,0,0,1,.216,.271,.313,.584,608344,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.42,5.59,77.1,104.0,80.0,97.0,0.811,7.91,2.44,9.08,1.28,1.11,0.267,0.379,0.163,0.321,0.447,75.0,106.0,101.0,92.0,94.0,91.0,68.0,110.0,99.0,75.0,103.0,97.0,,,,99.0,99.0,94.0,0.207,0.28,0.159,,0.143,,0.211,0.22,2.29,0.95,,-0.89,,-2.77,92.2,85.5,84.2,91.9,,77.2,,0.247,0.459,0.204,,,,0.324,0.568,0.168,0.28,0.36,0.195,0.229,0.343,0.23,0.18,0.279,0.26,,,,,,,,,,,,
2023/05/09,6:40 PM.,SD,MIN,home,Overcast.,66,608379,3B,4,0,1,1,0,0,1,0,0,1,2,.220,.275,.318,.593,608379,michaelwacha,Wacha,Right,Michael Wacha,SDP,3.22,4.27,134.1,102.0,89.0,101.0,0.775,8.31,2.88,7.57,1.0,0.8,0.17,0.488,0.154,0.3,0.43,101.0,106.0,110.0,86.0,92.0,94.0,73.0,104.0,94.0,84.0,103.0,103.0,,,,96.0,100.0,96.0,0.133,0.288,0.124,,0.11,,0.345,1.23,-2.13,-0.36,,1.04,,1.06,92.0,86.9,81.6,91.9,,74.0,,0.188,0.323,0.16699999999999998,,,,0.207,0.346,0.359,0.25,0.45,0.111,0.172,0.31,0.27,0.364,0.582,0.165,,,,,,,,,,,,
2023/05/07,1:40 PM.,CLE,MIN,away,Cloudy.,68,615698,3B,3,0,0,0,0,0,0,0,0,1,5,.219,.275,.313,.588,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,86.0,96.0,90.0,,,,103.0,94.0,93.0,0.416,0.01,0.241,,0.109,,0.101,-2.44,-0.89,0.18,,1.28,,-2.42,93.8,88.1,86.1,93.7,,82.0,,0.333,0.667,0.2,,,,0.344,0.625,0.182,0.277,0.428,0.16899999999999998,0.188,0.313,0.158,0.33,0.495,0.221,,,,113.0,104.0,104.0,0.123,-1.13,86.8,0.241,0.362,0.225
2023/05/06,6:10 PM.,CLE,MIN,away,Cloudy.,62,671106,3B,4,1,2,0,0,0,0,0,0,0,0,.224,.281,.320,.601,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,,,,82.0,101.0,95.0,,,,108.0,98.0,101.0,110.0,97.0,98.0,,0.451,0.089,0.247,,,0.213,-0.12,-2.1,,-0.74,,,1.49,91.4,86.3,82.7,,79.3,,,0.257,0.482,0.177,0.3,0.3,0.368,0.191,0.223,0.33,,,,,,,0.462,0.692,0.17,,,,,,,,,,,,
2023/05/05,7:09 PM.,CLE,MIN,away,Clear.,59,685410,3B,3,0,0,0,0,0,0,0,0,0,1,.215,.275,.314,.589,685410,peytonbattenfield,Battenfield,Right,Peyton Battenfield,CLE,5.19,6.16,34.2,100.0,88.0,94.0,0.756,7.01,3.12,8.83,1.82,1.05,0.168,0.495,0.056,0.439,0.39,72.0,88.0,86.0,72.0,97.0,98.0,73.0,94.0,89.0,,,,,,,109.0,109.0,98.0,,0.446,0.408,,0.107,,0.038,-2.36,2.7,,,0.03,,-4.8,90.8,87.3,84.7,,,79.7,,0.323,0.645,0.129,,,,0.4,0.8,0.33299999999999996,,,,0.4,0.4,0.429,0.164,0.279,0.318,,,,,,,,,,,,
2023/05/04,1:11 PM.,CWS,MIN,away,Sunny.,63,608337,3B,5,0,0,0,0,0,0,0,0,2,0,.220,.281,.322,.603,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,,0.283,-0.85,,,-0.25,-3.72,,-0.2,93.1,,80.9,,84.0,77.9,,0.262,0.546,0.2,0.236,0.438,0.345,0.209,0.442,0.35200000000000004,,,,0.5,0.5,0.2,,,,,,,,,,,,,,,
