date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff
2023/08/11,7:11 PM.,SEA,BAL,away,Clear.,75,622491,LF,1,0,0,0,0,0,0,0,2,0,1,.115,.286,.148,.434,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,0.179,0.444,,0.221,,0.156,1.31,,0.6,-0.12,,-1.6,96.3,,88.3,95.9,85.7,,0.165,0.384,0.33,0.239,0.337,0.136,,,,0.28,0.42,0.325,0.234,0.455,0.37799999999999995,,,,,,,,,,,,,,,,,,,,,
2023/08/09,7:07 PM.,HOU,BAL,home,Clear.,85,664299,CF,4,0,0,0,0,0,0,0,0,2,0,.117,.270,.150,.420,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,78.0,101.0,98.0,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,0.584,,0.3,,0.041,0.44,,,-0.09,,-1.29,92.7,,83.7,,79.5,,0.236,0.455,0.265,,,,,,,0.28,0.36,0.392,0.211,0.367,0.287,0.268,0.366,0.195,0.075,-1.17,76.6,,,,,,,,,,91.0,99.0,102.0,,,
2023/08/06,1:36 PM.,NYM,BAL,home,Cloudy.,88,500779,LF,0,0,0,0,0,0,0,0,0,0,0,.125,.286,.161,.447,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,,,,0.323,0.242,,,0.253,0.181,-2.28,,3.29,,1.45,-1.18,90.2,,85.8,90.4,,77.2,0.391,0.594,0.217,0.196,0.25,0.135,,,,0.276,0.379,0.29600000000000004,,,,0.214,0.268,0.26899999999999996,,,,,,,,,,,,,,,,0.211,0.368,0.207
2023/08/05,7:06 PM.,NYM,BAL,home,Cloudy.,85,656731,LF,3,2,1,0,0,0,0,1,1,1,1,.125,.286,.161,.447,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,,,,96.0,103.0,106.0,,,,,0.557,,0.206,0.086,0.149,-0.4,,,-1.04,-0.05,-0.09,94.9,,87.9,,84.4,77.2,0.314,0.494,0.184,,,,,,,0.264,0.396,0.24100000000000002,0.264,0.445,0.311,0.167,0.167,0.354,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,,,,
2023/08/04,7:06 PM.,NYM,BAL,home,Cloudy.,80,656849,RF,1,2,0,0,0,0,0,0,1,1,1,.113,.273,.151,.424,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,0.253,0.273,,0.197,0.088,0.189,-0.83,,0.66,-2.58,2.63,-1.35,92.7,,85.3,91.5,85.3,78.6,0.287,0.425,0.281,0.314,0.486,0.165,,,,0.325,0.55,0.309,0.268,0.472,0.39399999999999996,0.2,0.2,0.365,,,,,,,,,,,,,,,,,,
2023/08/03,3:09 PM.,TOR,BAL,away,Sunny.,82,592332,RF,1,1,1,1,0,0,0,0,0,0,0,.115,.266,.154,.420,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.108,,,1.13,,,-0.97,,,94.7,,,,83.6,,0.243,0.409,0.172,,,,,,,,,,0.348,0.565,0.353,,,,,,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,0.307,0.43200000000000005,,,,,,
2023/08/01,7:09 PM.,TOR,BAL,away,Roof Closed.,68,547943,RF,0,0,0,0,0,0,0,0,0,0,0,.098,.254,.118,.372,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,92.0,107.0,97.0,0.095,0.317,0.189,,0.171,0.228,-0.51,1.27,3.34,,-1.45,-2.1,88.6,85.1,78.1,87.7,,68.9,0.265,0.633,0.11900000000000001,0.133,0.133,0.091,0.238,0.357,0.207,0.276,0.448,0.25,,,,0.286,0.429,0.35200000000000004,,,,,,,,,,,,,,,,,,
2023/07/31,7:09 PM.,TOR,BAL,away,Clear.,76,605135,CF,4,0,0,0,0,0,0,0,0,3,0,.098,.254,.118,.372,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,0.393,0.093,0.153,0.136,0.126,0.065,-3.9,-1.13,2.11,-0.72,0.67,1.71,92.4,87.8,84.1,91.9,75.6,70.7,0.333,0.652,0.20600000000000002,0.22,0.336,0.14400000000000002,0.274,0.496,0.253,0.189,0.351,0.10099999999999999,0.227,0.636,0.191,0.192,0.295,0.318,,,,78.0,84.0,84.0,0.033,-3.07,82.6,0.375,0.563,0.226,,,,,,
2023/07/29,7:16 PM.,NYY,BAL,home,Partly Cloudy.,82,657376,CF,3,0,0,0,0,0,0,0,0,1,1,.106,.271,.128,.399,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,0.241,,0.279,0.274,,0.015,,0.27,-0.2,-0.59,,-7.35,,91.3,89.4,93.4,86.0,,,,,0.288,0.447,0.11,0.28,0.457,0.222,0.5,0.5,0.091,0.276,0.559,0.263,0.198,0.314,0.345,0.191,-0.46,83.7,,,,,,,,,,146.0,100.0,118.0,,,
2023/07/28,9:37 PM.,NYY,BAL,home,Overcast.,84,543037,CF,3,0,0,0,0,0,0,0,0,3,1,.114,.286,.136,.422,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,,,,125.0,104.0,108.0,,,,136.0,105.0,114.0,107.0,103.0,102.0,,0.53,0.07,0.208,,0.071,1.66,0.61,,1.69,,-0.54,96.7,92.7,89.1,,89.1,,0.201,0.332,0.228,,,,0.262,0.377,0.311,0.235,0.51,0.28600000000000003,0.186,0.251,0.327,0.215,0.269,0.244,0.121,0.94,82.9,,,,,,,,,,114.0,103.0,113.0,,,
2023/07/25,6:44 PM.,PHI,BAL,away,Partly Cloudy.,72,592836,RF,2,0,0,0,0,0,0,0,2,2,2,.122,.302,.146,.448,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,99.0,103.0,100.0,0.233,0.176,0.176,0.026,0.057,,-0.82,-0.44,0.53,-1.43,-1.07,,92.8,87.1,,92.4,82.5,74.8,0.257,0.541,0.254,0.273,0.429,0.1,0.284,0.441,0.158,,,,0.158,0.632,0.342,0.212,0.485,0.36,,,,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.295,0.244,,,,,,
2023/07/24,6:43 PM.,PHI,BAL,away,Partly Cloudy.,85,650911,CF,3,0,1,1,0,0,1,0,0,1,0,.128,.286,.154,.440,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,71.0,104.0,97.0,123.0,100.0,100.0,,,,0.462,,,0.211,,0.327,,,0.65,0.2,,1.1,,,81.8,92.1,82.7,,,,,0.297,0.523,0.107,,,,0.148,0.274,0.43,0.25,0.456,0.297,,,,,,,,,,,,,,,,,,,,,
2023/07/23,1:42 PM.,TB,BAL,away,Dome.,72,671737,RF,4,1,0,0,0,0,0,0,0,1,0,.111,.283,.111,.394,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,,,,106.0,99.0,99.0,0.001,0.449,0.248,,0.167,,-0.8,-1.32,0.0,,0.04,,96.1,88.9,,97.8,,79.0,0.277,0.559,0.191,,,,0.312,0.581,0.295,,,,,,,0.169,0.338,0.22399999999999998,,,,,,,0.136,0.62,89.3,0.19,0.333,0.41,,,,,,
