date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023/08/19,5:40 PM.,SD,AZ,away,Overcast.,72,506433,DH,5,0,0,0,0,0,0,0,0,4,5,.157,.204,.255,.459,506433,yudarvish,Darvish,Right,Yu Darvish,SDP,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.236,0.39,0.181,0.306,0.453,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,93.0,95.0,99.0,95.0,104.0,100.0,0.186,0.167,0.089,0.077,0.051,0.001,-1.74,2.4,1.21,0.46,1.37,-1.35,94.7,90.9,89.2,82.3,94.3,72.3,0.319,0.418,0.157,0.2,0.32,0.196,0.167,0.217,0.4,0.13,0.203,0.391,,,,0.253,0.538,0.159,,,,125.0,98.0,108.0,0.363,-0.68,84.0,0.432,0.703,0.244,0.066,3.06,79.3,105.0,111.0,112.0
2023/08/18,6:40 PM.,SD,AZ,away,Clear.,72,607625,PH,1,0,0,0,0,0,0,0,0,1,0,.174,.224,.283,.507,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,,,,,,,0.199,0.318,,,0.313,0.059,0.36,,,1.87,0.26,-2.89,93.4,,,86.3,93.2,79.6,0.208,0.36,0.08900000000000001,,,,,,,0.287,0.384,0.265,0.303,0.576,0.34299999999999997,0.246,0.464,0.214,0.0,0.0,0.226,114.0,96.0,108.0,0.111,-0.6,85.2,0.25,0.417,0.28600000000000003,,,,,,
2023/08/17,6:41 PM.,SD,AZ,away,Clear.,71,448179,DH,4,0,0,0,0,0,0,0,0,2,1,.178,.229,.289,.518,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,85.0,97.0,93.0,,,,0.04,0.342,0.147,,0.354,0.023,-0.32,-1.27,,2.5,-1.16,-0.06,88.4,83.3,,83.0,86.1,72.0,0.105,0.105,0.226,0.39,0.701,0.19899999999999998,,,,0.283,0.47,0.174,0.263,0.421,0.037000000000000005,0.249,0.454,0.218,,,,90.0,92.0,97.0,0.088,-2.52,71.1,0.5,0.929,0.125,0.008,-3.65,67.1,,,
2023/08/16,1:10 PM.,COL,AZ,away,Partly Cloudy.,95,596295,DH,4,1,2,1,0,0,0,0,1,1,0,.195,.250,.317,.567,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,,,,,,,0.012,0.439,,,,0.181,-1.99,,,-5.34,,-0.07,90.6,,,81.6,90.8,,0.4,1.0,0.16699999999999998,,,,,,,0.226,0.358,0.28,0.296,0.509,0.19899999999999998,0.344,0.656,0.11800000000000001,,,,93.0,98.0,102.0,0.201,0.96,84.8,0.275,0.383,0.247,0.168,-0.75,77.6,90.0,103.0,104.0
2023/08/14,6:40 PM.,COL,AZ,away,Clear.,79,623167,DH,4,0,0,0,0,0,0,0,0,2,1,.162,.205,.270,.475,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,87.0,100.0,94.0,,,,0.019,0.409,0.293,,0.022,0.16,-2.66,-0.47,,-7.15,2.61,0.72,91.9,87.9,,81.0,90.9,71.6,0.6,0.7,0.111,0.287,0.504,0.20199999999999999,,,,0.125,0.125,0.35700000000000004,0.213,0.32,0.397,0.379,0.739,0.174,,,,122.0,107.0,111.0,0.097,-2.44,80.8,0.389,0.444,0.14800000000000002,,,,,,
2023/07/07,6:40 PM.,PIT,AZ,home,Roof Closed.,74,448179,DH,4,0,2,0,0,0,0,0,0,0,0,.182,.229,.303,.532,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,85.0,97.0,93.0,,,,0.04,0.342,0.147,,0.354,0.023,-0.32,-1.27,,2.5,-1.16,-0.06,88.4,83.3,,83.0,86.1,72.0,0.105,0.105,0.226,0.39,0.701,0.19899999999999998,,,,0.283,0.47,0.174,0.263,0.421,0.037000000000000005,0.249,0.454,0.218,,,,90.0,92.0,97.0,0.088,-2.52,71.1,0.5,0.929,0.125,0.008,-3.65,67.1,,,
2023/07/06,6:40 PM.,NYM,AZ,home,Roof Closed.,78,471911,LF,2,0,0,0,0,0,0,0,0,0,2,.138,.194,.276,.470,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,NYM,6.8,6.77,90.0,98.0,93.0,96.0,0.765,6.6,3.8,11.5,1.8,1.52,0.195,0.459,0.13,0.352,0.382,108.0,103.0,104.0,88.0,103.0,104.0,75.0,95.0,85.0,91.0,90.0,87.0,86.0,88.0,95.0,,,,0.1,0.323,0.004,,0.091,0.299,-2.35,-9.5,,-3.88,-1.25,0.12,92.7,89.5,,87.2,91.5,80.1,0.45,0.725,0.129,,,,,,,0.25,0.594,0.217,0.22,0.314,0.311,0.358,0.651,0.166,,,,104.0,98.0,108.0,0.184,-1.99,84.1,0.329,0.575,0.32899999999999996,,,,,,
2023/07/04,1:10 PM.,NYM,AZ,home,Roof Closed.,78,453286,LF,2,0,0,0,0,0,0,0,0,1,2,.148,.207,.296,.503,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,98.0,108.0,99.0,,,,,0.463,0.104,,0.124,0.141,0.72,2.12,,,0.51,0.03,93.7,88.4,,83.8,,75.4,,,,0.135,0.243,0.33299999999999996,,,,0.187,0.373,0.326,0.207,0.283,0.275,0.255,0.458,0.23800000000000002,,,,106.0,108.0,108.0,0.168,-0.21,84.0,0.25,0.545,0.364,,,,,,
2023/07/02,1:08 PM.,LAA,AZ,away,Sunny.,80,672282,DH,4,0,0,0,0,0,0,0,0,1,1,.160,.222,.320,.542,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,,,,,,,,0.432,,,0.194,0.054,-0.38,,,,0.14,-2.03,94.3,,,84.8,,74.7,,,,,,,,,,0.191,0.326,0.28600000000000003,0.242,0.424,0.24600000000000002,0.291,0.505,0.212,,,,124.0,100.0,102.0,0.319,0.91,88.7,0.0,0.0,0.267,,,,,,
2023/07/01,7:08 PM.,LAA,AZ,away,Clear.,69,542881,DH,3,0,1,0,0,0,0,0,2,0,0,.190,.261,.381,.642,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,104.0,103.0,98.0,,,,0.055,0.374,0.224,0.001,0.002,0.338,-1.25,0.48,-4.72,-3.61,-0.33,0.08,90.1,85.1,90.1,80.0,88.5,72.9,0.36,0.68,0.102,0.239,0.366,0.268,,,,,,,0.238,0.381,0.39799999999999996,0.301,0.566,0.193,,,,105.0,76.0,95.0,0.007,-1.06,78.1,0.2,0.2,0.33299999999999996,,,,,,
