date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,FO%,wFO/C,vFO,SV_ba,SV_slg,SV_whiff
2023/07/20,6:41 PM.,BAL,TB,home,Dome.,72,502043,C,2,0,1,0,0,0,1,0,0,0,1,.227,.258,.400,.658,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.084,0.17,-0.69,-0.08,2.01,0.01,-0.29,92.1,85.5,91.9,81.6,79.5,0.287,0.55,0.156,0.147,0.228,0.47100000000000003,0.289,0.459,0.11,0.288,0.453,0.29100000000000004,0.279,0.419,0.40399999999999997,,,,,,,90.0,95.0,92.0,,,,0.166,,-1.02,,89.8,,,,,0.345,0.552,0.154,,,,,,
2023/07/19,1:08 PM.,TEX,TB,away,Roof Closed.,74,592351,C,0,0,0,0,0,0,0,0,0,0,0,.223,.255,.399,.654,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,0.424,0.398,0.062,0.116,-1.83,,2.33,-1.69,1.71,95.7,88.8,,87.2,78.2,0.346,0.551,0.179,0.105,0.211,0.324,,,,0.211,0.268,0.213,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/18,7:07 PM.,TEX,TB,away,Roof Closed.,74,543135,C,4,0,1,1,0,0,1,0,0,0,4,.223,.255,.399,.654,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.372,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,,83.9,76.0,0.234,0.423,0.183,0.303,0.606,0.13699999999999998,,,,,,,0.2,0.22,0.41700000000000004,,,,,,,86.0,98.0,92.0,125.0,101.0,106.0,0.176,0.276,1.33,1.26,90.6,87.9,0.196,0.314,0.355,0.238,0.417,0.198,,,,,,
2023/07/16,2:10 PM.,KC,TB,away,Partly Cloudy.,70,663903,C,3,1,1,0,0,1,3,0,0,0,1,.222,.255,.396,.651,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,0.51,0.002,0.426,,0.063,-2.24,-1.24,0.01,,-0.3,90.9,87.7,92.1,84.0,,,,,0.0,0.0,0.6,0.339,0.555,0.113,0.265,0.353,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/15,6:10 PM.,KC,TB,away,Partly Cloudy.,88,666142,C,1,1,1,0,0,0,0,0,0,0,0,.220,.253,.376,.629,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,90.0,97.0,103.0,,,,108.0,100.0,100.0,,,,126.0,114.0,125.0,,0.401,0.104,,0.237,0.24,,2.79,,2.84,96.5,86.6,,86.6,,0.234,0.411,0.27899999999999997,0.18,0.2,0.4,,,,0.152,0.192,0.344,0.194,0.306,0.295,,,,0.124,-0.05,81.8,89.0,92.0,87.0,,,,0.134,,1.47,,91.8,,,,,0.27,0.378,0.23800000000000002,,,,,,
2023/07/15,1:11 PM.,KC,TB,away,Sunny.,86,679525,C,4,1,1,0,0,1,1,0,0,1,0,.214,.248,.371,.619,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,5.69,5.92,74.1,94.0,97.0,94.0,0.728,10.29,4.72,9.32,1.94,0.82,0.178,0.428,0.096,0.356,0.386,78.0,99.0,92.0,100.0,97.0,101.0,96.0,91.0,88.0,98.0,98.0,96.0,106.0,91.0,99.0,0.072,0.373,0.258,0.149,0.149,-0.89,1.98,-1.26,-0.87,-3.65,94.2,87.0,94.1,86.1,81.1,0.256,0.523,0.258,0.233,0.533,0.365,0.29,0.452,0.061,0.346,0.654,0.268,0.263,0.474,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/08,7:15 PM.,ATL,TB,home,Dome.,72,675911,C,3,0,0,0,0,0,0,0,0,2,1,.213,.248,.353,.601,675911,spencerstrider,Strider,Right,Spencer Strider,ATL,3.86,3.09,186.2,104.0,125.0,112.0,0.643,13.55,2.8,7.04,1.06,0.78,0.328,0.323,0.142,0.354,0.438,85.0,98.0,101.0,,,,141.0,106.0,116.0,,,,104.0,103.0,107.0,,0.589,0.338,,0.073,0.4,,1.67,,0.97,97.2,87.0,,85.6,,0.256,0.431,0.287,0.154,0.269,0.5529999999999999,,,,0.122,0.184,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/07,6:40 PM.,ATL,TB,home,Dome.,72,450203,C,0,0,0,0,0,0,0,0,0,0,0,.218,.254,.361,.615,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,,0.432,0.103,-1.26,-4.03,,1.79,0.86,94.9,86.0,94.2,,82.3,0.292,0.482,0.225,,,,0.474,0.711,0.071,0.25,0.339,0.336,0.177,0.258,0.42,,,,,,,89.0,92.0,87.0,,,,0.08,,0.25,,89.1,,,,,0.296,0.407,0.3,,,,,,
2023/07/05,6:39 PM.,PHI,TB,home,Dome.,72,592836,C,4,0,1,0,0,0,1,0,0,1,2,.218,.254,.361,.615,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,92.0,91.0,94.0,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,0.233,0.176,0.026,0.057,,-0.82,0.53,-1.43,-1.07,,92.8,,92.4,82.5,74.8,0.257,0.541,0.254,0.158,0.632,0.342,0.273,0.429,0.1,,,,0.212,0.485,0.36,,,,,,,99.0,103.0,100.0,104.0,97.0,100.0,0.176,0.332,-0.44,0.48,87.1,87.9,0.205,0.295,0.244,0.284,0.441,0.158,,,,,,
2023/07/02,1:11 PM.,SEA,TB,away,Sunny.,71,622491,C,4,0,0,0,0,0,0,0,0,0,3,.217,.254,.364,.618,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,88.3,95.9,85.7,,0.165,0.384,0.33,0.234,0.455,0.37799999999999995,0.239,0.337,0.136,0.28,0.42,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
