date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI_ba,SI_slg,SI_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC
2023/09/29,7:05 PM.,BAL,BOS,away,Overcast.,65,607644,1B,3,0,0,0,0,0,0,0,0,2,1,.222,.286,.333,.619,607644,johnmeans,Means,Left,John Means,BAL,2.66,4.58,23.2,103.0,104.0,106.0,0.847,3.8,1.52,4.94,1.52,0.51,0.26,0.411,0.151,0.329,0.46,109.0,108.0,114.0,103.0,99.0,102.0,97.0,101.0,100.0,,,,0.419,,0.15,0.333,0.5,,3.05,4.04,91.7,,80.9,85.4,0.188,0.406,0.141,0.139,0.306,0.221,,,,0.0,0.0,0.091,112.0,118.0,126.0,0.003,-57.14,81.6,0.167,0.667,0.077,,,,,,,,,,,,,,,,,,,0.094,-2.18,77.6,,,
2023/09/28,6:36 PM.,BAL,BOS,away,Partly Cloudy.,67,665152,1B,3,0,0,0,0,0,0,0,0,1,1,.238,.304,.357,.661,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,106.0,103.0,102.0,116.0,98.0,105.0,104.0,106.0,102.0,0.371,0.239,0.033,0.123,0.43,0.02,-1.43,-1.4,94.6,88.8,85.3,82.8,0.252,0.409,0.262,0.26,0.377,0.27,0.222,0.416,0.27699999999999997,0.25,0.417,0.244,93.0,94.0,98.0,0.089,-2.29,78.1,0.347,0.592,0.24,0.145,,,1.81,,91.9,,,,84.0,106.0,99.0,,,,0.269,0.38,0.081,,,,,,
2023/09/27,6:13 PM.,TB,BOS,home,Partly Cloudy.,61,607192,1B,2,0,0,0,0,0,0,0,1,2,1,.256,.326,.385,.711,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.432,,0.348,0.003,0.54,,1.25,2.91,96.4,,92.3,90.1,0.236,0.41,0.249,,,,,,,0.254,0.373,0.382,152.0,103.0,114.0,0.213,1.81,83.9,0.095,0.19,0.522,0.004,,,-7.7,,96.4,,,,,,,,,,,,,,,,,,
2023/09/26,7:14 PM.,TB,BOS,home,Partly Cloudy.,56,621107,1B,4,1,1,0,0,0,0,0,0,1,3,.270,.325,.405,.730,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,75.0,99.0,94.0,83.0,123.0,112.0,122.0,120.0,127.0,100.0,106.0,102.0,0.062,0.261,0.044,0.051,2.53,-0.01,0.79,-0.61,92.9,88.5,86.4,80.0,0.104,0.208,0.32,0.192,0.308,0.28300000000000003,0.307,0.588,0.16699999999999998,0.6,0.6,0.5,100.0,110.0,107.0,0.263,1.27,79.1,0.185,0.339,0.349,0.319,,,1.09,,92.2,,,,98.0,107.0,105.0,,,,0.259,0.315,0.129,,,,,,
2023/09/23,4:11 PM.,CWS,BOS,home,Drizzle.,61,656302,1B,4,0,0,0,0,0,0,0,0,4,2,.273,.333,.424,.757,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,,,,0.432,,0.386,0.03,-0.15,,0.4,1.0,95.6,,74.6,86.3,0.273,0.436,0.205,0.111,0.111,0.5379999999999999,,,,0.216,0.339,0.433,,,,,,,0.298,0.538,0.249,,,,,,,,,,,,,,,,,,,0.152,-1.83,80.2,83.0,94.0,99.0
2023/09/22,7:12 PM.,CWS,BOS,home,Cloudy.,62,657053,1B,3,0,1,0,0,0,0,0,0,0,1,.310,.375,.483,.858,657053,toukitoussaint,Toussaint,Right,Touki Toussaint,- - -,4.97,5.37,87.0,94.0,95.0,93.0,0.769,8.79,5.9,7.14,1.03,1.6,0.179,0.477,0.106,0.315,0.366,,,,79.0,87.0,79.0,88.0,112.0,117.0,,,,0.235,,0.023,,-1.46,,-6.26,,93.6,,,86.6,0.294,0.426,0.217,,,,,,,0.333,1.333,0.35700000000000004,108.0,99.0,104.0,0.288,1.81,76.1,0.115,0.184,0.35600000000000004,0.265,0.189,-0.3,0.33,87.5,92.9,0.188,0.348,0.324,94.0,94.0,89.0,96.0,96.0,99.0,0.3,0.412,0.095,,,,,,
2023/09/20,1:08 PM.,TEX,BOS,away,Roof Closed.,74,592351,1B,4,1,2,0,0,1,1,0,0,2,0,.308,.379,.500,.879,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,82.0,100.0,92.0,116.0,103.0,109.0,,,,0.424,,0.398,0.116,-1.83,,2.33,1.71,95.7,,88.8,87.2,0.346,0.551,0.179,0.211,0.268,0.213,,,,0.105,0.211,0.324,99.0,90.0,98.0,0.062,-1.69,78.2,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/19,7:09 PM.,TEX,BOS,away,Roof Closed.,74,543135,1B,3,2,1,1,0,0,0,0,1,2,0,.273,.360,.364,.724,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,92.0,97.0,93.0,101.0,113.0,109.0,86.0,98.0,92.0,0.372,0.176,0.04,,0.41,1.33,-3.23,,95.1,90.6,,83.9,0.234,0.423,0.183,,,,0.238,0.417,0.198,0.303,0.606,0.13699999999999998,99.0,104.0,102.0,0.135,0.86,76.0,0.2,0.22,0.41700000000000004,,0.276,1.26,,87.9,,0.196,0.314,0.355,,,,125.0,101.0,106.0,,,,,,,,,
2023/09/18,7:07 PM.,TEX,BOS,away,Roof Closed.,74,656756,1B,4,1,2,1,0,0,0,0,0,1,0,.263,.333,.316,.649,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.229,-0.68,-4.4,,0.2,93.4,88.2,83.5,,0.333,0.5,0.195,0.239,0.405,0.392,0.417,0.667,0.31,,,,116.0,108.0,111.0,0.222,0.84,80.5,0.191,0.357,0.371,0.426,,,1.22,,93.3,,,,91.0,99.0,91.0,,,,0.255,0.374,0.141,,,,,,
2023/09/17,1:38 PM.,TOR,BOS,away,Sunny.,68,547943,1B,3,0,1,0,0,0,0,0,0,1,4,.200,.294,.200,.494,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,75.0,105.0,91.0,,,,92.0,107.0,97.0,0.317,0.189,,0.228,-0.51,1.27,,-2.1,88.6,85.1,78.1,,0.265,0.633,0.11900000000000001,0.276,0.448,0.25,0.238,0.357,0.207,,,,88.0,111.0,105.0,0.171,-1.45,68.9,0.286,0.429,0.35200000000000004,0.095,,,3.34,,87.7,,,,73.0,100.0,94.0,,,,0.133,0.133,0.091,,,,,,
