date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023/09/30,6:37 PM.,MIA,PIT,home,Cloudy.,75,608638,1B,5,0,2,0,0,0,0,0,0,3,3,.303,.390,.404,.794,608638,jtchargois,Chargois,Right,JT Chargois,MIA,3.61,3.63,42.1,99.0,108.0,102.0,0.803,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.277,0.413,,,,,,,83.0,92.0,92.0,118.0,101.0,111.0,0.078,0.415,,,0.34,0.1,,,95.8,,86.3,,0.286,0.286,0.3,,,,,,,0.206,0.338,0.302,104.0,98.0,96.0,,,,0.506,,,1.23,,96.3,,,,0.25,0.421,0.096,,,,,,,,,,,,,,,,,,
2023/09/29,6:39 PM.,MIA,PIT,home,Partly Cloudy.,76,665795,2B,4,1,1,1,0,0,0,0,0,1,1,.301,.390,.405,.795,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.24,3.77,99.2,97.0,103.0,97.0,0.718,10.66,5.96,7.04,0.99,1.68,0.159,0.488,0.163,0.293,0.347,91.0,98.0,99.0,109.0,102.0,103.0,106.0,95.0,92.0,115.0,98.0,104.0,0.279,0.081,0.234,0.314,0.19,-0.71,-0.37,1.29,96.2,92.9,88.2,84.6,0.211,0.366,0.191,0.24,0.38,0.38,0.186,0.3,0.363,0.222,0.444,0.306,109.0,86.0,82.0,,,,0.093,,,-0.3,,96.1,,,,0.28,0.44,0.233,,,,,,,,,,,,,,,,,,
2023/09/28,6:07 PM.,PHI,PIT,away,Cloudy.,62,554430,3B,5,1,2,2,0,0,2,0,0,2,0,.302,.393,.402,.795,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,107.0,101.0,111.0,0.435,0.123,0.115,0.004,1.69,0.36,-1.61,-6.22,95.8,90.8,84.4,81.4,0.199,0.333,0.314,0.264,0.473,0.33,,,,0.198,0.36,0.392,105.0,105.0,107.0,96.0,102.0,102.0,0.18,0.144,-0.63,1.62,90.9,95.2,0.27,0.426,0.228,0.252,0.308,0.192,,,,,,,,,,,,,,,,,,
2023/09/27,6:43 PM.,PHI,PIT,away,Partly Cloudy.,64,624133,1B,3,1,2,0,0,0,0,1,2,1,0,.299,.393,.390,.783,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,91.0,113.0,108.0,0.215,0.005,0.19,0.184,-0.65,4.65,1.95,-1.45,93.4,82.9,84.1,75.8,0.304,0.478,0.21899999999999997,0.143,0.226,0.377,0.267,0.444,0.311,0.2,0.2,0.0,96.0,104.0,102.0,97.0,97.0,94.0,0.28,0.126,-1.27,0.52,87.5,92.8,0.34,0.585,0.179,0.289,0.409,0.1,,,,,,,,,,,,,,,,,,
2023/09/26,6:44 PM.,PHI,PIT,away,Cloudy.,59,605400,1B,3,0,0,0,0,0,0,1,1,1,1,.292,.382,.385,.767,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,,,,0.295,,,0.126,-0.03,,,0.14,92.7,85.9,,,0.246,0.503,0.217,0.221,0.398,0.33299999999999996,0.22,0.319,0.319,,,,100.0,107.0,101.0,111.0,110.0,105.0,0.188,0.075,0.4,0.46,86.3,91.8,0.246,0.508,0.301,0.279,0.416,0.106,,,,,,,,,,118.0,105.0,113.0,0.316,0.47,79.4,,,
2023/09/24,1:41 PM.,CIN,PIT,away,Sunny.,77,682227,2B,3,0,2,1,0,0,0,0,1,1,0,.297,.385,.392,.777,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,132.0,104.0,113.0,0.372,0.102,0.064,0.165,-0.15,-1.33,-1.75,-0.51,92.8,84.0,81.7,73.1,0.269,0.433,0.171,0.333,0.6,0.14300000000000002,0.183,0.39,0.39899999999999997,0.0,0.0,0.273,,,,106.0,102.0,98.0,,0.298,1.71,,89.3,,0.252,0.433,0.185,,,,,,,,,,,,,,,,,,,,,
2023/09/23,6:41 PM.,CIN,PIT,away,Clear.,75,683175,3B,5,3,4,1,0,0,0,0,0,0,0,.290,.376,.381,.757,683175,connorphillips,Phillips,Right,Connor Phillips,CIN,6.97,4.67,20.2,93.0,128.0,98.0,0.78,11.32,5.66,7.84,2.18,0.68,0.339,0.357,0.179,0.268,0.402,59.0,70.0,70.0,119.0,95.0,94.0,125.0,93.0,95.0,142.0,95.0,108.0,0.633,0.255,0.1,0.013,-1.48,3.39,-2.94,-2.97,96.4,91.2,84.4,82.2,0.25,0.558,0.131,0.667,0.667,0.111,,,,0.111,0.111,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/22,6:41 PM.,CIN,PIT,away,Partly Cloudy.,80,671096,1B,3,1,2,0,0,1,1,0,2,1,1,.273,.364,.360,.724,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,99.0,103.0,103.0,81.0,99.0,91.0,106.0,107.0,113.0,0.501,0.165,0.171,0.163,-0.02,1.61,-2.27,0.99,92.7,86.6,82.9,80.9,0.249,0.459,0.198,0.367,0.65,0.26,0.203,0.27,0.39399999999999996,0.174,0.304,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/21,6:40 PM.,CHC,PIT,away,Cloudy.,69,543294,1B,3,1,0,0,0,0,0,0,2,2,3,.265,.351,.333,.684,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,97.0,79.0,84.0,67.0,100.0,93.0,,,,0.205,,0.035,0.411,-1.61,,0.0,1.43,87.8,80.7,,73.3,0.38,0.658,0.11199999999999999,0.25,0.25,0.43799999999999994,0.18,0.279,0.324,,,,72.0,110.0,99.0,,,,0.349,,,0.04,,87.5,,,,0.318,0.46,0.08,,,,,,,,,,,,,,,,,,
2023/09/20,6:40 PM.,CHC,PIT,away,Cloudy.,75,657006,2B,5,2,3,0,0,1,2,0,0,1,0,.271,.350,.340,.690,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,87.0,98.0,109.0,88.0,102.0,98.0,123.0,104.0,111.0,0.626,0.339,0.006,0.01,0.67,0.54,2.44,-1.94,91.8,87.5,83.3,80.7,0.275,0.393,0.203,0.0,0.0,0.33299999999999996,0.4,0.4,0.1,0.217,0.346,0.311,45.0,95.0,88.0,,,,0.018,,,0.89,,92.2,,,,0.25,0.333,0.16699999999999998,,,,,,,,,,,,,,,,,,
