date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff
2023/05/06,7:15 PM.,BAL,ATL,home,Overcast.,73,680694,SS,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,,,,0.207,0.224,,0.313,0.173,0.083,-1.0,,1.53,1.77,3.99,-0.36,94.5,,90.8,95.0,88.1,84.8,0.366,0.602,0.15,,,,0.23,0.367,0.15,0.259,0.37,0.114,0.142,0.165,0.35600000000000004,0.168,0.272,0.364
2023/05/05,7:20 PM.,BAL,ATL,home,Overcast.,59,665152,SS,4,0,0,0,0,0,0,0,0,1,3,.000,.000,.000,.000,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,0.145,0.371,0.239,0.033,0.089,0.123,0.43,0.02,1.81,-1.43,-2.29,-1.4,94.6,88.8,85.3,91.9,82.8,78.1,0.252,0.409,0.262,0.222,0.416,0.27699999999999997,0.269,0.38,0.081,0.26,0.377,0.27,0.347,0.592,0.24,0.25,0.417,0.244
