date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wCU/C,vFA,vFC,vFS,vSI,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CH%,wSL/C,wCH/C,vCH,vSL,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS
2023/09/19,7:09 PM.,NYY,TOR,away,Clear.,70,657376,DH,0,0,0,0,0,0,0,0,0,0,0,.380,.385,.500,.885,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,96.0,106.0,105.0,0.241,,0.279,,,,0.27,,-0.2,,,91.3,,93.4,,,,,0.28,0.457,0.222,0.198,0.314,0.345,,,,31.0,95.0,88.0,109.0,99.0,107.0,0.274,0.015,-0.59,-7.35,89.4,86.0,0.5,0.5,0.091,0.276,0.559,0.263,68.0,103.0,88.0,0.288,0.447,0.11,146.0,100.0,118.0,0.191,-0.46,83.7,,,
2023/09/16,3:08 PM.,BOS,TOR,home,Partly Cloudy.,72,519242,PH,1,0,0,0,0,0,0,0,0,0,3,.380,.385,.500,.885,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,,,,99.0,102.0,100.0,,,,0.062,0.432,,,,0.46,,,-1.13,,93.9,,,93.3,,0.252,0.437,0.23399999999999999,,,,,,,,,,81.0,103.0,99.0,92.0,98.0,100.0,0.375,0.131,0.7,-1.09,86.1,77.8,0.309,0.473,0.322,0.162,0.358,0.389,98.0,94.0,96.0,0.267,0.5,0.16699999999999998,,,,,,,,,
2023/09/13,7:07 PM.,TEX,TOR,home,Partly Cloudy.,65,656756,SS,3,0,2,0,0,0,0,0,0,0,1,.388,.392,.510,.902,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,116.0,108.0,111.0,75.0,95.0,84.0,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,-0.68,-4.4,,1.22,0.84,93.4,88.2,,93.3,80.5,0.333,0.5,0.195,0.417,0.667,0.31,0.191,0.357,0.371,,,,99.0,101.0,98.0,,,,,0.229,,0.2,83.5,,0.239,0.405,0.392,,,,91.0,99.0,91.0,0.255,0.374,0.141,,,,,,,,,
2023/09/12,7:07 PM.,TEX,TOR,home,Roof Closed.,68,453286,2B,1,0,0,0,0,0,1,0,0,0,1,.370,.375,.500,.875,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,96.0,101.0,104.0,104.0,101.0,101.0,98.0,108.0,99.0,,0.463,0.104,,0.124,0.72,2.12,,,0.51,93.7,88.4,,,75.4,0.255,0.458,0.23800000000000002,0.135,0.243,0.33299999999999996,0.187,0.373,0.326,,,,94.0,106.0,106.0,106.0,108.0,108.0,0.168,0.141,-0.21,0.03,83.8,84.0,0.207,0.283,0.275,0.25,0.545,0.364,,,,,,,,,,,,,,,
2023/09/11,7:08 PM.,TEX,TOR,home,Clear.,72,641540,3B,0,0,0,0,0,0,0,0,0,0,0,.378,.383,.511,.894,641540,danedunning,Dunning,Right,Dane Dunning,TEX,3.7,4.48,172.2,102.0,84.0,96.0,0.794,7.3,2.87,8.5,1.04,1.41,0.203,0.443,0.146,0.315,0.415,78.0,82.0,84.0,71.0,96.0,85.0,90.0,100.0,95.0,0.331,0.032,0.2,,0.016,-3.75,0.82,,1.37,-3.56,90.5,88.9,,91.0,78.1,0.294,0.765,0.235,0.258,0.393,0.231,0.25,0.25,0.5,,,,65.0,102.0,92.0,101.0,106.0,106.0,0.234,0.156,0.14,-0.87,85.7,82.1,0.301,0.478,0.258,0.212,0.364,0.345,79.0,104.0,94.0,0.246,0.354,0.08,,,,0.032,-0.43,77.5,,,
2023/09/10,1:38 PM.,KC,TOR,home,Partly Cloudy.,70,666142,SS,2,0,0,0,0,0,0,0,0,0,0,.378,.383,.511,.894,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,,,,108.0,100.0,100.0,89.0,92.0,87.0,,0.401,0.134,,,0.24,1.47,,,,96.5,91.8,,,,0.234,0.411,0.27899999999999997,0.27,0.378,0.23800000000000002,0.194,0.306,0.295,,,,90.0,97.0,103.0,126.0,114.0,125.0,0.104,0.237,2.79,2.84,86.6,86.6,0.152,0.192,0.344,0.18,0.2,0.4,,,,,,,,,,0.124,-0.05,81.8,,,
2023/09/09,3:08 PM.,KC,TOR,home,Cloudy.,68,663704,SS,3,0,0,0,0,0,0,0,0,0,2,.395,.400,.535,.935,663704,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.63,2.97,23.1,103.0,114.0,106.0,0.764,8.87,0.77,7.71,0.77,2.31,0.313,0.469,0.203,0.344,0.478,142.0,106.0,119.0,64.0,122.0,91.0,104.0,61.0,62.0,0.349,0.018,0.003,,0.387,3.38,-3.87,,-1.25,1.52,92.8,90.4,,94.1,82.2,,,,,,,0.194,0.25,0.353,,,,,,,103.0,101.0,102.0,0.243,,2.66,,,86.4,,,,0.263,0.368,0.302,94.0,100.0,96.0,0.286,0.679,0.064,,,,,,,,,
2023/09/08,7:07 PM.,KC,TOR,home,Cloudy.,68,676092,2B,1,0,1,0,0,0,1,0,0,0,0,.425,.429,.575,1.004,676092,collinsnider,Snider,Right,Collin Snider,KCR,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.169,0.296,0.395,,,,106.0,89.0,88.0,108.0,99.0,93.0,0.379,0.106,0.15,,,5.8,0.09,,-4.06,,94.8,91.6,,95.8,,0.111,0.111,0.105,0.214,0.286,0.138,,,,,,,50.0,49.0,53.0,129.0,98.0,110.0,0.362,0.003,-0.49,-3.64,90.2,84.1,,,,0.273,0.818,0.222,68.0,96.0,85.0,0.485,0.667,0.085,,,,,,,,,
2023/09/06,12:37 PM.,OAK,TOR,away,Sunny.,70,676664,SS,3,0,1,0,0,0,1,0,0,0,0,.410,.415,.564,.979,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,,,,93.0,102.0,96.0,,,,0.001,0.501,,,,-0.84,,,0.63,,93.1,,,92.1,,0.256,0.478,0.217,,,,,,,,,,83.0,100.0,102.0,93.0,102.0,106.0,0.346,0.151,-0.06,0.36,84.1,81.4,0.277,0.438,0.225,0.21,0.395,0.28300000000000003,,,,,,,,,,,,,,,
2023/09/05,6:40 PM.,OAK,TOR,away,Clear.,68,686610,SS,2,0,0,0,0,0,0,0,0,1,2,.417,.421,.583,1.004,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,93.0,77.0,85.0,89.0,95.0,92.0,,,,,0.543,,,0.02,-0.52,,,,-3.62,93.3,,,,74.5,0.275,0.493,0.17800000000000002,,,,0.333,0.833,0.0,,,,92.0,90.0,88.0,96.0,99.0,100.0,0.271,0.166,-0.79,-1.4,84.2,81.1,0.34,0.515,0.374,0.218,0.423,0.32799999999999996,,,,,,,,,,,,,,,
