,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
51,2024-06-09,745571,Single,single,False,643446,621381,Jeff McNeil,Matt Strahm,0,01ca8b82-b33a-4808-934f-0fb83a672c57,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,103.0,104.0,99.0,118.0,111.0,113.0,99.0,104.0,97.0,,,,0.149,0.554,0.104,,0.192,,1.87,4.44,,-0.14,1.74,,93.4,88.0,,93.4,81.4,,0.333,0.389,0.184,,,,0.091,0.182,0.372,0.1,0.2,0.282,0.195,0.312,0.26,,,,,,,,,,,,,,,
52,2024-06-09,745571,Walk,walk,False,668901,621381,Mark Vientos,Matt Strahm,1,a1ee2df2-b307-4180-8f9c-29ef759ac38f,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,103.0,104.0,99.0,118.0,111.0,113.0,99.0,104.0,97.0,,,,0.149,0.554,0.104,,0.192,,1.87,4.44,,-0.14,1.74,,93.4,88.0,,93.4,81.4,,0.333,0.389,0.184,,,,0.091,0.182,0.372,0.1,0.2,0.282,0.195,0.312,0.26,,,,,,,,,,,,,,,
53,2024-06-09,745571,Pop Out,field_out,True,620443,621381,Luis Torrens,Matt Strahm,0,3ee40d44-1b39-4bc3-8df1-4b50dc2ffa03,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,103.0,104.0,99.0,118.0,111.0,113.0,99.0,104.0,97.0,,,,0.149,0.554,0.104,,0.192,,1.87,4.44,,-0.14,1.74,,93.4,88.0,,93.4,81.4,,0.333,0.389,0.184,,,,0.091,0.182,0.372,0.1,0.2,0.282,0.195,0.312,0.26,,,,,,,,,,,,,,,
54,2024-06-09,745571,Flyout,field_out,True,596019,621381,Francisco Lindor,Matt Strahm,0,50ac92b5-6b28-4cb1-a260-9353b7d66a5c,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,103.0,104.0,99.0,118.0,111.0,113.0,99.0,104.0,97.0,,,,0.149,0.554,0.104,,0.192,,1.87,4.44,,-0.14,1.74,,93.4,88.0,,93.4,81.4,,0.333,0.389,0.184,,,,0.091,0.182,0.372,0.1,0.2,0.282,0.195,0.312,0.26,,,,,,,,,,,,,,,
55,2024-06-09,745571,Strikeout,strikeout,True,624413,656546,Pete Alonso,Jeff Hoffman,0,47b336c7-4370-4217-92de-f30dc3bb2bf3,656546.0,jeffhoffman,Hoffman,Right,Jeff Hoffman,PHI,1.09,2.19,41.1,100.0,114.0,103.0,0.682,11.98,2.18,5.66,0.44,0.97,0.175,0.495,0.124,0.268,0.452,,,,121.0,103.0,103.0,113.0,107.0,116.0,109.0,95.0,102.0,,,,108.0,103.0,103.0,0.085,0.408,,0.113,0.395,,1.24,,0.27,3.89,2.07,,96.5,,90.4,96.6,86.4,,0.154,0.154,0.167,0.16,0.24,0.275,0.157,0.255,0.44,,,,0.194,0.323,0.312,,,,,,,,,,,,,,,
56,2024-06-09,745571,Home Run,home_run,False,621311,673380,David Dahl,Dedniel Núñez,0,5176a407-b370-4c85-aafa-bf37f06a58e4,673380.0,dednielnunez,Núñez,Right,Dedniel Núñez,NYM,2.59,2.32,31.1,104.0,119.0,110.0,0.718,11.78,2.01,6.03,0.86,1.3,0.254,0.38,0.183,0.324,0.479,30.0,176.0,193.0,132.0,107.0,113.0,80.0,131.0,115.0,109.0,100.0,105.0,,,,,,,0.026,0.492,,,0.471,0.002,2.45,,,-13.02,1.16,21.74,96.3,,,93.7,87.3,84.1,0.4,0.6,0.222,,,,0.153,0.254,0.414,,,,0.217,0.37,0.25,,,,36.0,108.0,101.0,0.009,5.9,91.4,,,,,,
57,2024-06-09,745571,Strikeout,strikeout,True,656941,518617,Kyle Schwarber,Jake Diekman,0,c53af8e3-e592-4523-9ace-f8bb63d595a0,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,,,,144.0,93.0,94.0,86.0,-132.0,-134.0,120.0,88.0,101.0,,,,,,,0.002,0.601,,,0.304,,-0.22,,,-19.0,0.18,,94.5,,,93.6,82.8,,,,,,,,0.115,0.269,0.354,,,,0.197,0.426,0.265,,,,84.0,88.0,83.0,0.093,-5.1,87.1,0.364,0.727,0.286,,,
58,2024-06-09,745571,Groundout,field_out,True,592663,518617,J.T. Realmuto,Jake Diekman,0,cdd645d9-edc1-4d78-af62-5c70cf95d049,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,,,,144.0,93.0,94.0,86.0,-132.0,-134.0,120.0,88.0,101.0,,,,,,,0.002,0.601,,,0.304,,-0.22,,,-19.0,0.18,,94.5,,,93.6,82.8,,,,,,,,0.115,0.269,0.354,,,,0.197,0.426,0.265,,,,84.0,88.0,83.0,0.093,-5.1,87.1,0.364,0.727,0.286,,,
59,2024-06-09,745571,Walk,walk,False,547180,518617,Bryce Harper,Jake Diekman,0,9482a02b-12da-4006-b5d1-5ae1285ed0e4,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,,,,144.0,93.0,94.0,86.0,-132.0,-134.0,120.0,88.0,101.0,,,,,,,0.002,0.601,,,0.304,,-0.22,,,-19.0,0.18,,94.5,,,93.6,82.8,,,,,,,,0.115,0.269,0.354,,,,0.197,0.426,0.265,,,,84.0,88.0,83.0,0.093,-5.1,87.1,0.364,0.727,0.286,,,
60,2024-06-09,745571,Walk,walk,False,664761,657585,Alec Bohm,Reed Garrett,1,412b4a9a-550d-4303-9a64-e94d456c6f38,657585.0,reedgarrett,"Garrett, R",Right,Reed Garrett,NYM,3.64,3.19,42.0,92.0,118.0,97.0,0.642,13.5,4.71,8.14,1.29,1.14,0.247,0.454,0.237,0.258,0.347,,,,126.0,86.0,90.0,92.0,88.0,82.0,120.0,97.0,105.0,109.0,93.0,89.0,122.0,93.0,101.0,0.123,0.162,0.234,0.273,0.208,,-4.83,0.88,1.93,-2.61,1.05,,96.4,91.3,87.9,96.2,84.7,,0.4,0.733,0.25,0.129,0.145,0.529,0.167,0.208,0.333,0.273,0.485,0.353,0.44,0.84,0.269,,,,,,,,,,,,,,,
