,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-28,745203,Groundout,field_out,True,671732,676106,Lawrence Butler,Emerson Hancock,0,85d4dd34-199c-4e21-91a5-4facff225379,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.93,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,0.3,0.6,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-28,745203,Walk,walk,False,667670,676106,Brent Rooker,Emerson Hancock,0,314ac8ef-1359-4ba4-932b-3d9ad94999b4,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.93,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,0.3,0.6,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-28,745203,Single,single,False,668709,676106,JJ Bleday,Emerson Hancock,1,cdd2f57d-7a4c-48b8-80d4-d8234bd53ca6,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.93,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,0.3,0.6,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-28,745203,Grounded Into DP,grounded_into_double_play,True,669127,676106,Shea Langeliers,Emerson Hancock,1,30fb8133-2406-4ea5-8221-9ee307ab08bf,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.93,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,0.3,0.6,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-28,745203,Double,double,False,645302,683155,Victor Robles,Joey Estes,0,fb7f87f8-71f7-46f4-99ae-df86cc925f5c,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.55,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.3,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.257,0.469,0.175,0.263,0.579,0.147,0.357,0.738,0.204,0.261,0.435,0.223,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-28,745203,Groundout,field_out,True,677594,683155,Julio Rodríguez,Joey Estes,0,1b02ab2b-7566-48fc-bb96-3bd41d904e99,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.55,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.3,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.257,0.469,0.175,0.263,0.579,0.147,0.357,0.738,0.204,0.261,0.435,0.223,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-28,745203,Strikeout,strikeout,True,663728,683155,Cal Raleigh,Joey Estes,0,1b30b216-d6e9-40a5-a5c3-7f4578a3a396,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.55,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.3,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.257,0.469,0.175,0.263,0.579,0.147,0.357,0.738,0.204,0.261,0.435,0.223,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-28,745203,Walk,walk,False,670042,683155,Luke Raley,Joey Estes,1,0e676b7a-5e7a-49b2-8693-c32c2d99ef2b,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.55,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.3,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.257,0.469,0.175,0.263,0.579,0.147,0.357,0.738,0.204,0.261,0.435,0.223,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-28,745203,Flyout,field_out,True,593871,683155,Jorge Polanco,Joey Estes,0,6f566fc6-846f-4c8c-823f-5fbf6df31bfc,683155.0,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.55,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.3,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,0.034,0.517,0.332,0.111,0.08,-1.55,-0.2,-2.46,92.4,84.8,90.8,79.6,0.257,0.469,0.175,0.263,0.579,0.147,0.357,0.738,0.204,0.261,0.435,0.223,111.0,89.0,91.0,0.007,-13.81,86.4,0.217,0.367,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-28,745203,Groundout,field_out,True,691016,676106,Tyler Soderstrom,Emerson Hancock,0,22e5675d-db1f-4d3e-adc7-63e0a7ddfc2a,676106.0,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.93,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,0.211,0.6,-1.17,-3.11,0.03,93.4,86.5,93.2,84.1,0.253,0.443,0.226,0.323,0.538,0.149,0.185,0.323,0.239,0.3,0.6,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
