,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,KC%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-08-22,745137,Flyout,field_out,True,668930,571945,Brice Turang,Miles Mikolas,0,a409c637-4cd5-452a-b584-bc34dfd9d87d,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
1,2024-08-22,745137,Double,double,False,694192,571945,Jackson Chourio,Miles Mikolas,0,0717afc3-99c5-42c2-9128-cc298a89443a,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
2,2024-08-22,745137,Single,single,False,661388,571945,William Contreras,Miles Mikolas,1,460185b7-42ca-40a3-9b0d-6acfd1d1efd1,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
3,2024-08-22,745137,Strikeout,strikeout,True,669003,571945,Garrett Mitchell,Miles Mikolas,0,2e1c2da5-4f9f-498f-be3d-ab1342106ed9,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
4,2024-08-22,745137,Groundout,field_out,True,642715,571945,Willy Adames,Miles Mikolas,0,ee14ca34-7c45-4410-b201-a19b2f04ceda,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
5,2024-08-22,745137,Pop Out,field_out,True,691026,642547,Masyn Winn,Freddy Peralta,0,d5ad1443-5b85-4534-9d5c-99f1e8776cd2,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,,,,98.0,101.0,107.0,,0.541,0.228,0.055,,0.175,0.14,,0.15,-0.49,,1.4,94.3,87.6,,81.3,77.6,,,,,0.194,0.363,0.409,0.236,0.419,0.25,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,
6,2024-08-22,745137,Pop Out,field_out,True,676475,642547,Alec Burleson,Freddy Peralta,0,5e74d8d5-bc1f-4de7-af01-7ce3bae31ed7,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,,,,98.0,101.0,107.0,,0.541,0.228,0.055,,0.175,0.14,,0.15,-0.49,,1.4,94.3,87.6,,81.3,77.6,,,,,0.194,0.363,0.409,0.236,0.419,0.25,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,
7,2024-08-22,745137,Single,single,False,575929,642547,Willson Contreras,Freddy Peralta,0,033bc2f2-f563-49d0-ae8d-b69d5d119ad4,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,,,,98.0,101.0,107.0,,0.541,0.228,0.055,,0.175,0.14,,0.15,-0.49,,1.4,94.3,87.6,,81.3,77.6,,,,,0.194,0.363,0.409,0.236,0.419,0.25,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,
8,2024-08-22,745137,Groundout,field_out,True,680977,642547,Brendan Donovan,Freddy Peralta,0,a3b16295-6481-4373-a7ed-e6a2d6ed1589,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.7,3.78,148.1,98.0,103.0,100.0,0.722,10.44,3.4,7.28,1.33,0.84,0.263,0.384,0.218,0.305,0.38,80.0,93.0,88.0,102.0,99.0,106.0,113.0,98.0,101.0,,,,98.0,101.0,107.0,,0.541,0.228,0.055,,0.175,0.14,,0.15,-0.49,,1.4,94.3,87.6,,81.3,77.6,,,,,0.194,0.363,0.409,0.236,0.419,0.25,0.198,0.26,0.379,0.25,0.375,0.313,,,,,,,,,,,,
9,2024-08-22,745137,Groundout,field_out,True,656555,571945,Rhys Hoskins,Miles Mikolas,0,211b7659-0a2d-4365-a6d9-661fa7e7fac9,571945.0,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.23,4.41,149.2,109.0,88.0,103.0,0.862,6.13,1.44,9.86,1.26,1.16,0.254,0.389,0.146,0.331,0.49,85.0,103.0,98.0,95.0,107.0,104.0,65.0,107.0,98.0,81.0,111.0,98.0,118.0,112.0,114.0,0.231,0.275,0.287,0.114,0.004,0.09,0.2,2.24,-1.19,-1.85,0.23,-3.0,93.1,85.6,92.4,85.5,76.3,68.4,0.225,0.344,0.111,0.31,0.517,0.153,0.284,0.463,0.173,0.362,0.672,0.168,0.267,0.55,0.232,0.25,0.438,0.255,,,,,,,,,
