,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
62,2024-09-25,745690,Groundout,field_out,True,665742,543056,Juan Soto,Danny Coulombe,0,c67318e8-f572-4ce0-9f30-b223c40e1a79,543056.0,dannycoulombe,Coulombe,Left,Danny Coulombe,BAL,2.12,2.88,29.2,100.0,80.0,100.0,0.779,9.71,1.52,4.55,0.91,1.21,0.143,0.486,0.186,0.414,0.436,,,,75.0,94.0,88.0,8.0,106.0,90.0,106.0,98.0,101.0,80.0,98.0,90.0,,,,0.135,0.155,0.3,,0.285,,2.63,1.88,,3.31,2.53,,90.8,85.8,,90.3,81.6,,0.133,0.133,0.067,,,,0.219,0.469,0.262,,,,,,,0.118,0.294,0.226,0.077,0.077,0.111,,,,,,,0.12,0.16,0.382,,,,109.0,114.0,144.0,0.124,0.59,79.2
63,2024-09-25,745690,Groundout,field_out,True,592450,543056,Aaron Judge,Danny Coulombe,0,6ad25a89-9799-44b4-952a-292fbfeaf251,543056.0,dannycoulombe,Coulombe,Left,Danny Coulombe,BAL,2.12,2.88,29.2,100.0,80.0,100.0,0.779,9.71,1.52,4.55,0.91,1.21,0.143,0.486,0.186,0.414,0.436,,,,75.0,94.0,88.0,8.0,106.0,90.0,106.0,98.0,101.0,80.0,98.0,90.0,,,,0.135,0.155,0.3,,0.285,,2.63,1.88,,3.31,2.53,,90.8,85.8,,90.3,81.6,,0.133,0.133,0.067,,,,0.219,0.469,0.262,,,,,,,0.118,0.294,0.226,0.077,0.077,0.111,,,,,,,0.12,0.16,0.382,,,,109.0,114.0,144.0,0.124,0.59,79.2
64,2024-09-25,745690,Flyout,field_out,True,669224,543056,Austin Wells,Danny Coulombe,0,0a0898d3-f3df-4d71-8cb7-95692ae1f90a,543056.0,dannycoulombe,Coulombe,Left,Danny Coulombe,BAL,2.12,2.88,29.2,100.0,80.0,100.0,0.779,9.71,1.52,4.55,0.91,1.21,0.143,0.486,0.186,0.414,0.436,,,,75.0,94.0,88.0,8.0,106.0,90.0,106.0,98.0,101.0,80.0,98.0,90.0,,,,0.135,0.155,0.3,,0.285,,2.63,1.88,,3.31,2.53,,90.8,85.8,,90.3,81.6,,0.133,0.133,0.067,,,,0.219,0.469,0.262,,,,,,,0.118,0.294,0.226,0.077,0.077,0.111,,,,,,,0.12,0.16,0.382,,,,109.0,114.0,144.0,0.124,0.59,79.2
65,2024-09-25,745690,Double,double,False,656775,547001,Cedric Mullins,Cody Poteet,0,9fbf0888-0b68-4429-a9e6-5745d6c4c419,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
66,2024-09-25,745690,Single,single,False,543510,547001,James McCann,Cody Poteet,1,b212bfb0-9d2c-42be-84d2-34465f4b0a1a,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
67,2024-09-25,745690,Strikeout,strikeout,True,683002,547001,Gunnar Henderson,Cody Poteet,0,897f8a8e-5e2b-433b-9d1a-5f992b4bd974,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
68,2024-09-25,745690,Single,single,False,676059,547001,Jordan Westburg,Cody Poteet,1,67502b70-8913-4331-812a-01ac4e64eb2f,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
69,2024-09-25,745690,Groundout,field_out,True,623993,547001,Anthony Santander,Cody Poteet,1,5c20e2e6-3df3-4c1c-80d9-036928c1fa68,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
70,2024-09-25,745690,Walk,walk,False,681297,547001,Colton Cowser,Cody Poteet,0,89b90b8f-f49a-47b1-ad9a-9b6809bc1bc3,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
71,2024-09-25,745690,Lineout,field_out,True,663624,547001,Ryan Mountcastle,Cody Poteet,0,19ab620c-749f-4d51-b450-5a56572c9810,547001.0,codypoteet,Poteet,Right,Cody Poteet,NYY,2.22,4.97,24.1,99.0,93.0,97.0,0.861,5.92,2.96,6.66,0.74,1.36,0.211,0.437,0.085,0.225,0.385,100.0,107.0,100.0,78.0,95.0,92.0,78.0,103.0,93.0,133.0,92.0,101.0,,,,,,,0.247,0.284,,,0.172,0.099,0.76,,,2.57,1.24,-1.44,93.3,,,92.6,81.2,78.3,0.194,0.387,0.063,,,,,,,,,,,,,0.333,0.667,0.2,0.176,0.176,0.195,107.0,94.0,97.0,0.198,1.71,86.9,0.214,0.214,0.185,0.188,0.188,0.2,,,,,,
