,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FS%,wFS/C,vFS,Stf+ FS,Loc+ FS,Pit+ FS
0,2024-09-11,746100,Lineout,field_out,True,664023,676272,Ian Happ,Bobby Miller,0,e5ddaa28-d628-45ff-8328-2391d7178c19,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
1,2024-09-11,746100,Groundout,field_out,True,621020,676272,Dansby Swanson,Bobby Miller,0,cd1bd350-6b23-427c-9ebc-a95dea931dbf,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
2,2024-09-11,746100,Walk,walk,False,673548,676272,Seiya Suzuki,Bobby Miller,0,90dbbd68-6738-42d2-9207-12b38953cae7,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
3,2024-09-11,746100,Walk,walk,False,641355,676272,Cody Bellinger,Bobby Miller,1,2d986389-5f84-468d-aa8c-ce209a6b35b3,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
4,2024-09-11,746100,Single,single,False,670623,676272,Isaac Paredes,Bobby Miller,1,9d55af31-4bf7-46b6-ab19-b61a134ce86e,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
5,2024-09-11,746100,Double,double,False,683737,676272,Michael Busch,Bobby Miller,1,322a795b-1b4b-4aff-982d-00f0afad81e8,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
6,2024-09-11,746100,Flyout,field_out,True,663538,676272,Nico Hoerner,Bobby Miller,0,11384ed5-ee00-4cc9-94b8-0b4d5130e687,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.17,7.06,54.0,93.0,113.0,97.0,0.778,8.33,4.83,10.33,2.83,1.15,0.239,0.374,0.123,0.405,0.41,104.0,92.0,98.0,120.0,98.0,104.0,118.0,89.0,92.0,98.0,96.0,91.0,115.0,100.0,109.0,0.117,0.394,0.098,0.186,0.204,-1.39,-4.92,-2.74,-1.17,0.68,97.6,86.4,97.2,88.7,79.7,0.316,0.633,0.17,0.111,0.2,0.402,0.44,0.96,0.169,0.36,0.56,0.31,0.3,0.6,0.289,,,,,,,,,,,,,,,,,,
7,2024-09-11,746100,Home Run,home_run,False,660271,696136,Shohei Ohtani,Jordan Wicks,0,f1290934-c5e1-4e3a-a67d-94d906e2c587,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,5.27,4.69,41.0,102.0,93.0,100.0,0.777,8.34,3.95,10.54,1.32,1.06,0.221,0.435,0.107,0.26,0.385,100.0,99.0,101.0,90.0,94.0,91.0,91.0,105.0,105.0,71.0,102.0,91.0,118.0,97.0,98.0,0.135,0.453,0.088,0.055,0.256,0.56,-2.47,-5.29,-7.56,1.09,92.6,82.2,91.8,84.0,78.5,0.241,0.38,0.162,0.178,0.333,0.441,0.393,0.536,0.157,0.8,1.4,0.167,0.5,1.0,0.238,77.0,97.0,84.0,0.012,-9.69,87.6,0.667,0.667,0.0,,,,,,,,,
8,2024-09-11,746100,Flyout,field_out,True,605141,696136,Mookie Betts,Jordan Wicks,0,87192b72-ccfa-45fc-be68-b3a2a32e3cc5,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,5.27,4.69,41.0,102.0,93.0,100.0,0.777,8.34,3.95,10.54,1.32,1.06,0.221,0.435,0.107,0.26,0.385,100.0,99.0,101.0,90.0,94.0,91.0,91.0,105.0,105.0,71.0,102.0,91.0,118.0,97.0,98.0,0.135,0.453,0.088,0.055,0.256,0.56,-2.47,-5.29,-7.56,1.09,92.6,82.2,91.8,84.0,78.5,0.241,0.38,0.162,0.178,0.333,0.441,0.393,0.536,0.157,0.8,1.4,0.167,0.5,1.0,0.238,77.0,97.0,84.0,0.012,-9.69,87.6,0.667,0.667,0.0,,,,,,,,,
9,2024-09-11,746100,Strikeout,strikeout,True,518692,696136,Freddie Freeman,Jordan Wicks,0,7e15a4db-ba83-4050-909f-d3c0b11bc64b,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,5.27,4.69,41.0,102.0,93.0,100.0,0.777,8.34,3.95,10.54,1.32,1.06,0.221,0.435,0.107,0.26,0.385,100.0,99.0,101.0,90.0,94.0,91.0,91.0,105.0,105.0,71.0,102.0,91.0,118.0,97.0,98.0,0.135,0.453,0.088,0.055,0.256,0.56,-2.47,-5.29,-7.56,1.09,92.6,82.2,91.8,84.0,78.5,0.241,0.38,0.162,0.178,0.333,0.441,0.393,0.536,0.157,0.8,1.4,0.167,0.5,1.0,0.238,77.0,97.0,84.0,0.012,-9.69,87.6,0.667,0.667,0.0,,,,,,,,,
