,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-04-10,745355,Flyout,field_out,True,682928,663855,CJ Abrams,Jordan Hicks,0,8be4edaa-0c7c-4f46-b1e4-84d380854bea,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-10,745355,Flyout,field_out,True,657041,663855,Lane Thomas,Jordan Hicks,0,0ef98ac0-e4b6-4435-ad93-94e66a5cd43d,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-10,745355,Groundout,field_out,True,608385,663855,Jesse Winker,Jordan Hicks,0,d673b138-afb3-494c-b22d-fd3dbec3db3b,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-10,745355,Lineout,field_out,True,596103,571578,Austin Slater,Patrick Corbin,0,e486d223-1948-4bbf-96b2-a5f0867881c3,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,-1.09,,-1.8,0.02,91.3,,91.4,79.7,0.326,0.578,0.089,,,,0.25,0.384,0.352,0.324,0.541,0.117,88.0,95.0,96.0,79.0,106.0,99.0,0.179,0.05,0.23,-4.62,84.5,81.2,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,
4,2024-04-10,745355,Flyout,field_out,True,527038,571578,Wilmer Flores,Patrick Corbin,0,e019d9fd-4a86-4668-aee9-65d4b5ab037e,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,-1.09,,-1.8,0.02,91.3,,91.4,79.7,0.326,0.578,0.089,,,,0.25,0.384,0.352,0.324,0.541,0.117,88.0,95.0,96.0,79.0,106.0,99.0,0.179,0.05,0.23,-4.62,84.5,81.2,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,
5,2024-04-10,745355,Single,single,False,624424,571578,Michael Conforto,Patrick Corbin,0,e6243f3e-2611-4b2d-a058-282ae3a01e82,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,-1.09,,-1.8,0.02,91.3,,91.4,79.7,0.326,0.578,0.089,,,,0.25,0.384,0.352,0.324,0.541,0.117,88.0,95.0,96.0,79.0,106.0,99.0,0.179,0.05,0.23,-4.62,84.5,81.2,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,
6,2024-04-10,745355,Forceout,force_out,True,624585,571578,Jorge Soler,Patrick Corbin,1,ec5cb4dc-1fc5-4a45-8186-9276569e97e2,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,-1.09,,-1.8,0.02,91.3,,91.4,79.7,0.326,0.578,0.089,,,,0.25,0.384,0.352,0.324,0.541,0.117,88.0,95.0,96.0,79.0,106.0,99.0,0.179,0.05,0.23,-4.62,84.5,81.2,0.253,0.38,0.236,0.4,0.65,0.275,,,,,,,,,
7,2024-04-10,745355,Home Run,home_run,False,608336,663855,Joey Gallo,Jordan Hicks,0,f43c8f9a-d971-420f-8235-4396fe1abf49,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-10,745355,Single,single,False,592696,663855,Eddie Rosario,Jordan Hicks,0,ccbe6295-837c-4537-80fd-68bbdceabc05,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-10,745355,Strikeout,strikeout,True,702358,663855,Trey Lipscomb,Jordan Hicks,1,0e7232b9-2824-49a8-8eec-98d24dbb5a31,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
