,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,vSC (sc),SC%,wSC/C,FF_ba,FF_slg,FF_whiff
0,2024-08-24,745457,Groundout,field_out,True,663697,663765,Jonathan India,Jake Woodford,0,8103e638-b3ec-47d1-b41f-5a6e533e91b2,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
1,2024-08-24,745457,Walk,walk,False,682829,663765,Elly De La Cruz,Jake Woodford,0,679671f5-404a-4015-a354-083928458654,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
2,2024-08-24,745457,Walk,walk,False,663886,663765,Tyler Stephenson,Jake Woodford,1,5d64ba95-0b5e-4708-8341-84ffaa5799c3,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
3,2024-08-24,745457,Single,single,False,670770,663765,TJ Friedl,Jake Woodford,1,ae0124a6-cb57-4c74-83ba-95f03088558b,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
4,2024-08-24,745457,Double,double,False,668715,663765,Spencer Steer,Jake Woodford,1,701c232c-8901-4487-89af-f817b228f0fc,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
5,2024-08-24,745457,Sac Fly,sac_fly,True,664034,663765,Ty France,Jake Woodford,1,d2d17559-e898-4ca6-b64d-6787230921a7,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
6,2024-08-24,745457,Strikeout,strikeout,True,642086,663765,Dominic Smith,Jake Woodford,0,b36393f1-616c-4f50-87e5-5f5695f26bcf,663765.0,jakewoodford,Woodford,Right,Jake Woodford,- - -,8.01,5.71,30.1,98.0,90.0,94.0,0.872,6.23,2.67,11.87,1.48,1.0,0.205,0.455,0.125,0.33,0.433,58.0,104.0,96.0,66.0,105.0,95.0,92.0,98.0,89.0,101.0,101.0,105.0,84.0,92.0,88.0,0.435,0.03,0.196,0.284,0.056,0.14,-0.86,-2.31,-1.96,0.89,91.3,88.5,85.6,91.3,80.8,0.371,0.581,0.022,0.25,0.475,0.282,0.292,0.5,0.125,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
7,2024-08-24,745457,Single,single,False,643396,687924,Isiah Kiner-Falefa,Julian Aguiar,0,c4b4eb5d-1ab1-45ef-a9c8-8af6f35f7059,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,,,,87.0,100.0,100.0,81.0,112.0,119.0,,,,0.522,,,0.177,0.204,,,-0.9,1.52,-0.1,,,83.5,94.0,79.3,0.303,0.667,0.145,,,,,,,0.231,0.308,0.391,81.0,90.0,96.0,0.097,-17.48,78.2,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,
8,2024-08-24,745457,Strikeout,strikeout,True,668804,687924,Bryan Reynolds,Julian Aguiar,0,69a8156b-1829-446f-8b28-4782b229530d,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,,,,87.0,100.0,100.0,81.0,112.0,119.0,,,,0.522,,,0.177,0.204,,,-0.9,1.52,-0.1,,,83.5,94.0,79.3,0.303,0.667,0.145,,,,,,,0.231,0.308,0.391,81.0,90.0,96.0,0.097,-17.48,78.2,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,
9,2024-08-24,745457,Grounded Into DP,grounded_into_double_play,True,665833,687924,Oneil Cruz,Julian Aguiar,1,945358ae-ff66-48be-acf6-c234908418d3,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.43,7.88,14.0,100.0,88.0,102.0,0.796,4.5,2.57,10.93,3.21,0.79,0.196,0.451,0.137,0.314,0.465,101.0,99.0,96.0,,,,87.0,100.0,100.0,81.0,112.0,119.0,,,,0.522,,,0.177,0.204,,,-0.9,1.52,-0.1,,,83.5,94.0,79.3,0.303,0.667,0.145,,,,,,,0.231,0.308,0.391,81.0,90.0,96.0,0.097,-17.48,78.2,0.143,0.143,0.25,0.6,1.8,0.0,,,,,,
