,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SL%,KC%,wSL/C,wKC/C,vSL,vKC,SL_ba,SL_slg,SL_whiff
0,2024-07-04,745484,Walk,walk,False,691026,527048,Masyn Winn,Martín Pérez,0,20e6b9ef-e70b-43e4-9f05-0c92534a13fb,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
1,2024-07-04,745484,Forceout,force_out,True,676475,527048,Alec Burleson,Martín Pérez,1,be83075f-1cc0-4d6d-9ecb-bd831694ffa6,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
2,2024-07-04,745484,Grounded Into DP,grounded_into_double_play,True,575929,527048,Willson Contreras,Martín Pérez,1,2be2547b-010c-4f67-b6a7-53ea91e8045f,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
3,2024-07-04,745484,Lineout,field_out,True,457705,669467,Andrew McCutchen,Andre Pallante,0,6e459e60-4bb3-4f3d-a9c6-d2c9da36570b,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,,,,,,,86.0,90.0,94.0,87.0,98.0,85.0,,,,0.215,0.502,,,,0.91,,0.26,,,94.8,,,95.1,,0.225,0.325,0.151,,,,,,,0.103,0.207,0.354,0.272,0.37,0.16,120.0,101.0,109.0,93.0,101.0,108.0,0.149,0.134,-2.57,1.18,88.1,79.8,0.44,0.64,0.302
4,2024-07-04,745484,Groundout,field_out,True,668804,669467,Bryan Reynolds,Andre Pallante,0,1c55fe1d-c10e-4885-9735-d254d1723381,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,,,,,,,86.0,90.0,94.0,87.0,98.0,85.0,,,,0.215,0.502,,,,0.91,,0.26,,,94.8,,,95.1,,0.225,0.325,0.151,,,,,,,0.103,0.207,0.354,0.272,0.37,0.16,120.0,101.0,109.0,93.0,101.0,108.0,0.149,0.134,-2.57,1.18,88.1,79.8,0.44,0.64,0.302
5,2024-07-04,745484,Single,single,False,665833,669467,Oneil Cruz,Andre Pallante,0,1552483c-0eea-44db-a0dc-8d4d34e7cbd7,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,,,,,,,86.0,90.0,94.0,87.0,98.0,85.0,,,,0.215,0.502,,,,0.91,,0.26,,,94.8,,,95.1,,0.225,0.325,0.151,,,,,,,0.103,0.207,0.354,0.272,0.37,0.16,120.0,101.0,109.0,93.0,101.0,108.0,0.149,0.134,-2.57,1.18,88.1,79.8,0.44,0.64,0.302
6,2024-07-04,745484,Groundout,field_out,True,656582,669467,Connor Joe,Andre Pallante,1,d62f8a24-0ead-41bf-8ee7-4359e664ce1b,669467.0,andrepallante,Pallante,Right,Andre Pallante,STL,4.21,3.64,51.1,95.0,92.0,96.0,0.83,7.19,3.33,9.12,0.88,2.27,0.256,0.365,0.212,0.231,0.425,,,,,,,86.0,90.0,94.0,87.0,98.0,85.0,,,,0.215,0.502,,,,0.91,,0.26,,,94.8,,,95.1,,0.225,0.325,0.151,,,,,,,0.103,0.207,0.354,0.272,0.37,0.16,120.0,101.0,109.0,93.0,101.0,108.0,0.149,0.134,-2.57,1.18,88.1,79.8,0.44,0.64,0.302
7,2024-07-04,745484,Pop Out,field_out,True,502671,527048,Paul Goldschmidt,Martín Pérez,0,3b444e0e-546b-4b5f-914e-eb69f6ff973b,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
8,2024-07-04,745484,Groundout,field_out,True,571448,527048,Nolan Arenado,Martín Pérez,0,3f99f619-706a-47ae-9339-676962529805,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
9,2024-07-04,745484,Single,single,False,680977,527048,Brendan Donovan,Martín Pérez,0,95a2a717-3a84-482e-b073-ea0ad2c02387,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,75.0,103.0,96.0,65.0,105.0,94.0,0.375,0.055,0.254,0.101,0.215,-5.77,-0.81,-0.23,0.23,-3.51,91.4,88.4,83.4,90.9,78.3,0.3,0.423,0.1,0.338,0.588,0.275,0.304,0.609,0.196,0.364,0.409,0.306,0.375,0.625,0.036,,,,,,,,,,,,,,,
