,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-02,746992,Single,single,False,670032,669203,Nicky Lopez,Corbin Burnes,0,4c44d44b-eaf5-442e-9002-4c2527a3dfb0,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
1,2024-09-02,746992,Single,single,False,667452,669203,Corey Julks,Corbin Burnes,1,845671cf-6d28-4b88-8987-886cf8ac5b17,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
2,2024-09-02,746992,Sac Fly,sac_fly,True,643217,669203,Andrew Benintendi,Corbin Burnes,1,ac3e33ee-0254-456c-870f-54e94f6c97b6,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
3,2024-09-02,746992,Single,single,False,657757,669203,Gavin Sheets,Corbin Burnes,1,df80e6bd-26c1-47a8-93d2-30c777110c8d,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
4,2024-09-02,746992,Flyout,field_out,True,686676,669203,Korey Lee,Corbin Burnes,0,48c0bb7d-42be-4d7e-802d-a93659455f4c,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
5,2024-09-02,746992,Strikeout,strikeout,True,676113,669203,Zach DeLoach,Corbin Burnes,0,f714132b-a318-4bb3-a13b-e69f683626fd,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,3.18,3.49,175.1,103.0,117.0,107.0,0.743,8.06,2.21,8.11,1.08,1.38,0.205,0.421,0.192,0.285,0.402,110.0,100.0,104.0,109.0,101.0,106.0,105.0,95.0,89.0,133.0,106.0,121.0,120.0,105.0,107.0,0.084,0.442,0.149,0.219,0.107,0.91,-0.46,0.57,0.5,0.11,95.4,89.1,97.0,87.3,80.3,0.267,0.389,0.177,0.197,0.331,0.379,0.204,0.301,0.448,0.203,0.356,0.376,0.235,0.412,0.157,,,,,,,,,,,,,,,,,,,,,
6,2024-09-02,746992,Home Run,home_run,False,683002,623167,Gunnar Henderson,Chris Flexen,0,85643bd2-0fe6-4b87-962f-598b93746d19,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,152.0,101.0,103.0,47.0,101.0,91.0,0.002,0.27,0.085,0.121,0.153,-0.72,2.03,-1.95,0.23,-0.91,87.4,81.4,91.4,80.2,72.1,0.316,0.529,0.215,0.246,0.404,0.308,0.327,0.449,0.256,0.244,0.389,0.366,,,,0.0,92.0,81.0,0.369,-1.14,91.3,0.275,0.514,0.125,,,,,,,,,,,,
7,2024-09-02,746992,Walk,walk,False,668939,623167,Adley Rutschman,Chris Flexen,0,8b4b6fa3-ca99-4caf-a554-5e9dd44f3a7e,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,152.0,101.0,103.0,47.0,101.0,91.0,0.002,0.27,0.085,0.121,0.153,-0.72,2.03,-1.95,0.23,-0.91,87.4,81.4,91.4,80.2,72.1,0.316,0.529,0.215,0.246,0.404,0.308,0.327,0.449,0.256,0.244,0.389,0.366,,,,0.0,92.0,81.0,0.369,-1.14,91.3,0.275,0.514,0.125,,,,,,,,,,,,
8,2024-09-02,746992,Double,double,False,656811,623167,Ryan O'Hearn,Chris Flexen,1,19c26adc-45f1-462e-af0d-d0327c7f969f,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,152.0,101.0,103.0,47.0,101.0,91.0,0.002,0.27,0.085,0.121,0.153,-0.72,2.03,-1.95,0.23,-0.91,87.4,81.4,91.4,80.2,72.1,0.316,0.529,0.215,0.246,0.404,0.308,0.327,0.449,0.256,0.244,0.389,0.366,,,,0.0,92.0,81.0,0.369,-1.14,91.3,0.275,0.514,0.125,,,,,,,,,,,,
9,2024-09-02,746992,Strikeout,strikeout,True,623993,623167,Anthony Santander,Chris Flexen,0,1d76fd23-d127-4b8c-8a7c-4c84eb6d2147,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.26,4.93,143.2,97.0,56.0,92.0,0.796,6.58,3.63,10.09,1.38,0.79,0.256,0.407,0.165,0.318,0.37,126.0,98.0,104.0,85.0,99.0,102.0,74.0,108.0,87.0,152.0,101.0,103.0,47.0,101.0,91.0,0.002,0.27,0.085,0.121,0.153,-0.72,2.03,-1.95,0.23,-0.91,87.4,81.4,91.4,80.2,72.1,0.316,0.529,0.215,0.246,0.404,0.308,0.327,0.449,0.256,0.244,0.389,0.366,,,,0.0,92.0,81.0,0.369,-1.14,91.3,0.275,0.514,0.125,,,,,,,,,,,,
