,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,SI%,wSI/C,vSI,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff
0,2024-05-11,747041,Lineout,field_out,True,606466,607644,Ketel Marte,John Means,0,9128d354-99de-4e69-a721-6e2f720ac21a,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-11,747041,Groundout,field_out,True,682998,607644,Corbin Carroll,John Means,0,ade2d8d1-6ea5-43b5-9928-2392abd18d69,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-11,747041,Flyout,field_out,True,666971,607644,Lourdes Gurriel Jr.,John Means,0,49b4991c-c733-4b3e-a838-d0c54e286ac0,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-11,747041,Flyout,field_out,True,683002,669194,Gunnar Henderson,Ryne Nelson,0,fadeca8a-8f06-4340-a1c4-ba5dc2056695,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,0.531,0.107,,0.094,0.45,-1.78,,-4.16,95.0,83.4,84.5,,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,91.0,98.0,96.0,76.0,103.0,92.0,0.203,0.064,-1.15,2.02,91.4,77.5,0.341,0.518,0.124,,,,,,,,,
4,2024-05-11,747041,Strikeout,strikeout,True,668939,669194,Adley Rutschman,Ryne Nelson,0,1d55c9d3-92c5-4569-aa09-36a93119781d,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,0.531,0.107,,0.094,0.45,-1.78,,-4.16,95.0,83.4,84.5,,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,91.0,98.0,96.0,76.0,103.0,92.0,0.203,0.064,-1.15,2.02,91.4,77.5,0.341,0.518,0.124,,,,,,,,,
5,2024-05-11,747041,Lineout,field_out,True,656811,669194,Ryan O'Hearn,Ryne Nelson,0,311def46-c7d3-40a3-936b-902efed623e4,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,0.531,0.107,,0.094,0.45,-1.78,,-4.16,95.0,83.4,84.5,,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,91.0,98.0,96.0,76.0,103.0,92.0,0.203,0.064,-1.15,2.02,91.4,77.5,0.341,0.518,0.124,,,,,,,,,
6,2024-05-11,747041,Flyout,field_out,True,572233,607644,Christian Walker,John Means,0,3f4de789-1435-43fb-b297-2ab5f0e72ace,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-11,747041,Lineout,field_out,True,545341,607644,Randal Grichuk,John Means,0,5481525c-c126-46d6-a219-7dda25457ae5,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-11,747041,Strikeout,strikeout,True,553993,607644,Eugenio Suárez,John Means,0,0e1f5ac0-4d77-4962-8d32-1e0ea4f2a79b,607644.0,johnmeans,Means,Left,John Means,BAL,2.61,4.7,20.2,102.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,88.0,96.0,96.0,83.0,102.0,100.0,88.0,92.0,100.0,0.375,0.231,0.109,0.284,0.74,1.7,1.36,0.88,90.5,82.0,84.5,75.7,0.231,0.5,0.182,0.222,0.333,0.353,0.167,0.278,0.333,0.2,0.2,0.111,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-11,747041,Double,double,False,663624,669194,Ryan Mountcastle,Ryne Nelson,0,26d5ce45-361b-48af-88c8-8d0eb69b4326,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,101.0,107.0,105.0,108.0,112.0,110.0,,,,0.531,0.107,,0.094,0.45,-1.78,,-4.16,95.0,83.4,84.5,,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,91.0,98.0,96.0,76.0,103.0,92.0,0.203,0.064,-1.15,2.02,91.4,77.5,0.341,0.518,0.124,,,,,,,,,
