,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-19,745294,Groundout,field_out,True,672820,690986,Lenyn Sosa,Kyle Harrison,0,646b5c2f-c5b7-43ac-9b22-980d255dcc8a,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-19,745294,Lineout,field_out,True,673357,690986,Luis Robert Jr.,Kyle Harrison,0,cc74a5a5-c3b5-4fcd-8eff-053364259632,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-19,745294,Flyout,field_out,True,683734,690986,Andrew Vaughn,Kyle Harrison,0,7e98bc34-5107-43e3-a5ef-ce74215b42bd,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-19,745294,Lineout,field_out,True,666149,686563,Tyler Fitzgerald,Jonathan Cannon,0,d894b1bd-1c35-4445-a2e6-bcd11642bb46,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,,,,74.0,102.0,95.0,117.0,100.0,107.0,0.099,0.22,,0.177,-3.29,-0.8,,-0.28,94.5,85.7,81.9,,0.357,0.571,0.254,0.247,0.435,0.279,,,,,,,86.0,100.0,93.0,79.0,103.0,95.0,0.3,0.204,0.52,-0.33,90.1,93.3,0.315,0.5,0.117,0.243,0.414,0.288,0.246,0.431,0.196,,,,,,,,,
4,2024-08-19,745294,Groundout,field_out,True,664774,686563,LaMonte Wade Jr.,Jonathan Cannon,0,2379eae3-47fd-4e20-9f3c-e0484e7afa8e,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,,,,74.0,102.0,95.0,117.0,100.0,107.0,0.099,0.22,,0.177,-3.29,-0.8,,-0.28,94.5,85.7,81.9,,0.357,0.571,0.254,0.247,0.435,0.279,,,,,,,86.0,100.0,93.0,79.0,103.0,95.0,0.3,0.204,0.52,-0.33,90.1,93.3,0.315,0.5,0.117,0.243,0.414,0.288,0.246,0.431,0.196,,,,,,,,,
5,2024-08-19,745294,Strikeout,strikeout,True,671218,686563,Heliot Ramos,Jonathan Cannon,0,06efc608-f3af-4f10-8a30-9b62625513a9,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,,,,74.0,102.0,95.0,117.0,100.0,107.0,0.099,0.22,,0.177,-3.29,-0.8,,-0.28,94.5,85.7,81.9,,0.357,0.571,0.254,0.247,0.435,0.279,,,,,,,86.0,100.0,93.0,79.0,103.0,95.0,0.3,0.204,0.52,-0.33,90.1,93.3,0.315,0.5,0.117,0.243,0.414,0.288,0.246,0.431,0.196,,,,,,,,,
6,2024-08-19,745294,Groundout,field_out,True,686676,690986,Korey Lee,Kyle Harrison,0,95db0b5a-d98b-48b5-b411-e10cd7f6022f,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-19,745294,Strikeout,strikeout,True,678246,690986,Miguel Vargas,Kyle Harrison,0,0f86df78-7be9-402d-9180-2f8b8db8d549,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-19,745294,Strikeout,strikeout,True,669222,690986,Nick Senzel,Kyle Harrison,0,4f184b25-f3e1-4bb2-b75d-feb230ba708e,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.22,4.78,121.2,98.0,89.0,92.0,0.792,8.51,3.03,8.73,1.26,0.98,0.283,0.334,0.147,0.351,0.432,70.0,96.0,88.0,86.0,94.0,94.0,97.0,100.0,92.0,93.0,107.0,97.0,0.58,0.003,0.22,0.197,0.36,-11.76,-0.07,-1.5,92.6,84.9,88.2,80.7,0.244,0.415,0.231,0.279,0.432,0.217,0.264,0.431,0.287,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-19,745294,Single,single,False,624424,686563,Michael Conforto,Jonathan Cannon,0,e166fc6f-dca8-41ab-8d0f-b4e9d30e2850,686563.0,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.57,4.72,90.2,101.0,92.0,99.0,0.808,6.25,2.78,9.73,1.29,1.03,0.224,0.38,0.153,0.292,0.394,93.0,106.0,107.0,,,,74.0,102.0,95.0,117.0,100.0,107.0,0.099,0.22,,0.177,-3.29,-0.8,,-0.28,94.5,85.7,81.9,,0.357,0.571,0.254,0.247,0.435,0.279,,,,,,,86.0,100.0,93.0,79.0,103.0,95.0,0.3,0.204,0.52,-0.33,90.1,93.3,0.315,0.5,0.117,0.243,0.414,0.288,0.246,0.431,0.196,,,,,,,,,
