,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
35,2024-09-09,747090,Flyout,field_out,True,672284,607259,Jarred Kelenic,Nick Martinez,0,b64f0886-8732-4ebe-b6e3-e199c1b092e7,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
36,2024-09-09,747090,Strikeout,strikeout,True,570482,607259,Gio Urshela,Nick Martinez,0,80d090b7-ff4d-4d2d-ac54-d224cfa5f77c,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
37,2024-09-09,747090,Lineout,field_out,True,606115,607259,Orlando Arcia,Nick Martinez,0,b5de7c4b-ca06-4f45-bc99-35da0d04a701,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
38,2024-09-09,747090,Bunt Groundout,field_out,True,670770,450203,TJ Friedl,Charlie Morton,0,bd86b344-82de-495a-ac99-2a05e40a7cfd,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
39,2024-09-09,747090,Single,single,False,664034,450203,Ty France,Charlie Morton,0,95cde6d0-a5bd-4d99-991b-dc2d9722c67b,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
40,2024-09-09,747090,Grounded Into DP,grounded_into_double_play,True,669289,450203,Santiago Espinal,Charlie Morton,1,17eed88b-0346-4106-8e93-055917b9fa8d,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
41,2024-09-09,747090,Strikeout,strikeout,True,663897,607259,Luke Williams,Nick Martinez,0,dfd2778f-8d19-46a1-afed-62acf677120d,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
42,2024-09-09,747090,Groundout,field_out,True,671739,607259,Michael Harris II,Nick Martinez,0,45fbdddd-6244-4e72-a217-435d7f170630,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
43,2024-09-09,747090,Groundout,field_out,True,624585,607259,Jorge Soler,Nick Martinez,0,e72c448e-89cf-413a-8a2d-cb6b40c773f6,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
44,2024-09-09,747090,Groundout,field_out,True,641584,450203,Jake Fraley,Charlie Morton,0,fe780b98-57b4-4f06-acff-998a48f61c94,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
