,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
0,2024-04-13,746656,Lineout,field_out,True,683011,471911,Anthony Volpe,Carlos Carrasco,0,b5d9b526-8f88-4fe3-a86f-77fd76e70cbe,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.243,0.283,0.062,0.222,-2.15,-1.29,-0.69,2.26,0.06,91.5,86.7,91.1,83.1,80.4,0.2,0.267,0.37,0.212,0.362,0.276,0.387,0.653,0.137,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-13,746656,Strikeout,strikeout,True,665742,471911,Juan Soto,Carlos Carrasco,0,994805ec-94f7-4cb6-8359-cd2eaf62a262,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.243,0.283,0.062,0.222,-2.15,-1.29,-0.69,2.26,0.06,91.5,86.7,91.1,83.1,80.4,0.2,0.267,0.37,0.212,0.362,0.276,0.387,0.653,0.137,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-13,746656,Double,double,False,592450,471911,Aaron Judge,Carlos Carrasco,0,c824ea23-56ae-43d1-8144-151ad6d2b95e,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.243,0.283,0.062,0.222,-2.15,-1.29,-0.69,2.26,0.06,91.5,86.7,91.1,83.1,80.4,0.2,0.267,0.37,0.212,0.362,0.276,0.387,0.653,0.137,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-13,746656,Walk,walk,False,519203,471911,Anthony Rizzo,Carlos Carrasco,1,b0da5d7b-3600-43b0-ae2d-73b0eac41ef9,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.243,0.283,0.062,0.222,-2.15,-1.29,-0.69,2.26,0.06,91.5,86.7,91.1,83.1,80.4,0.2,0.267,0.37,0.212,0.362,0.276,0.387,0.653,0.137,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-13,746656,Flyout,field_out,True,650402,471911,Gleyber Torres,Carlos Carrasco,0,15fa15ee-d303-4f12-ab32-0343739aa16c,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,90.0,95.0,90.0,99.0,102.0,106.0,0.19,0.243,0.283,0.062,0.222,-2.15,-1.29,-0.69,2.26,0.06,91.5,86.7,91.1,83.1,80.4,0.2,0.267,0.37,0.212,0.362,0.276,0.387,0.653,0.137,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-13,746656,Strikeout,strikeout,True,680757,657376,Steven Kwan,Clarke Schmidt,0,371b005c-e886-440c-9f39-cb650f493542,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,0.215,,0.239,,0.009,,-0.42,1.58,,-13.06,,87.1,94.2,85.3,,0.196,0.283,0.319,0.667,1.0,0.0,,,,0.233,0.488,0.212,0.146,0.22,0.346,152.0,100.0,112.0,106.0,106.0,103.0,0.356,0.181,0.6,0.69,92.4,83.9,0.256,0.372,0.325,,,,,,,,,,,,
6,2024-04-13,746656,Single,single,False,665926,657376,Andrés Giménez,Clarke Schmidt,0,1dbc9dc9-1522-4347-8006-e7567401c692,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,0.215,,0.239,,0.009,,-0.42,1.58,,-13.06,,87.1,94.2,85.3,,0.196,0.283,0.319,0.667,1.0,0.0,,,,0.233,0.488,0.212,0.146,0.22,0.346,152.0,100.0,112.0,106.0,106.0,103.0,0.356,0.181,0.6,0.69,92.4,83.9,0.256,0.372,0.325,,,,,,,,,,,,
7,2024-04-13,746656,Strikeout,strikeout,True,608070,657376,José Ramírez,Clarke Schmidt,0,c77304ab-1dbe-45a7-bb79-569c9d920022,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,0.215,,0.239,,0.009,,-0.42,1.58,,-13.06,,87.1,94.2,85.3,,0.196,0.283,0.319,0.667,1.0,0.0,,,,0.233,0.488,0.212,0.146,0.22,0.346,152.0,100.0,112.0,106.0,106.0,103.0,0.356,0.181,0.6,0.69,92.4,83.9,0.256,0.372,0.325,,,,,,,,,,,,
8,2024-04-13,746656,Walk,walk,False,647304,657376,Josh Naylor,Clarke Schmidt,1,cbf66f81-10c2-440f-b38d-4422ff16e491,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,0.215,,0.239,,0.009,,-0.42,1.58,,-13.06,,87.1,94.2,85.3,,0.196,0.283,0.319,0.667,1.0,0.0,,,,0.233,0.488,0.212,0.146,0.22,0.346,152.0,100.0,112.0,106.0,106.0,103.0,0.356,0.181,0.6,0.69,92.4,83.9,0.256,0.372,0.325,,,,,,,,,,,,
9,2024-04-13,746656,Forceout,force_out,True,671289,657376,Tyler Freeman,Clarke Schmidt,1,2993ad13-d09c-45c2-b4fc-cca84b8ce603,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,,,,,,,81.0,97.0,87.0,135.0,93.0,102.0,0.215,,0.239,,0.009,,-0.42,1.58,,-13.06,,87.1,94.2,85.3,,0.196,0.283,0.319,0.667,1.0,0.0,,,,0.233,0.488,0.212,0.146,0.22,0.346,152.0,100.0,112.0,106.0,106.0,103.0,0.356,0.181,0.6,0.69,92.4,83.9,0.256,0.372,0.325,,,,,,,,,,,,
