,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
22,2024-10-17,775303,Walk,walk,False,571970,500779,Max Muncy,Jose Quintana,1,cd7510ee-891c-4b88-91e6-d9f921f1060a,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-10-17,775303,Pop Out,field_out,True,669257,500779,Will Smith,Jose Quintana,0,cb44f3c4-44ed-4416-a12e-455dd3f1705c,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-10-17,775303,Single,single,False,682626,808967,Francisco Alvarez,Yoshinobu Yamamoto,0,34c9ba0e-ac65-4832-9769-5f308616346e,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
25,2024-10-17,775303,Single,single,False,596019,808967,Francisco Lindor,Yoshinobu Yamamoto,1,27366f19-b5f4-45f3-80ea-4c2eb9a9a370,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
26,2024-10-17,775303,Strikeout,strikeout,True,668901,808967,Mark Vientos,Yoshinobu Yamamoto,0,47bc800a-496e-4582-ac28-b82004a729e4,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
27,2024-10-17,775303,Walk,walk,False,624413,808967,Pete Alonso,Yoshinobu Yamamoto,1,b00f8e75-7aa7-4d04-ac11-d8fc4d2762bb,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
28,2024-10-17,775303,Forceout,force_out,True,607043,808967,Brandon Nimmo,Yoshinobu Yamamoto,1,bd389d1c-05f7-4244-89de-e8d9744e47c2,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
29,2024-10-17,775303,Forceout,force_out,True,516782,808967,Starling Marte,Yoshinobu Yamamoto,1,d8401f7a-8866-45c2-a8d6-a4b07ef109bb,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
30,2024-10-17,775303,Lineout,field_out,True,681624,500779,Andy Pages,Jose Quintana,0,eb75604e-b864-41bf-9769-379882a8c422,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-10-17,775303,Single,single,False,621035,500779,Chris Taylor,Jose Quintana,0,e53ba22d-f922-4664-a3b2-583b6475f2aa,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
