,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-08-18,745621,Groundout,field_out,True,666149,676664,Tyler Fitzgerald,JP Sears,0,d92003b9-d418-4ead-9411-9ee5465e23ac,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-18,745621,Lineout,field_out,True,592192,676664,Mark Canha,JP Sears,0,a73ddfe5-44ca-4631-bb2c-8934892a92af,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-18,745621,Pop Out,field_out,True,671218,676664,Heliot Ramos,JP Sears,0,7d98ae1d-ad8c-47d3-bde2-886d108dec26,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-18,745621,Groundout,field_out,True,663662,605483,Daz Cameron,Blake Snell,0,9451e3fb-f8e9-4844-91b1-260ed31360d8,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,0.464,0.104,0.16,0.78,,-0.02,-0.94,95.8,85.3,,88.6,0.214,0.339,0.251,,,,0.341,0.477,0.421,,,,0.185,0.296,0.426,147.0,98.0,109.0,0.273,2.95,81.1,0.079,0.139,0.497,,,,,,,,,,,,,,,
4,2024-08-18,745621,Flyout,field_out,True,667670,605483,Brent Rooker,Blake Snell,0,0607f90d-8aee-4923-933f-4e5b614d8346,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,0.464,0.104,0.16,0.78,,-0.02,-0.94,95.8,85.3,,88.6,0.214,0.339,0.251,,,,0.341,0.477,0.421,,,,0.185,0.296,0.426,147.0,98.0,109.0,0.273,2.95,81.1,0.079,0.139,0.497,,,,,,,,,,,,,,,
5,2024-08-18,745621,Strikeout,strikeout,True,668709,605483,JJ Bleday,Blake Snell,0,831ce806-a077-4ca3-ae23-dc560722d746,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,0.464,0.104,0.16,0.78,,-0.02,-0.94,95.8,85.3,,88.6,0.214,0.339,0.251,,,,0.341,0.477,0.421,,,,0.185,0.296,0.426,147.0,98.0,109.0,0.273,2.95,81.1,0.079,0.139,0.497,,,,,,,,,,,,,,,
6,2024-08-18,745621,Strikeout,strikeout,True,656305,676664,Matt Chapman,JP Sears,0,51c55fb1-ebd6-449f-bd37-78ff9913cac8,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-18,745621,Single,single,True,666464,676664,Jerar Encarnacion,JP Sears,1,76cb298b-abc1-4090-a792-15836e276d0f,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-18,745621,Groundout,field_out,True,669477,676664,Casey Schmitt,JP Sears,0,d211ed77-4ef5-4f4e-be16-ce7ebd65edd8,676664.0,jpsears,Sears,Left,JP Sears,OAK,4.35,4.35,144.2,100.0,93.0,95.0,0.791,7.03,2.36,8.59,1.31,0.85,0.239,0.423,0.166,0.341,0.444,87.0,95.0,84.0,74.0,102.0,94.0,90.0,101.0,88.0,119.0,99.0,105.0,0.109,0.354,0.351,0.187,-0.39,1.05,-0.46,0.0,92.0,84.2,90.1,78.9,0.213,0.431,0.274,0.246,0.403,0.215,0.306,0.417,0.209,0.295,0.41,0.116,0.273,0.659,0.234,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-18,745621,Flyout,field_out,True,609280,605483,Miguel Andujar,Blake Snell,0,fddfd143-25e9-43fc-b71d-8971431c0663,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,0.464,0.104,0.16,0.78,,-0.02,-0.94,95.8,85.3,,88.6,0.214,0.339,0.251,,,,0.341,0.477,0.421,,,,0.185,0.296,0.426,147.0,98.0,109.0,0.273,2.95,81.1,0.079,0.139,0.497,,,,,,,,,,,,,,,
