,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,CU%,wFA/C,wFC/C,wFS/C,wCU/C,vFA,vFC,vFS,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,wSI/C,wSL/C,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH
0,2024-05-20,745093,Strikeout,strikeout,True,680776,671737,Jarren Duran,Taj Bradley,0,224fb446-89f7-4181-ac3a-b29ad65536ef,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-20,745093,Strikeout,strikeout,True,677800,671737,Wilyer Abreu,Taj Bradley,0,5e71d817-de9c-4d92-b881-2b3347aeab02,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-20,745093,Strikeout,strikeout,True,641933,671737,Tyler O'Neill,Taj Bradley,0,f86d72b9-458f-41a4-b271-3b71f6b675ca,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-20,745093,Groundout,field_out,True,650490,656557,Yandy Díaz,Tanner Houck,0,d5c5ce34-8590-47be-a581-8ccfdb1e0176,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,95.0,93.0,93.0,116.0,105.0,111.0,,0.022,0.255,,,-0.99,1.83,,,87.1,88.4,,,,,0.188,0.234,0.233,0.2,0.4,0.235,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,0.49,1.85,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,,,,,,
4,2024-05-20,745093,Strikeout,strikeout,True,666139,656557,Josh Lowe,Tanner Houck,0,86a4767c-870b-4c1c-965f-dc4018a6b4e2,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,95.0,93.0,93.0,116.0,105.0,111.0,,0.022,0.255,,,-0.99,1.83,,,87.1,88.4,,,,,0.188,0.234,0.233,0.2,0.4,0.235,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,0.49,1.85,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,,,,,,
5,2024-05-20,745093,Flyout,field_out,True,670623,656557,Isaac Paredes,Tanner Houck,0,310ed7ad-56ee-4e60-9d54-653d1d098469,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,95.0,93.0,93.0,116.0,105.0,111.0,,0.022,0.255,,,-0.99,1.83,,,87.1,88.4,,,,,0.188,0.234,0.233,0.2,0.4,0.235,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,0.49,1.85,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,,,,,,
6,2024-05-20,745093,Groundout,field_out,True,646240,671737,Rafael Devers,Taj Bradley,0,22dc235e-d1a1-488d-a516-e44d47d230e7,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-20,745093,Strikeout,strikeout,True,657136,671737,Connor Wong,Taj Bradley,0,262d68bb-700c-4bf2-8dda-400535aa7526,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-20,745093,Strikeout,strikeout,True,642086,671737,Dominic Smith,Taj Bradley,0,143102f5-878d-4af1-ab33-5773feb34020,671737.0,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,2.9,3.88,68.1,97.0,115.0,103.0,0.743,11.2,3.16,6.85,1.32,0.89,0.243,0.355,0.101,0.391,0.424,99.0,86.0,90.0,125.0,96.0,101.0,90.0,99.0,96.0,124.0,100.0,116.0,0.424,0.206,0.28,0.09,-0.12,1.83,2.2,-0.92,96.3,90.8,90.5,78.8,0.275,0.486,0.223,0.149,0.207,0.348,0.163,0.302,0.315,0.182,0.455,0.333,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-20,745093,Groundout,field_out,True,664040,656557,Brandon Lowe,Tanner Houck,0,81370e89-9d20-434e-b796-cf6d3b886f44,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,95.0,93.0,93.0,116.0,105.0,111.0,,0.022,0.255,,,-0.99,1.83,,,87.1,88.4,,,,,0.188,0.234,0.233,0.2,0.4,0.235,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,0.49,1.85,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,,,,,,
